ID,名稱,類別,屬性
1,黃銅色褲(S),戰鬥裝備,防禦力+5
2,鋼化塑膠襯衫(S),戰鬥裝備,防禦力+8
3,高級修拉帽子(S),戰鬥裝備,防禦力+11
4,鈦合金鞋子(S),戰鬥裝備,防禦力+14
5,藍色水晶褲裙(S),戰鬥裝備,防禦力+17
6,粉紅黃金短護甲(S),戰鬥裝備,防禦力+20
7,粉紅黃金圓環(S),戰鬥裝備,防禦力+23
8,銀色秘銀靴子(S),戰鬥裝備,防禦力+26
9,惡魔艾德加印手套(S),戰鬥裝備,防禦力+29
10,惡魔艾德加印褲(S),戰鬥裝備,防禦力+32
11,深紅亞德曼上衣(S),戰鬥裝備,防禦力+35
12,深紅亞德曼髮帶(S),戰鬥裝備,防禦力+38
13,阿拉戈騎士手套(S),戰鬥裝備,防禦力+41
14,阿拉戈騎士上衣(S),戰鬥裝備,防禦力+44
15,影波克的火焰長拳套,戰鬥裝備,"屬性力+2
最小攻擊力+1"
16,影波克的火焰靴子,戰鬥裝備,水抵抗力+10
17,影波克的火焰頭盔,戰鬥裝備,"屬性力+3
水抵抗力+10
最大攻擊力+1"
18,冰魔卡妙冰霜長拳套,戰鬥裝備,"屬性力+2
最小攻擊力+1"
19,冰魔卡妙冰霜靴子,戰鬥裝備,水抵抗力+10
20,冰魔卡妙冰霜戒指,戰鬥裝備,"屬性力+3
水抵抗力+10
最大攻擊力+1"
21,玄武的山水紋長拳套,戰鬥裝備,"屬性力+2
最小攻擊力+1"
22,玄武的山水紋靴子,戰鬥裝備,水抵抗力+10
23,玄武的山水紋髮夾,戰鬥裝備,"屬性力+3
水抵抗力+10
最大攻擊力+1"
24,人面獅身法老長拳套,戰鬥裝備,"屬性力+2
最小攻擊力+1"
25,人面獅身法老涼鞋,戰鬥裝備,水抵抗力+10
26,人面獅身法老頭冠,戰鬥裝備,"屬性力+3
水抵抗力+10
最大攻擊力+1"
27,拉巴娜的魔術披風,戰鬥裝備,物理/魔法最小傷害 +1%
28,秘銀力量紅寶石(S),戰鬥裝備,力量+5
29,秘銀速度紅寶石(S),戰鬥裝備,移動速度+3%
30,秘銀物理貫穿力紅寶石(S),戰鬥裝備,目標物理防禦力減少1%
31,秘銀爆擊紅寶石(S),戰鬥裝備,幸運+5
32,秘銀幸運黃寶石(S),戰鬥裝備,體力 +5
33,秘銀體力黃寶石(S),戰鬥裝備,最大HP +30
34,秘銀HP黃寶石(S),戰鬥裝備,魔力+5
35,秘銀防禦力黃寶石(S),戰鬥裝備,最大SP+30
36,秘銀魔力藍寶石(S),戰鬥裝備,目標魔法抵抗力減少+1%
37,艾德加印HP黃寶石(S),戰鬥裝備,力量+10
38,艾德加印防禦力黃寶石(S),戰鬥裝備,幸運+10
39,艾德加印HP藍寶石(S),戰鬥裝備,魔力+10
40,艾德加印魔法貫穿力藍寶石(S),戰鬥裝備,物理最大傷害+1%
41,艾德加印魔法爆擊藍寶石(S),戰鬥裝備,魔法最大傷害+1%
42,紅焰的紅色寶石,戰鬥裝備,物理爆擊傷害+1%
43,紅焰的黃色寶石,戰鬥裝備,最大HP +600
44,紅焰的藍色寶石,戰鬥裝備,魔法爆擊傷害+1%
45,紅焰的彩虹寶石,戰鬥裝備,物理減少傷害+5
46,初級超級鑲嵌拼圖,活動,體力 +40
47,白金硬幣,活動,幸運+60
48,綠柱石朴刀(S),戰鬥裝備,力量+10
49,手弩(S),戰鬥裝備,體力 +10
50,淺褐色匕首(S),戰鬥裝備,體力 +10
51,破岩劍(S),戰鬥裝備,魔力+10
52,魔法魔杖(S),戰鬥裝備,幸運+10
53,弩(S),戰鬥裝備,力量+10
54,行走水母靈魂(S),戰鬥裝備,魔力+10
55,粉色眼鏡(S),戰鬥裝備,幸運+60
56,纏弦弓(S),戰鬥裝備,最大HP +100
57,翡翠刺刀(S),戰鬥裝備,魔力+10
58,叉(S),戰鬥裝備,力量+10
59,直刀(S),戰鬥裝備,體力 +10
60,羅馬匕首(S),戰鬥裝備,魔力+10
61,流星錘(S),戰鬥裝備,力量+10
62,雙十字魔杖(S),戰鬥裝備,魔力+10
63,蒺藜骨錘(S),戰鬥裝備,幸運+10
64,增力鐵爪(S),戰鬥裝備,最大SP+100
65,鋼鐵戰弓(S),戰鬥裝備,力量+60
66,棕樹爺爺靈魂(S),戰鬥裝備,體力 +60
67,五指劍(S),戰鬥裝備,體力 +10
68,軍刀(S),戰鬥裝備,力量+10
69,冰凍流星錘(S),戰鬥裝備,體力 +10
70,紅色水晶魔棍(S),戰鬥裝備,魔力+60
71,黃金錘,活動,獲得錢+3%
72,胭脂,時裝裝備,物理減少傷害+3
73,公會金幣(第2季),活動,屬性發生機率+80%
74,初級米勒石,活動,所有能力值 +3
75,中級米勒石,活動,所有能力值 +6
76,高級米勒石,活動,所有能力值 +9
77,寵物用山寨靈芝草(30日),活動,所有能力值 +12
78,初級覺醒劑,活動,所有能力值 +15
79,中級覺醒劑,活動,所有能力值 +18
80,高級覺醒劑,活動,所有能力值 +20
81,帶披風的洋裝,時裝裝備,力量+3
82,帶披風的褲子,時裝裝備,體力 +3
83,俄式襯衫(男),時裝裝備,魔力+3
84,俄式襯衫(女),時裝裝備,幸運+3
