ID,_LuckOverlap,_Event_Type,_Event_Group,_Event_Image,_Event_Index,_Event_Name,_Event_Description,_Mission_Kind,_Mission_ID,_Mission_Count,_Reward_ID1,_Item_Count1,_Item_Rare1,_Reward_ID2,_Item_Count2,_Item_Rare2,_Reward_ID3,_Item_Count3,_Item_Rare3,_Reward_Point,_Luck_Icon,_Luck_IconIndex,_Area_Reputation,_Reputation
1,1,1,0,Card_01_01.png,1,向前移動1格,點擊幸運卡片後，向前移動1格。,1,1,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,1,0,0
2,2,1,0,Card_01_01.png,1,向前移動2格,點擊幸運卡片後，向前移動2格。,1,2,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,2,0,0
3,3,1,0,Card_01_01.png,1,向前移動3格,點擊幸運卡片後，向前移動3格。,1,3,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,3,0,0
4,4,1,0,Card_01_01.png,1,向前移動4格,點擊幸運卡片後，向前移動4格。,1,4,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,4,0,0
5,5,1,0,Card_01_01.png,1,向前移動4格,點擊幸運卡片後，向前移動4格。,1,4,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,4,0,0
6,6,1,0,Card_01_01.png,1,向前移動5格,點擊幸運卡片後，向前移動5格。,1,5,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,5,0,0
7,7,1,0,Card_01_01.png,1,向前移動5格,點擊幸運卡片後，向前移動5格。,1,5,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,5,0,0
8,8,1,0,Card_01_01.png,1,向前移動6格,點擊幸運卡片後，向前移動6格。,1,6,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,6,0,0
9,9,1,0,Card_01_01.png,1,向前移動6格,點擊幸運卡片後，向前移動6格。,1,6,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,6,0,0
10,10,1,0,Card_01_01.png,1,向前移動7格,點擊幸運卡片後，向前移動7格。,1,7,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,7,0,0
11,11,1,0,Card_01_01.png,1,向前移動7格,點擊幸運卡片後，向前移動7格。,1,7,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,7,0,0
12,12,1,0,Card_01_01.png,1,向前移動8格,點擊幸運卡片後，向前移動8格。,1,8,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,8,0,0
13,13,1,0,Card_01_01.png,1,向前移動8格,點擊幸運卡片後，向前移動8格。,1,8,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,8,0,0
14,14,1,0,Card_01_01.png,1,向前移動9格,點擊幸運卡片後，向前移動9格。,1,9,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,9,0,0
15,15,1,0,Card_01_01.png,1,向前移動9格,點擊幸運卡片後，向前移動9格。,1,9,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,9,0,0
16,16,1,0,Card_01_01.png,1,向前移動10格,點擊幸運卡片後，向前移動10格。,1,10,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,10,0,0
17,17,1,0,Card_01_01.png,1,向前移動10格,點擊幸運卡片後，向前移動10格。,1,10,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,10,0,0
18,18,1,0,Card_01_01.png,1,向前移動11格,點擊幸運卡片後，向前移動11格。,1,11,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,11,0,0
19,19,1,0,Card_01_01.png,1,向前移動12格,點擊幸運卡片後，向前移動12格。,1,12,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,12,0,0
20,20,1,0,Card_01_01.png,2,向後移動1格,點擊幸運卡片後，向後移動1格。,2,1,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,21,0,0
21,21,1,0,Card_01_01.png,2,向後移動2格,點擊幸運卡片後，向後移動2格。,2,2,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,22,0,0
22,22,1,0,Card_01_01.png,2,向後移動3格,點擊幸運卡片後，向後移動3格。,2,3,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,23,0,0
