ID,_StageID,_SpaceNo,_EventType,_EventValue1,_EventValue2,_Space_Image,_Space_Index,_Space_Description,_Stop,_Space_RewardPoint,_Finish_RewardPoint
1,1,51,0,0,0,,0,,0,3,10
2,1,52,0,0,0,,0,,0,6,20
3,1,53,5,19,0,BALLOON01_01.PNG,7,,0,9,30
4,1,54,1,0,0,BALLOON01_01.PNG,2,,0,12,40
5,1,55,5,10,0,BALLOON01_01.PNG,11,,0,15,50
6,1,56,0,0,0,,0,,0,18,60
7,1,57,8,1,0,BALLOON01_01.PNG,43,,0,21,70
8,1,58,1,0,0,BALLOON01_01.PNG,2,,0,24,80
9,1,59,0,0,0,,0,,0,27,90
10,1,49,5,7,0,BALLOON01_01.PNG,15,,0,30,100
11,1,39,0,0,0,,0,,0,33,110
12,1,38,0,0,0,,0,,0,36,120
13,1,37,1,0,0,BALLOON01_01.PNG,2,,0,39,130
14,1,36,5,15,0,BALLOON01_01.PNG,13,,0,42,140
15,1,35,0,0,0,BALLOON01_01.PNG,12,,0,45,150
16,1,34,1,0,0,BALLOON01_01.PNG,2,,0,48,160
17,1,33,0,0,0,BALLOON01_01.PNG,16,,0,51,170
18,1,32,0,0,0,,0,,0,54,180
19,1,22,7,40001,0,BALLOON01_01.PNG,6,,0,57,190
20,1,23,1,0,0,BALLOON01_01.PNG,2,,0,60,200
21,1,24,0,0,0,,0,,0,63,210
22,1,14,0,0,0,BALLOON01_01.PNG,8,,0,66,220
23,1,4,1,0,0,BALLOON01_01.PNG,2,,0,69,230
24,1,5,0,0,0,,0,,0,72,240
25,1,6,1,0,0,BALLOON01_01.PNG,2,,0,75,250
26,1,7,8,6,0,BALLOON01_01.PNG,48,,0,78,260
27,1,17,0,0,0,,0,,0,81,270
28,1,27,1,0,0,BALLOON01_01.PNG,2,,0,84,280
29,1,28,7,40001,0,BALLOON01_01.PNG,53,,0,87,290
30,1,29,0,0,0,,0,,0,90,300
31,2,51,0,0,0,,0,,0,93,310
32,2,52,0,0,0,,0,,0,96,320
33,2,53,5,8,0,BALLOON01_01.PNG,15,,0,99,330
34,2,43,0,0,0,,0,,0,102,340
35,2,33,7,40001,0,BALLOON01_01.PNG,6,,0,105,350
36,2,23,1,0,0,BALLOON01_01.PNG,2,,0,108,360
37,2,13,0,0,0,,0,,0,111,370
38,2,3,0,0,0,,0,,0,114,380
39,2,4,5,16,0,BALLOON01_01.PNG,11,,0,117,390
40,2,5,0,0,0,,0,,0,120,400
41,2,15,1,0,0,BALLOON01_01.PNG,54,,0,123,410
42,2,25,0,0,0,,0,,0,126,420
43,2,35,5,6,0,,0,,0,129,430
44,2,45,0,0,0,,0,,0,132,440
45,2,55,1,0,0,BALLOON01_01.PNG,2,,0,135,450
46,2,56,5,18,0,BALLOON01_01.PNG,7,,0,138,460
47,2,57,7,40001,0,BALLOON01_01.PNG,6,,0,141,470
48,2,47,0,0,0,,0,,0,144,480
49,2,37,0,0,0,,0,,0,147,490
50,2,27,0,0,0,,0,,0,150,500
51,2,17,1,0,0,BALLOON01_01.PNG,2,,0,153,510
52,2,7,0,0,0,,0,,0,156,520
