ID,_Name,_Effect,_Effect_Type,_Type
1,力量 +,1,14,1
2,力量 + %,1,15,1
3,幸運 +,1,18,1
4,幸運 + %,1,19,1
5,魔力 +,1,22,1
6,魔力 + %,1,23,1
7,體力 +,1,26,1
8,體力 + %,1,27,1
9,HP上限 +,1,30,1
10,HP上限 + %,1,31,1
11,SP上限 +,1,34,1
12,屬性力 +,1,38,1
13,屬性力 + %,1,39,1
14,魔法抗力 +,1,70,1
15,魔法抗力 + %,1,71,1
16,傷害減少 + %,1,86,1
17,物理最小傷害 + %,1,90,1
18,物理最大傷害 + %,1,94,1
19,魔法最小傷害 + %,1,98,1
20,魔法最大傷害 + %,1,102,1
21,移動速度 + %,1,106,1
22,經驗值獲得量 + %,1,124,1
23,彩虹幣獲得量 + %,1,128,1
24,道具掉落率 + %,1,132,1
25,屬性發生率 + %,1,136,1
26,物理固定傷害 +,1,140,1
27,物理固定傷害 + %,1,141,1
28,物理傷害減少 +,1,144,1
29,物理貫穿力 + %,1,148,1
30,物理爆擊傷害 + %,1,156,1
31,魔法爆擊傷害 + %,1,162,1
32,物理攻擊命中率 + %,1,176,1
33,魔法攻擊命中率 + %,1,180,1
34,物理攻擊迴避率 + %,1,184,1
35,魔法攻擊迴避率 + %,1,188,1
36,防禦力 +,1,216,1
37,防禦力 + %,1,217,1
38,屬性力傷害(物理攻擊時) +,1,218,1
39,魔法固定傷害 +,1,240,1
40,魔法固定傷害 + %,1,241,1
41,魔法傷害減少 +,1,244,1
42,魔法貫穿力 + %,1,292,1
43,使用等級 +,1,367,1
44,暈眩抗力 + %,1,408,2
45,技能冷卻時間減少 + %,1,440,2
46,混亂抗力 + %,1,448,2
47,所有能力值 +,1,455,1
48,所有能力值 + %,1,456,1
49,屬性抗力 +,1,458,1
50,屬性力最小傷害 +,1,459,1
51,屬性力最大傷害 + %,1,460,1
52,物理/魔法最大傷害 + %,1,461,1
53,物理/魔法最小傷害 + %,1,462,1
54,物理/魔法貫穿力 + %,1,463,1
55,物理/魔法爆擊傷害 + %,1,464,1
56,物理/魔法爆擊率 + %,1,465,1
57,物理/魔法攻擊命中率 + %,1,466,1
58,武器攻擊力 +,1,492,1
59,武器攻擊力 + %,1,493,1
60,物理/魔法背後攻擊傷害 + %,1,494,1
61,物理/魔法傷害減少 +,1,495,1
62,物理/魔法固定傷害 +,1,496,1
63,物理/魔法攻擊迴避率 + %,1,497,1
64,普通怪物額外傷害 +,1,566,1
65,BOSS固定傷害 +,1,570,1
66,普通怪物支配力 + %,1,573,2
67,BOSS怪物支配力 + %,1,574,2
68,最小/最大傷害 + %,1,585,1
69,武器攻擊力/屬性力 +,1,586,1
70,武器攻擊力/屬性力 + %,1,587,1
71,物理/魔法固定傷害 + %,1,588,1
72,力量/魔力 +,1,594,1
73,力量/魔力 + %,1,595,1
74,防禦力/魔法抗力 +,1,596,1
75,防禦力/魔法抗力 + %,1,597,1
