ID,_Mission_Group,_Mission_Name,_Mission_Description,_Mission_Index,_Mission_Kind1,_Mission_ID1,_Mission_Count1,_Mission_Reward_Point
10701,1,完成3次任務,完成任意(一般、隨機、每日、活動)任務吧。,4,6,0,3,200
10702,1,完成1次訓練召喚獸,完成訓練召喚獸並獲得1次獎勵吧。,2,8,1,1,200
10703,1,消滅金幣副本獎勵箱子一次,消滅金幣副本「金幣副本獎勵箱子」吧。,1,2,810009478,1,200
10704,1,購買1次黃金證明,向貝羅斯都市的富翁耶比購買黃金證明吧。,2,25,190146092,1,200
10705,1,消滅2隻BOSS怪物,消滅任意BOSS怪物吧。,0,1,2,2,200
10706,2,消滅20隻BOSS怪物,消滅任意BOSS怪物吧。,0,1,2,20,500
10707,2,完成10次經驗的祝福任務,完成貝羅斯都市富翁耶比提供的經驗的祝福任務吧。,4,7,184008001,10,500
10708,2,完成2次隨機任務,在艾利亞斯都市東邊的隨機任務公告欄進行任務吧。,4,6,2,2,500
10709,2,購買7次重置結晶,向貝羅斯都市的洛汗購買重置結晶吧。,2,25,190146493,7,500
10710,2,完成5次破片的傳令任務,完成貝羅斯都市破片的傳令提供的任務吧。,4,7,204001099,5,500
10711,2,完成15次訓練召喚獸,完成訓練召喚獸並獲得15次獎勵吧。,2,8,1,15,500
10712,2,成功鑲嵌3次道具,成功鑲嵌任意道具吧。(快捷鍵：N),2,16,0,3,500
10713,3,完成30次戰鬥通行證每日任務,完成戰鬥通行證每日任務吧。,4,23,1,30,1500
10714,3,完成10次戰鬥通行證每週任務,完成戰鬥通行證每週任務吧。,4,24,2,10,1500
10715,3,完成50次戰鬥通行證每日任務,完成戰鬥通行證每日任務吧。,4,23,1,50,1500
10716,3,完成16次戰鬥通行證每週任務,完成戰鬥通行證每週任務吧。,4,24,2,16,1500
10717,3,完成100次任務,完成任意(一般、隨機、每日、活動)任務吧。,4,6,0,100,1500
10718,3,成功組合20次,成功組合20次任意道具(快捷鍵：F10)吧。,2,20,0,20,1500
10719,3,完成50次訓練召喚獸,完成訓練召喚獸並獲得50次獎勵吧。,2,8,1,50,1500
10720,3,消滅300隻BOSS怪物,消滅任意BOSS怪物吧。,0,1,2,300,1500
10721,3,完成30次經驗的祝福任務,完成貝羅斯都市富翁耶比提供的經驗的祝福任務吧。,4,7,184008001,30,1500
10722,3,完成30次戰鬥的庇護任務,完成貝羅斯都市富翁耶比提供的戰鬥的庇護任務吧。,4,7,184008002,30,1500
