ID,_MobID,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_StatusType3,_StatusValue3,_StatusType4,_StatusValue4,_Category,_Type,_Image,_ImageIndex,_ImagePosS_X,_ImagePosS_Y,_DisableFXGID,_FrontFXGID,_BackFXGID,_OpenLV,_OpenHP,_Kind,_Area,_ActiveFXGID,_ActiveSoundID,_Des,_Show
47,810000291,18,3,70,15,38,2,0,0,17,3,30013013,1,0,0,16253,16259,16258,1,1,2,11,16251,2248,暗黑龍提亞馬特的幼龍\n個性兇惡、殘忍且狡猾。,1
516,810003185,30,200,464,1,0,0,0,0,16,3,30013054,4,0,0,16252,16255,16254,1,1,1,113,16251,2248,因不明力量變巨大的突變小章魚士兵。,1
1,810000101,14,1,0,0,0,0,0,0,1,1,30011001,1,96,170,0,16255,0,1,1,1,1,16251,2248,無法將他視為怪物的可愛生物。,1
2,810000104,26,1,0,0,0,0,0,0,1,2,30012001,1,64,106,0,16255,0,1,1,1,1,16251,2248,同時具備螞蟻和甲蟲特色的生物。\n巨大的昆蟲形態，有堅硬的甲殼包裹全身。,1
3,810000109,22,1,0,0,0,0,0,0,1,2,30012001,2,64,106,0,16255,0,1,1,1,1,16251,2248,分布在山林地帶的犬型怪物，身上貼附著樹葉。,1
4,810000111,18,1,0,0,0,0,0,0,1,2,30012001,3,64,106,0,16255,0,1,1,1,1,16251,2248,狼型怪物。\n比起野狗，更善於戰鬥且力量強大。,1
6,810000112,14,10,22,10,0,0,0,0,1,2,30012001,5,64,106,0,16255,0,1,1,1,3,16251,2248,藍野狼。\n有時會掉出很好的道具。\n如果是用矛槍的冒險家，也可以專打藍野狼。,1
7,810000242,22,1,0,0,0,0,0,0,1,2,30012001,6,64,106,0,16255,0,1,1,1,3,16251,2248,具有非常快速又敏捷的身手，遇到敵人時，會將脖子上的官帽立起，讓自己看起來很高大以威脅敵人。\n聽說有些種類甚至可以在水上行走…\n據說對準考生和更年期男性很好而遭到濫捕，最近陷入滅種危機。,1
9,810000233,14,1,0,0,0,0,0,0,1,2,30012001,8,64,106,0,16255,0,1,1,1,3,16251,2248,古木森林裡的兇猛怪物。\n橫衝直撞這句話就是來自於對這怪物的形容。,1
10,810000115,26,1,0,0,0,0,0,0,1,2,30012001,9,64,106,0,16255,0,1,1,1,4,16251,2248,在神殿登場的泡泡形怪物。\n不是難纏的敵手，但不要以為他頭上有花就放心∼！,1
12,810000113,18,1,0,0,0,0,0,0,1,2,30012001,10,64,106,0,16255,0,1,1,1,4,16251,2248,在冥王神殿中成群結隊生活的可愛泡泡形怪物，從冥王神殿中誕生，分散在世界各地。,1
15,810000118,22,1,0,0,0,0,0,0,1,1,30011001,2,96,170,0,16255,0,1,1,1,4,16251,2248,在六面體的身體裡，有著星形核心的軟泥形態怪物。\n用糊狀的身體邊碰撞邊衝過來。,1
16,810000120,18,1,0,0,0,0,0,0,1,2,30012001,13,64,106,0,16255,0,1,1,1,4,16251,2248,使用鈍器攻擊人的怪物。\n雖然臉看起來愚笨，但其實實力堅強。,1
17,810000105,14,1,0,0,0,0,0,0,1,2,30012001,14,64,106,0,16255,0,1,1,1,217,16251,2248,兵蟻G在地下洞窟繁殖，受到產生毒器的怪物攻擊時，會有一定的機率中毒。,1
18,810000170,26,1,0,0,0,0,0,0,1,1,30011001,3,96,170,0,16255,0,1,1,1,7,16251,2248,在原野地帶自在爬行，但如果有人經過，就會撲上來的可怕怪物。,1
19,810000114,26,10,18,10,0,0,0,0,1,2,30012001,15,64,106,0,16255,0,1,1,1,217,16251,2248,躲在原野地帶與山嶽地帶之間的地下洞窟，且個性乖僻的變形泡泡。,1
41,810000121,26,1,0,0,0,0,0,0,1,2,30012002,7,64,106,16253,16259,16258,1,1,1,4,16251,2248,在無數哥布林當中，擁有最強力量的哥布林。,1
22,810000171,26,1,0,0,0,0,0,0,1,2,30012002,1,64,106,0,16255,0,1,1,1,7,16251,2248,生存在原野地帶的怪物。雖然膽小，但會進行可怕的攻擊。,1
29,810000147,14,1,0,0,0,0,0,0,2,1,30011001,4,96,170,0,16255,0,1,1,2,217,16251,2248,成群飛翔的怪物。\n說不定會成為地下洞窟裡最難纏的敵手…？\n關鍵在於如何分散他們，並一對一進行攻擊！！,1
26,810000287,26,1,0,0,0,0,0,0,2,3,30013012,1,0,0,0,16255,0,1,1,1,11,16251,2248,原本住在AJJIYA山洞裡的小爬蟲類。\n雖然看起來像隻蜥蜴，但受到暗黑龍提亞馬特和幼龍影波克的魔力影響而變成人類的大小。\n身為一名忠實的士兵，會接受命令並守護家園。,1
27,810000288,22,1,0,0,0,0,0,0,2,3,30013012,2,0,0,0,16255,0,1,1,1,11,16251,2248,雖然看起來像隻蜥蜴，但受到暗黑龍提亞馬特和幼龍影波克的魔力影響而變成人類的大小後，身為一名忠實的士兵，會接受命令並守護家園，具有邪惡蜥蜴的靈魂。,1
28,810000124,18,1,0,0,0,0,0,0,2,2,30012002,4,64,106,0,16255,0,1,1,1,12,16251,2248,居住在山嶽地帶體型雖小卻好戰的怪物，具有會讓人聯想到狐狸的外貌，四處都有他們步履蹣跚的蹤跡。\n磨練武器相當出色的怪物。,1
32,810000285,14,1,0,0,0,0,0,0,2,3,30013001,2,0,0,0,16255,0,1,1,1,11,16251,2248,他是亞瑟王騎士中的一人，出發尋找聖杯的冒險途中跌入次元的縫隙，現在在彩虹島世界內徘徊。他認為現在的磨難是上天為了讓他尋找聖杯而給予他的試煉。\n不過，他的想法卻是受到<影波克>施予的控制精神魔法所操縱。,1
33,810000123,26,1,0,0,0,0,0,0,2,3,30013001,1,0,0,0,16255,0,1,1,1,12,16251,2248,在山嶽地帶襲擊旅行者的兇暴野熊，雖然比老虎遲鈍，但具有更強大的力量和體力。,1
35,810000289,18,1,0,0,0,0,0,0,2,2,30012008,2,64,106,0,16255,0,1,1,2,11,16251,2248,侍奉精靈王歐備倫和王妃泰翼娜的精靈族成員。\n受到影波克影響而喪失力量，只能守護地牢且個性變得扭曲。\n也對，在精靈國時在國王和女王之間受盡折磨，來到人類世界又成為俘虜…任何人都會性格扭曲吧。,1
37,810000286,26,2,70,5,0,0,0,0,2,3,30013012,3,0,0,0,16255,0,1,1,1,11,16251,2248,傳說中的不祥魔獸，據說只要魔獸出現，國家就會受到農作物歉收或瘟疫所苦。\n他的外貌結合了許多動物，名字本身就具有「不知道是什麼」的意義。\n無法得知他為什麼或從哪裡出現，據說是提亞馬特擔心幼龍而召喚出來的…,1
38,810000132,22,1,0,0,0,0,0,0,2,3,30013001,3,0,0,0,16255,0,1,1,1,12,16251,2248,棲息在山嶽地帶深處洞穴中的兇暴野熊。,1
40,810000175,14,1,0,0,0,0,0,0,2,1,30011001,6,96,170,0,16255,0,1,1,1,12,16251,2248,生長在山嶽地帶，長得可愛卻魯莽的怪物。,1
44,810000174,106,1,114,10,118,10,0,0,2,3,30013001,4,0,0,0,16255,0,1,1,1,12,16251,2248,生長在山嶽地帶，變得兇巴巴的怪力野狼。,1
46,810000108,22,1,0,0,0,0,0,0,2,2,30012002,9,64,106,0,16255,0,1,1,1,16,16251,2248,生活在紅高粱地，長得很華麗的變形兵蟻G。,1
48,810000130,14,1,0,0,0,0,0,0,2,1,30011001,8,96,170,0,16255,0,1,1,1,17,16251,2248,生長在阿爾卡笛亞，擁有劇毒的突變青蛙怪。,1
50,810000128,22,1,0,0,0,0,0,0,2,2,30012002,10,64,106,0,16255,0,1,1,1,12,16251,2248,雖然他有美麗少女的外貌，實際上卻是有九條尾巴的狐狸？！,1
51,810000129,18,1,0,0,0,0,0,0,2,2,30012002,11,64,106,0,16255,0,1,1,1,17,16251,2248,行經阿爾卡笛亞，看起來軟弱但其實非常凶狠的變形九尾狐。,1
52,810000172,14,1,0,0,0,0,0,0,2,2,30012002,12,64,106,0,16255,0,1,1,2,16,16251,2248,在紅高粱地徘徊且長相滑稽的南瓜模樣怪物。\n看起來穿著韓國傳統服飾中的使道服。,1
54,810000116,22,1,0,0,0,0,0,0,2,1,30011001,9,96,170,0,16255,0,1,1,1,17,16251,2248,長得很像耶比妹妹，但棲息在阿爾卡笛亞。\n特徵是會散發棕色的光芒。,1
55,810000562,0,0,0,0,0,0,0,0,2,2,30012008,3,64,106,0,16255,0,1,1,2,18,16251,2248,無法轉變成大人就死去的嬰靈，總是懷有童心且喜歡惡作劇。,0
56,810000125,14,1,0,0,0,0,0,0,2,2,30012003,1,64,106,0,16255,0,1,1,1,12,16251,2248,在山嶽地帶襲擊旅行者的兇惡猛獸。,1
57,810000176,26,1,0,0,0,0,0,0,2,2,30012002,15,64,106,0,16255,0,1,1,1,17,16251,2248,搭乘雲朵在阿爾卡笛亞天空飛翔，且喜歡惡作劇的怪物。\n可能是孫悟空的後代子孫。\n應該說是猴子在模仿祖先嗎？,1
60,810000131,14,1,0,0,0,0,0,0,2,2,30012002,14,64,106,0,16255,0,1,1,1,17,16251,2248,世外桃源阿爾卡笛亞內神聖的桃子樹，受到邪惡力量影響而變質形成的怪物。,1
61,810000563,0,0,0,0,0,0,0,0,2,2,30012008,4,64,106,0,16255,0,1,1,1,18,16251,2248,原本是居住在家中的妖怪，被人類趕出去後，偷躲進醬缸裡。,0
62,810000127,22,1,0,0,0,0,0,0,2,2,30012003,2,64,106,0,16255,0,1,1,1,17,16251,2248,生長在阿爾卡笛亞，以烏黑毛皮而感到自豪的強大老虎。在所有老虎種類中，是破壞力最強的存在。,1
63,810000133,18,1,0,0,0,0,0,0,2,2,30012003,4,64,106,0,16255,0,1,1,1,21,16251,2248,守護櫻樹湖畔的兇猛怪物，長得很像野狗，但比野狗更有組織且會進行集團攻擊。,1
66,810000134,132,1,0,0,0,0,0,0,2,2,30012003,6,64,106,0,16255,0,1,1,1,21,16251,2248,生長在櫻樹湖畔水中的悠閒怪物。,1
67,810000564,0,0,0,0,0,0,0,0,2,3,30013013,3,0,0,0,16255,0,1,1,1,18,16251,2248,鬼怪是由老舊掃帚、火棍、破碗、草鞋等物品，經過長時間後附著靈魂所產生。\n喜歡蕎麥涼粉、高粱紅豆糕、米酒、唱歌和摔角，並害怕鮮血。\n想和人類一起玩，並試圖變得親近，既愛面子又很會猜忌和忌妒。,0
68,810000137,14,1,0,0,0,0,0,0,2,2,30012003,7,64,106,0,16255,0,1,1,1,21,16251,2248,接受黑月公主守護櫻樹湖畔命令的狐狸巡邏兵，具有地方色彩的特徵，所以有和武士一樣的威嚴。,1
69,810000126,26,1,0,0,0,0,0,0,2,2,30012003,3,64,106,0,16255,0,1,1,1,17,16251,2248,原本是擁有神聖靈力的存在，現在生活在阿爾卡笛亞，以亮麗銀色毫毛而感到自豪的強大老虎。,1
72,810000565,0,0,0,0,0,0,0,0,2,2,30012008,5,64,106,0,16255,0,1,1,1,18,16251,2248,身穿喪服的女鬼，雖然他受到了一些冤屈，但由於時間過太久而遺忘是什麼事由。\n好像是因為繼母惡劣的陰謀而死，又好像是被忌妒他的對手害死，但沒有人知道真相到底是什麼。\n他對情侶相當敏感。,0
74,810000299,22,4,70,5,0,0,0,0,2,2,30012002,15,64,106,0,16255,0,1,1,1,24,16251,2248,齊天大聖是從石頭中蹦出來的猴子，甚至被稱為高階神仙「真人」。\n原本是不會和神武那樣的怪物合作，但是神武手上有可以召喚齊天大聖的法寶，所以他只能違背自己的本意和玩家戰鬥。,1
75,810000566,0,0,0,0,0,0,0,0,2,3,30013013,4,0,0,0,16255,0,1,1,1,18,16251,2248,他是奉閻羅王的命令，引領將死之人到黃泉的存在。\n他在出差期間，因為黃泉三途川正好進行大運河工程而回不去，只好在人類世界徘徊。\n他感到非常為難。,0
70,810000135,22,1,0,0,0,0,0,0,3,2,30012003,9,64,106,0,16255,0,1,1,1,21,16251,2248,在櫻樹湖畔死去的冤魂，變成依附在櫻樹上的幽靈怪物。,1
80,810000139,14,2,0,0,0,0,0,0,3,2,30012003,10,64,106,0,16255,0,1,1,1,26,16251,2248,青色忍者，負責保護奧亦奇領主所在的黑月城。\n黑月城忍者中最弱。\n只要被打就會很痛。,1
81,810000136,26,2,0,0,0,0,0,0,3,2,30012003,16,64,106,0,16255,0,1,1,1,21,16251,2248,在櫻樹湖畔徘徊，長得漂亮但個性很差的變形櫻花樹邪靈。,1
82,810000297,22,2,0,0,0,0,0,0,3,2,30012004,2,64,106,0,16255,0,1,1,1,24,16251,2248,想要變成人類的海螺公主。\n受到神武的威脅，保衛香格里拉和玄武洞。\n雖然他知道神武不會實現他的願望，卻不得不幫助神武。\n是玩家最想要娶為新娘的怪物第1名！,1
83,810000140,18,2,0,0,0,0,0,0,3,2,30012004,1,64,106,0,16255,0,1,1,1,26,16251,2248,赤色忍者，負責保護奧亦奇領主所在的黑月城。\n紅色道服非常有型。,1
84,810000298,14,2,0,0,0,0,0,0,3,1,30011001,28,96,170,0,16255,0,1,1,1,24,16251,2248,原本和青蛙部族一點關係也沒有。\n他是受到詛咒成為青蛙的人類，受到神武力量的控制，守護著香格里拉的寶物。,1
