ID,_Type,_CategoryView,_PositionIndex,_EventType,_Name,_IconFile,_IconIndex,_Activation_Description,_Deactivation_Description1,_Deactivation_Description2,_Decorate_Item,_Decorate_Item_Count,_DAMAGE_ImgLink,_Foot_FX1,_Description
1,1,1,1,0,基本,10001113,1,點擊使用鍵即可使用[%s]傷害字型效果。,,,0,0,,0,
100107,1,1,83,1,青宴,10001113,141,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148763,1,Data/FX/DMG_FONT_116.png,0,
100106,1,0,35,0,哈密瓜麵包,10001113,1,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190145949,1,,0,
100105,1,1,32,0,萊菲卡,10001113,135,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148704,1,Data/FX/DMG_FONT_113.png,0,
100104,1,1,104,2,花蝶夢,10001113,136,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148662,1,Data/FX/DMG_FONT_114.png,0,
100103,1,1,40,3,米卡艾拉,10001113,137,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148659,1,Data/FX/DMG_FONT_115.png,0,
120001,1,1,54,1,親筆中文,10001113,128,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,1300001806,1,Data/FX/DMG_FONT_111.png,0,
120002,1,1,55,1,日文,10001113,126,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,1300001807,1,Data/FX/DMG_FONT_109.png,0,
100102,1,1,105,0,訓民正音,10001113,125,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148573,1,Data/FX/DMG_FONT_108.png,0,
100101,1,1,59,0,亞朗,10001113,124,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148561,1,Data/FX/DMG_FONT_107.png,0,
100100,1,1,57,1,棉棉羊,10001113,120,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148378,1,Data/FX/DMG_FONT_103.png,0,
100099,1,1,34,2,狗狗汪汪汪,10001113,123,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148432,1,Data/FX/DMG_FONT_106.png,0,
100098,1,1,97,0,天燈,10001113,122,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148433,1,Data/FX/DMG_FONT_105.png,0,
100097,1,1,10,0,青蛙呱呱,10001113,121,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148434,1,Data/FX/DMG_FONT_104.png,0,
100096,1,1,63,0,呷飽未,10001113,119,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,1300001545,1,Data/FX/DMG_FONT_102.png,0,
100095,1,1,106,2,黑糖＆白雪,10001113,118,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148189,1,Data/FX/DMG_FONT_101.png,0,
100094,1,1,60,2,艾莉兒,10001113,117,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148181,1,Data/FX/DMG_FONT_100.png,0,
100093,1,1,43,0,鏡子,10001113,116,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148373,1,Data/FX/DMG_FONT_099.png,0,
100092,1,1,91,0,毛球,10001113,114,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148163,1,Data/FX/DMG_FONT_097.png,0,
100091,1,1,55,0,水墨畫,10001113,115,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148164,1,Data/FX/DMG_FONT_098.png,0,
100090,1,1,107,0,黑月公主,10001113,113,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148092,1,Data/FX/DMG_FONT_096.png,0,
100089,1,1,22,0,小水獺,10001113,112,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148089,1,Data/FX/DMG_FONT_095.png,0,
100088,1,1,89,0,鍵盤,10001113,111,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190148033,1,Data/FX/DMG_FONT_094.png,0,
100087,1,1,62,0,艾露拉,10001113,109,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147932,1,Data/FX/DMG_FONT_092.png,0,
100086,1,1,11,0,命運守護者,10001113,107,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190145949,1,Data/FX/DMG_FONT_090.png,0,
100085,1,1,53,0,衝浪板,10001113,108,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147869,1,Data/FX/DMG_FONT_091.png,0,
100084,1,1,101,0,漢堡,10001113,99,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147836,1,Data/FX/DMG_FONT_082.png,0,
100083,1,1,88,0,咖啡,10001113,104,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147839,1,Data/FX/DMG_FONT_087.png,0,
100082,1,1,56,0,西瓜,10001113,105,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190145949,1,Data/FX/DMG_FONT_088.png,0,
100081,1,1,87,0,卡茲諾,10001113,106,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147838,1,Data/FX/DMG_FONT_089.png,0,
100080,1,1,95,0,胖達利,10001113,103,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147821,1,Data/FX/DMG_FONT_086.png,0,
100079,1,1,39,0,未知森林,10001113,100,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147764,1,Data/FX/DMG_FONT_083.png,0,
100078,1,1,37,0,穆亞＆喬艾,10001113,102,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147608,1,Data/FX/DMG_FONT_085.png,0,
100077,1,1,26,0,突變安蒂,10001113,101,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147762,1,Data/FX/DMG_FONT_084.png,0,
100076,1,1,99,0,耶比妹妹氣球,10001113,98,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190145949,1,Data/FX/DMG_FONT_081.png,0,
100075,1,1,28,0,朗菲,10001113,96,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147606,1,Data/FX/DMG_FONT_079.png,0,
100074,1,1,30,0,喚雨淨使,10001113,95,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190145949,1,Data/FX/DMG_FONT_078.png,0,
100073,1,1,6,0,CHOCOLATE,10001113,97,點擊使用鍵即可使用[%s]傷害字型效果。,點擊購買鍵即可獲得[%s]傷害字型效果。,[%s]道具數量不足。,190147646,1,Data/FX/DMG_FONT_080.png,0,
