ID,_Potential_Kind,_Step,_Step_Option,_Set1_Probability,_Set2_Probability,_Set3_Probability,_Set4_Probability,_Mission_Count,_ReueireEly
1,1001,1,10001,10000,8000,3000,1000,30000,10000000
2,1001,2,10001,10000,8500,3500,1500,20000,50000000
3,1001,3,10001,10000,9000,4000,2000,10000,100000000
4,1001,4,10001,10000,9500,4500,2500,5000,200000000
5,1001,5,10001,10000,10000,5000,3000,1250,400000000
6,2001,1,20001,10000,8000,3000,1000,30000,10000000
7,2001,2,20001,10000,8500,3500,1500,20000,50000000
8,2001,3,20001,10000,9000,4000,2000,10000,100000000
9,2001,4,20001,10000,9500,4500,2500,5000,200000000
10,2001,5,20001,10000,10000,5000,3000,1250,400000000
11,3001,1,30001,10000,8000,3000,1000,30000,10000000
12,3001,2,30001,10000,8500,3500,1500,20000,50000000
13,3001,3,30001,10000,9000,4000,2000,10000,100000000
14,3001,4,30001,10000,9500,4500,2500,5000,200000000
15,3001,5,30001,10000,10000,5000,3000,1250,400000000
16,4001,1,40001,10000,8000,3000,1000,30000,10000000
17,4001,2,40001,10000,8500,3500,1500,20000,50000000
18,4001,3,40001,10000,9000,4000,2000,10000,100000000
19,4001,4,40001,10000,9500,4500,2500,5000,200000000
20,4001,5,40001,10000,10000,5000,3000,1250,400000000
21,5001,1,50001,10000,8000,3000,1000,30000,10000000
22,5001,2,50001,10000,8500,3500,1500,20000,50000000
23,5001,3,50001,10000,9000,4000,2000,10000,100000000
24,5001,4,50001,10000,9500,4500,2500,5000,200000000
25,5001,5,50001,10000,10000,5000,3000,1250,400000000
26,6001,1,60001,10000,8000,3000,1000,30000,10000000
27,6001,2,60001,10000,8500,3500,1500,20000,50000000
28,6001,3,60001,10000,9000,4000,2000,10000,100000000
29,6001,4,60001,10000,9500,4500,2500,5000,200000000
30,6001,5,60001,10000,10000,5000,3000,1250,400000000
31,1002,1,10002,10000,8000,3000,1000,30000,10000000
32,1002,2,10002,10000,8500,3500,1500,20000,50000000
33,1002,3,10002,10000,9000,4000,2000,10000,100000000
34,1002,4,10002,10000,9500,4500,2500,5000,200000000
35,1002,5,10002,10000,10000,5000,3000,1250,400000000
36,2002,1,20002,10000,8000,3000,1000,30000,10000000
37,2002,2,20002,10000,8500,3500,1500,20000,50000000
38,2002,3,20002,10000,9000,4000,2000,10000,100000000
39,2002,4,20002,10000,9500,4500,2500,5000,200000000
40,2002,5,20002,10000,10000,5000,3000,1250,400000000
41,3002,1,30002,10000,8000,3000,1000,30000,10000000
42,3002,2,30002,10000,8500,3500,1500,20000,50000000
43,3002,3,30002,10000,9000,4000,2000,10000,100000000
44,3002,4,30002,10000,9500,4500,2500,5000,200000000
45,3002,5,30002,10000,10000,5000,3000,1250,400000000
46,4002,1,40002,10000,8000,3000,1000,30000,10000000
47,4002,2,40002,10000,8500,3500,1500,20000,50000000
48,4002,3,40002,10000,9000,4000,2000,10000,100000000
49,4002,4,40002,10000,9500,4500,2500,5000,200000000
50,4002,5,40002,10000,10000,5000,3000,1250,400000000
51,5002,1,50002,10000,8000,3000,1000,30000,10000000
52,5002,2,50002,10000,8500,3500,1500,20000,50000000
53,5002,3,50002,10000,9000,4000,2000,10000,100000000
54,5002,4,50002,10000,9500,4500,2500,5000,200000000
55,5002,5,50002,10000,10000,5000,3000,1250,400000000
56,6002,1,60002,10000,8000,3000,1000,30000,10000000
57,6002,2,60002,10000,8500,3500,1500,20000,50000000
58,6002,3,60002,10000,9000,4000,2000,10000,100000000
59,6002,4,60002,10000,9500,4500,2500,5000,200000000
60,6002,5,60002,10000,10000,5000,3000,1250,400000000
61,3003,1,30003,10000,8000,3000,1000,30000,10000000
62,3003,2,30003,10000,8500,3500,1500,20000,50000000
63,3003,3,30003,10000,9000,4000,2000,10000,100000000
64,3003,4,30003,10000,9500,4500,2500,5000,200000000
65,3003,5,30003,10000,10000,5000,3000,1250,400000000
66,3004,1,30004,10000,8000,3000,1000,30000,10000000
67,3004,2,30004,10000,8500,3500,1500,20000,50000000
68,3004,3,30004,10000,9000,4000,2000,10000,100000000
69,3004,4,30004,10000,9500,4500,2500,5000,200000000
70,3004,5,30004,10000,10000,5000,3000,1250,400000000
71,3005,1,30005,10000,8000,3000,1000,30000,10000000
72,3005,2,30005,10000,8500,3500,1500,20000,50000000
73,3005,3,30005,10000,9000,4000,2000,10000,100000000
74,3005,4,30005,10000,9500,4500,2500,5000,200000000
75,3005,5,30005,10000,10000,5000,3000,1250,400000000
