ID,_Time1,_ItemID1,_PcItemID1,_Time2,_ItemID2,_PcItemID2,_Time3,_ItemID3,_PcItemID3,_Time4,_ItemID4,_PcItemID4
22092602,10,22092608,22091501,30,22092609,22091501,60,22092610,22091501,120,22092611,22091501
22102402,10,22102431,22091501,30,22102432,22091501,60,22102433,22091501,120,22102434,22091501
22111402,10,22111431,22091501,30,22111432,22091501,60,22111433,22091501,120,22111434,22091501
22122102,10,22122111,22091501,30,22122112,22091501,60,22122113,22091501,120,22122114,22091501
23010902,10,23010911,22091501,30,23010912,22091501,60,23010913,22091501,120,23010914,22091501
23011302,10,23011327,22091501,30,23011328,22091501,60,23011329,22091501,120,23011330,22091501
23020102,10,23020129,22091501,30,23020130,22091501,60,23020131,22091501,120,23020132,22091501
23031502,10,23031511,22091501,30,23031512,22091501,60,23031513,22091501,120,23031514,22091501
23032402,10,23032411,22091501,30,23032412,22091501,60,23032413,22091501,120,23032414,22091501
23041702,10,23041729,22091501,30,23041730,22091501,60,23041731,22091501,120,23041732,22091501
23051902,10,23051929,22091501,30,23051930,22091501,60,23051931,22091501,120,23051932,22091501
23060902,10,23060911,22091501,30,23060912,22091501,60,23060913,22091501,120,23060914,22091501
23062602,10,23062611,22091501,30,23062612,22091501,60,23062613,22091501,120,23062614,22091501
23071302,10,23071329,22091501,30,23071330,22091501,60,23071331,22091501,120,23071332,22091501
23080902,10,23080911,22091501,30,23080912,22091501,60,23080913,22091501,120,23080914,22091501
23082402,10,23082426,22091501,30,23082427,22091501,60,23082428,22091501,120,23082429,22091501
23091902,10,23091909,22091501,30,23091910,22091501,60,23091911,22091501,120,23091912,22091501
23100502,10,23100516,22091501,30,23100517,22091501,60,23100518,22091501,120,23100519,22091501
23101802,10,23101826,22091501,30,23101827,22091501,60,23101828,22091501,120,23101829,22091501
23111702,10,23111726,22091501,30,23111727,22091501,60,23111728,22091501,120,23111729,22091501
23121202,10,23121211,22091501,30,23121212,22091501,60,23121213,22091501,120,23121214,22091501
24010502,10,24010511,22091501,30,24010512,22091501,60,24010513,22091501,120,24010514,22091501
24012302,10,24012326,22091501,30,24012327,22091501,60,24012328,22091501,120,24012329,22091501
24020502,10,24020527,22091501,30,24020528,22091501,60,24020529,22091501,120,24020530,22091501
24030702,10,24030715,22091501,30,24030716,22091501,60,24030717,22091501,120,24030718,22091501
24032602,10,24032611,22091501,30,24032612,22091501,60,24032613,22091501,120,24032614,22091501
24042502,10,24042511,22091501,30,24042512,22091501,60,24042513,22091501,120,24042514,22091501
24050902,10,24050908,22091501,30,24050909,22091501,60,24050910,22091501,120,24050911,22091501
24052002,10,24052026,22091501,30,24052027,22091501,60,24052028,22091501,120,24052029,22091501
24062002,10,24062008,22091501,30,24062009,22091501,60,24062010,22091501,120,24062011,22091501
24070102,10,24070122,22091501,30,24070123,22091501,60,24070124,22091501,120,24070125,22091501
