ID,_NeedPoint1,_1Step_Exchange1,_1Step_Exchange2,_1Step_Exchange3,_1Step_Exchange4,_1Step_Exchange5,_1Step_Exchange6,_1Step_Exchange7,_1Step_Exchange8,_NeedPoint2,_2Step_Exchange1,_2Step_Exchange2,_2Step_Exchange3,_2Step_Exchange4,_2Step_Exchange5,_2Step_Exchange6,_2Step_Exchange7,_2Step_Exchange8,_NeedPoint3,_3Step_Exchange1,_3Step_Exchange2,_3Step_Exchange3,_3Step_Exchange4,_3Step_Exchange5,_3Step_Exchange6,_3Step_Exchange7,_3Step_Exchange8,_NeedPoint4,_4Step_Exchange1,_4Step_Exchange2,_4Step_Exchange3,_4Step_Exchange4,_4Step_Exchange5,_4Step_Exchange6,_4Step_Exchange7,_4Step_Exchange8,_NeedPoint5,_5Step_Exchange1,_5Step_Exchange2,_5Step_Exchange3,_5Step_Exchange4,_5Step_Exchange5,_5Step_Exchange6,_5Step_Exchange7,_5Step_Exchange8
22092604,1250,22092601,22092602,22092603,22092604,22092605,22092606,0,0,1050,22092607,22092608,22092609,22092610,22092611,22092612,0,0,850,22092613,22092614,22092615,22092616,0,0,0,0,650,22092617,22092618,22092619,22092620,0,0,0,0,999999,22092621,22092622,22092623,0,0,0,0,0
22102404,1500,22102401,22102402,22102403,22102404,22102405,22102406,0,0,1050,22102407,22102408,22102409,22102410,22102411,22102412,0,0,850,22102413,22102414,22102415,22102416,0,0,0,0,650,22102417,22102418,22102419,22102420,0,0,0,0,999999,22102421,22102422,22102423,0,0,0,0,0
22110402,3000,22110401,22110402,22110403,22110404,22110405,22110406,22110407,0,2400,22110408,22110409,22110410,22110411,22110412,22110413,22110414,0,1800,22110415,22110416,22110417,22110418,22110419,22110420,0,0,1200,22110421,22110422,22110423,22110424,22110425,22110426,0,0,999999,22110427,22110428,22110429,22110430,22110431,0,0,0
22120202,2600,22120201,22120202,22120203,22120204,22120205,22120206,22120207,0,2200,22120208,22120209,22120210,22120211,22120212,22120213,22120214,0,1800,22120215,22120216,22120217,22120218,22120219,22120220,0,0,1200,22120221,22120222,22120223,22120224,22120225,22120226,0,0,999999,22120227,22120228,22120229,22120230,22120231,0,0,0
22122104,2600,22122101,22122102,22122103,22122104,22122105,22122106,22122107,0,2200,22122108,22122109,22122110,22122111,22122112,22122113,22122114,0,1800,22122115,22122116,22122117,22122118,22122119,22122120,0,0,1200,22122121,22122122,22122123,22122124,22122125,22122126,0,0,999999,22122127,22122128,22122129,22122130,22122131,0,0,0
23012602,2400,23012601,23012602,23012603,23012604,23012605,23012606,23012607,0,2100,23012608,23012609,23012610,23012611,23012612,23012613,23012614,0,1800,23012615,23012616,23012617,23012618,23012619,23012620,0,0,1500,23012621,23012622,23012623,23012624,0,0,0,0,999999,23012625,23012626,23012627,23012628,0,0,0,0
23021602,2400,23021601,23021602,23021603,23021604,23021605,23021606,0,0,2100,23021607,23021608,23021609,23021610,23021611,23021612,0,0,1800,23021613,23021614,23021615,23021616,23021617,0,0,0,1500,23021618,23021619,23021620,23021621,0,0,0,0,999999,23021622,23021623,23021624,0,0,0,0,0
23031504,350,23031501,23031502,23031503,23031504,23031505,23031506,0,0,300,23031507,23031508,23031509,0,0,0,0,0,250,23031510,23031511,23031512,0,0,0,0,0,200,23031513,23031514,0,0,0,0,0,0,999999,23031515,23031516,23031517,0,0,0,0,0
23041704,350,23041701,23041702,23041703,23041704,23041705,23041706,0,0,300,23041707,23041708,23041709,23041710,0,0,0,0,250,23041711,23041712,23041713,0,0,0,0,0,200,23041714,23041715,0,0,0,0,0,0,999999,23041716,23041717,23041718,0,0,0,0,0
23051904,600,23051901,23051902,23051903,23051904,23051905,23051906,0,0,500,23051907,23051908,23051909,0,0,0,0,0,400,23051910,23051911,23051912,0,0,0,0,0,300,23051913,23051914,0,0,0,0,0,0,999999,23051915,23051916,23051917,0,0,0,0,0
23062604,400,23062601,23062602,23062603,23062604,23062605,23062606,0,0,350,23062607,23062608,23062609,0,0,0,0,0,300,23062610,23062611,23062612,0,0,0,0,0,300,23062613,23062614,0,0,0,0,0,0,999999,23062615,23062616,0,0,0,0,0,0
23072702,300,23072701,23072702,23072703,23072704,23072705,23072706,0,0,300,23072707,23072708,23072709,0,0,0,0,0,300,23072710,23072711,23072712,0,0,0,0,0,300,23072713,23072714,23072715,0,0,0,0,0,999999,23072716,23072717,23072718,0,0,0,0,0
23082404,300,23082401,23082402,23082403,23082404,23082405,0,0,0,300,23082406,23082407,23082408,0,0,0,0,0,300,23082409,23082410,23082411,0,0,0,0,0,300,23082412,23082413,23082414,23082415,0,0,0,0,999999,23082416,23082417,23082418,0,0,0,0,0
23091904,400,23091901,23091902,23091903,23091904,23091905,0,0,0,300,23091906,23091907,23091908,0,0,0,0,0,300,23091909,23091910,23091911,0,0,0,0,0,400,23091912,23091913,23091914,0,0,0,0,0,999999,23091915,23091916,0,0,0,0,0,0
23103102,350,23110101,23110102,23110103,23110104,0,0,0,0,300,23110105,23110106,23110107,0,0,0,0,0,300,23110108,23110109,23110110,0,0,0,0,0,400,23110111,23110112,23110113,0,0,0,0,0,999999,23110114,23110115,0,0,0,0,0,0
23112702,300,23112701,23112702,23112703,23112704,0,0,0,0,300,23112705,23112706,23112707,0,0,0,0,0,300,23112708,23112709,23112710,0,0,0,0,0,400,23112711,23112712,23112713,0,0,0,0,0,999999,23112714,23112715,0,0,0,0,0,0
23122802,300,23122801,23122802,23122803,23122804,0,0,0,0,300,23122805,23122806,23122807,0,0,0,0,0,300,23122808,23122809,23122810,0,0,0,0,0,400,23122811,23122812,23122813,0,0,0,0,0,999999,23122814,23122815,0,0,0,0,0,0
24012304,300,24012301,24012302,24012303,24012304,0,0,0,0,400,24012305,24012306,24012307,0,0,0,0,0,400,24012308,24012309,24012310,0,0,0,0,0,500,24012311,24012312,24012313,24012314,0,0,0,0,999999,24012315,24012316,24012317,0,0,0,0,0
24022702,300,24022701,24022702,24022703,24022704,0,0,0,0,300,24022705,24022706,24022707,0,0,0,0,0,300,24022708,24022709,24022710,0,0,0,0,0,300,24022711,24022712,24022713,0,0,0,0,0,999999,24022714,24022715,24022716,0,0,0,0,0
24032502,200,24032501,24032502,24032503,24032504,24032505,24032506,24032507,24032508,200,24032509,24032510,24032511,24032512,24032513,24032514,24032515,24032516,300,24032517,24032518,24032519,24032520,24032521,24032522,24032523,24032524,300,24032525,24032526,24032527,24032528,24032529,24032530,24032531,24032532,999999,24032533,24032534,24032535,24032536,24032537,24032538,24032539,24032540
24042504,200,24042501,24042502,24042503,24042504,24042505,24042506,24042507,24042508,200,24042509,24042510,24042511,24042512,24042513,24042514,24042515,24042516,300,24042517,24042518,24042519,24042520,24042521,24042522,24042523,24042524,300,24042525,24042526,24042527,24042528,24042529,24042530,24042531,24042532,999999,24042533,24042534,24042535,24042536,24042537,24042538,24042539,24042540
24052004,200,24052001,24052002,24052003,24052004,24052005,24052006,24052007,24052008,200,24052009,24052010,24052011,24052012,24052013,24052014,24052015,24052016,300,24052017,24052018,24052019,24052020,24052021,24052022,24052023,24052024,300,24052025,24052026,24052027,24052028,24052029,24052030,24052031,24052032,999999,24052033,24052034,24052035,24052036,24052037,24052038,24052039,24052040
24070104,200,24070101,24070102,24070103,24070104,24070105,24070106,24070107,24070108,200,24070109,24070110,24070111,24070112,24070113,24070114,24070115,24070116,300,24070117,24070118,24070119,24070120,24070121,24070122,24070123,24070124,300,24070125,24070126,24070127,24070128,24070129,24070130,24070131,24070132,999999,24070133,24070134,24070135,24070136,24070137,24070138,24070139,24070140
