ID,_Daily_Mission1,_Daily_Mission2,_Daily_Mission3,_Daily_Mission4,_Daily_Mission5,_1Step_Mission1,_1Step_Mission2,_1Step_Mission3,_1Step_Mission4,_1Step_Mission5,_2Step_Mission1,_2Step_Mission2,_2Step_Mission3,_2Step_Mission4,_2Step_Mission5,_3Step_Mission1,_3Step_Mission2,_3Step_Mission3,_3Step_Mission4,_3Step_Mission5,_4Step_Mission1,_4Step_Mission2,_4Step_Mission3,_4Step_Mission4,_4Step_Mission5,_5Step_Mission1,_5Step_Mission2,_5Step_Mission3,_5Step_Mission4,_5Step_Mission5
22092603,22092601,22092602,22092603,22092604,22092605,22092606,22092607,22092608,22092609,0,22092610,22092611,22092612,22092613,0,22092614,22092615,22092616,22092617,0,0,0,0,0,0,0,0,0,0,0
22102403,22102401,22102402,22102403,22102404,22102405,22102406,22102407,22102408,22102409,0,22102410,22102411,22102412,22102413,0,22102414,22102415,22102416,22102417,0,0,0,0,0,0,0,0,0,0,0
22110401,22110401,22110402,22110403,22110404,22110405,22110406,22110407,22110408,22110409,22110410,22110411,22110412,22110413,22110414,22110415,22110416,22110417,22110418,22110419,22110420,22110421,22110422,22110423,22110424,22110425,22110426,22110427,22110428,22110429,22110430
22120201,22120201,22120202,22120203,22120204,22120205,22120206,22120207,22120208,22120209,22120210,22120211,22120212,22120213,22120214,22120215,22120216,22120217,22120218,22120219,22120220,22120221,22120222,22120223,22120224,22120225,22120226,22120227,22120228,22120229,22120230
22122103,22122101,22122102,22122103,22122104,22122105,22122106,22122107,22122108,22122109,22122110,22122111,22122112,22122113,22122114,22122115,22122116,22122117,22122118,22122119,22122120,22122121,22122122,22122123,22122124,22122125,22122126,22122127,22122128,22122129,22122130
23012601,23012601,23012602,23012603,23012604,23012605,23012606,23012607,23012608,23012609,23012610,23012611,23012612,23012613,23012614,23012615,23012616,23012617,23012618,23012619,23012620,23012621,23012622,23012623,23012624,23012625,23012626,23012627,23012628,23012629,23012630
23021601,23021601,23021602,23021603,23021604,23021605,23021606,23021607,23021608,23021609,23021610,23021611,23021612,23021613,23021614,23021615,23021616,23021617,23021618,23021619,23021620,23021621,23021622,23021623,23021624,23021625,23021626,23021627,23021628,23021629,23021630
23031503,23031501,23031502,23031503,23031504,0,23031505,23031506,23031507,23031508,0,23031509,23031510,23031511,23031512,0,23031513,23031514,23031515,23031516,0,23031517,23031518,23031519,23031520,0,23031521,23031522,23031523,23031524,0
23041703,23041701,23041702,23041703,23041704,0,23041705,23041706,23041707,23041708,0,23041709,23041710,23041711,23041712,0,23041713,23041714,23041715,23041716,0,23041717,23041718,23041719,23041720,0,23041721,23041722,23041723,23041724,0
23051903,23051901,23051902,23051903,23051904,0,23051905,23051906,23051907,23051908,0,23051909,23051910,23051911,23051912,0,23051913,23051914,23051915,23051916,0,23051917,23051918,23051919,23051920,0,23051921,23051922,23051923,23051924,0
23062603,23062601,23062602,23062603,23062604,0,23062605,23062606,23062607,23062608,0,23062609,23062610,23062611,23062612,0,23062613,23062614,23062615,23062616,0,23062617,23062618,23062619,23062620,0,23062621,23062622,23062623,23062624,0
23072701,23072701,23072702,23072703,23072704,0,23072705,23072706,23072707,23072708,0,23072709,23072710,23072711,23072712,0,23072713,23072714,23072715,23072716,0,23072717,23072718,23072719,23072720,0,23072721,23072722,23072723,23072724,0
23082403,23082401,23082402,23082403,23082404,0,23082405,23082406,23082407,23082408,0,23082409,23082410,23082411,23082412,0,23082413,23082414,23082415,23082416,0,23082417,23082418,23082419,23082420,0,23082421,23082422,23082423,23082424,0
23091903,23091901,23091902,23091903,23091904,0,23091905,23091906,23091907,23091908,0,23091909,23091910,23091911,23091912,0,23091913,23091914,23091915,23091916,0,23091917,23091918,23091919,23091920,0,23091921,23091922,23091923,23091924,0
23103101,23110101,23110102,23110103,23110104,0,23110105,23110106,23110107,23110108,0,23110109,23110110,23110111,23110112,0,23110113,23110114,23110115,23110116,0,23110117,23110118,23110119,23110120,0,23110121,23110122,23110123,23110124,0
23112701,23112701,23112702,23112703,23112704,0,23112705,23112706,23112707,23112708,0,23112709,23112710,23112711,23112712,0,23112713,23112714,23112715,23112716,0,23112717,23112718,23112719,23112720,0,23112721,23112722,23112723,23112724,0
23122801,23122801,23122802,23122803,23122804,0,23122805,23122806,23122807,23122808,0,23122809,23122810,23122811,23122812,0,23122813,23122814,23122815,23122816,0,23122817,23122818,23122819,23122820,0,23122821,23122822,23122823,23122824,0
24012303,24012301,24012302,24012303,24012304,0,24012305,24012306,24012307,24012308,0,24012309,24012310,24012311,24012312,0,24012313,24012314,24012315,24012316,0,24012317,24012318,24012319,24012320,0,24012321,24012322,24012323,24012324,0
24022701,24022701,24022702,24022703,24022704,0,24022705,24022706,24022707,24022708,0,24022709,24022710,24022711,24022712,0,24022713,24022714,24022715,24022716,0,24022717,24022718,24022719,24022720,0,24022721,24022722,24022723,24022724,0
24032501,24032501,24032502,24032503,24032504,0,24032505,24032506,24032507,24032508,0,24032509,24032510,24032511,24032512,0,24032513,24032514,24032515,24032516,0,24032517,24032518,24032519,24032520,0,24032521,24032522,24032523,24032524,0
24042503,24042501,24042502,24042503,24042504,0,24042505,24042506,24042507,24042508,0,24042509,24042510,24042511,24042512,0,24042513,24042514,24042515,24042516,0,24042517,24042518,24042519,24042520,0,24042521,24042522,24042523,24042524,0
24052003,24052001,24052002,24052003,24052004,0,24052005,24052006,24052007,24052008,0,24052009,24052010,24052011,24052012,0,24052013,24052014,24052015,24052016,0,24052017,24052018,24052019,24052020,0,24052021,24052022,24052023,24052024,0
24070103,24070101,24070102,24070103,24070104,24070105,24070106,24070107,24070108,24070109,24070110,24070111,24070112,24070113,24070114,24070115,24070116,24070117,24070118,24070119,24070120,24070121,24070122,24070123,24070124,24070125,24070126,24070127,24070128,24070129,24070130
