ID,_STRING,_DESC
10001,戰士：\n以攻擊力為主成長。初級者也可以安心選擇的職業。,??? ???. ?? ??? ??
10002,騎士：\n以體力為主成長。組隊中為同伴阻擋敵人攻擊的領導型角色。,??? ???. ?? ??? ??
10003,法師:\n可以使用魔法的唯一角色，可以使用各種屬性的魔法。,??? ???. ??? ??? ??
10004,遊俠:\n可以學習各種輔助技能。非戰鬥狀態時也可以發揮力量。,??? ???. ??? ??? ??
10013,工程師:\n 操作機器的熟練工，將本人製作的機器靈活地應用到戰鬥。,??? ???. ??? ??? ??
10033,靈魂破壞者:\n 借助怪物的靈魂和能力，發揮強大力量的職業。,??? ???. ?? ???? ??? ??
10046,卡牌大師:\n 運用華麗技巧使用內含神秘力量的卡牌，使其在戰鬥中成為主導的職業。,??? ???. ?? ?? ??? ??
10053,浪人劍客:\n 以各種方法使用具有神秘力量的卡片，引導有效率的戰鬥。,??? ???. ?? ?? ??? ??
20000,Lv.%d,??? ?? ?. ?? ??. ?? ??.
20001,戰士,??? ?? ?. ?? ??
20002,騎士,??? ?? ?. ?? ??
20003,法師,??? ?? ?. ?? ??
20004,遊俠,time out ???
20005,督軍,??? ?? ?. ?? ??
20006,劍鬥士,??? ?? ?. ?? ??
20007,聖殿騎士,??? ?? ?. ?? ??
20008,武術家,??? ?? ?. ?? ??
20009,魔導士,??? ?? ?. ?? ??
20010,吟遊詩人,??? ?? ?. ?? ??
20011,寶藏獵人,??? ?? ?. ?? ??
20012,神槍手,??? ?? ?. ?? ??
20013,工程師,??? ?? ?. ?? ??
20014,機甲師,??? ?? ?. ?? ??
20015,龍騎兵,??? ?? ?. ?? ??
20016,劍聖,??? ?? ?. ?? ??
20017,神騎士,??? ?? ?. ?? ??
20018,宗師,??? ?? ?. ?? ??
20019,元素使,??? ?? ?. ?? ??
20020,演奏家,??? ?? ?. ?? ??
20021,神射手,??? ?? ?. ?? ??
20022,狙擊手,??? ?? ?. ?? ??
20023,操控師,??? ?? ?. ?? ??
20024,魂之勇者,??? ?? ?. ?? ??
20025,劍刃舞者,??? ?? ?. ?? ??
20026,恐懼騎士,??? ?? ?. ?? ??
20027,鬥神,??? ?? ?. ?? ??
20028,幻術師,??? ?? ?. ?? ??
20029,音樂大師,??? ?? ?. ?? ??
20030,忍者,??? ?? ?. ?? ??
20031,審判者,??? ?? ?. ?? ??
20032,改造大師,??? ?? ?. ?? ??
20033,靈魂破壞者,??? ?? ?. ?? ??
20034,靈魂掠奪者,??? ?? ?. ?? ??
20035,靈魂統治者,??? ?? ?. ?? ??
20036,天之王者,??? ?? ?. ?? ??
20037,幻武劍豪,??? ?? ?. ?? ??
20038,創世主,??? ?? ?. ?? ??
20039,諸神使者,??? ?? ?. ?? ??
20040,大毀滅者,??? ?? ?. ?? ??
20041,流行天王,??? ?? ?. ?? ??
20042,風之潛行者,??? ?? ?. ?? ??
20043,裁決射手,??? ?? ?. ?? ??
20044,究極兵甲,??? ?? ?. ?? ??
20045,弒魂者,??? ?? ?. ?? ??
20046,卡片大師,??? ?? ?. ?? ??
20047,高階大師,??? ?? ?. ?? ??
20048,神聖大師,??? ?? ?. ?? ??
20049,弧形大師,??? ?? ?. ?? ??
20050,決鬥大師,??? ?? ?. ?? ??
20051,黑暗大師,??? ?? ?. ?? ??
20052,暴力大師,??? ?? ?. ?? ??
20053,浪人劍客,??? ?? ?. ?? ??
20054,狂刃武士,??? ?? ?. ?? ??
20055,黑狼武士,??? ?? ?. ?? ??
20056,闇影武士,??? ?? ?. ?? ??
20057,修道士,??? ?? ?. ?? ??
20058,對戰大師,??? ?? ?. ?? ??
20059,復仇者,??? ?? ?. ?? ??
20060,混血天神,??? ?? ?. ?? ??
20061,傭兵,??? ?? ?. ?? ??
20062,火焰大師,??? ?? ?. ?? ??
20063,喚焱者,??? ?? ?. ?? ??
20064,炙焰天,??? ?? ?. ?? ??
20065,擊劍士,??? ?? ?. ?? ??
20066,終結者,??? ?? ?. ?? ??
20067,劍極大師,??? ?? ?. ?? ??
20068,黑暗追擊者,??? ?? ?. ?? ??
20069,寶石之星,??? ?? ?. ?? ??
20070,槍兵,??? ?? ?. ?? ??
20071,黑暗騎士,??? ?? ?. ?? ??
20072,和平使者,??? ?? ?. ?? ??
20073,暗影行者,??? ?? ?. ?? ??
20074,御風引者,??? ?? ?. ?? ??
20075,喚雨淨使,??? ?? ?. ?? ??
30000,連接中,??? ??. ?? ???
30001,請您再確認帳號/密碼情報。,??? ??. ??? ?? ???.
30002,密碼錯誤。,??? ??. ?? ?? ?? ???.
30003,遊戲中已有相同的帳號。\n稍後請重新連接。,??? ??. ??? ?? ?? ?? ???.
30004,該帳號已停止使用。\n詳細內容請確認官方網站。,??? ??. ??? ?? ???.
30005,伺服器正在維護。\n詳細內容請確認官方網站。,??? ??. ?? ?? ???.
30006,版本錯誤。,"??? ??, ????? ????"
30007,連接失敗。,??? ??. ?? ?? ???
30008,現在因為連接爆增，連接延遲。\n請稍等。,"??? ??, ??? 3??? ???? ?? ??? ???"
30009,帳號或密碼錯誤。,??? ??. ??? ?? ???? ?? ???.
30010,請重新運行。,??? ??? ?????? ??? ?? ??? ?? ?? ???
30011,很抱歉，現在GM為了確認您的帳號資訊，限制連接，請諒解。,??? ??. ???? ???
30012,原始檔案版本錯誤。,? ??? ?? ??
30013,當前帳號在轉移角色。\n結束角色轉移的週三例行維護後，請再連接。,?? ?? ?? ? ?? ? ?? ???
30021,為了登錄遊戲，請登錄官方網站後，註冊彩虹島物語遊戲。,
30022,帳號認證失敗。重新連接，或請參考官方網站的公告。,??? ??? ???? ??
30023,現在的區域登入不了彩虹島物語。感謝您對彩虹島物語的關心。,??? ??? ?? ?? ?? ?(?? ??)
30024,該IP不能登錄彩虹島物語。,??? ??? ?? ?? ?? ?(?? ???)?? ?? ?? ???
30025,IP已更改。請諮詢網路系統管理員。,
30026,您的身份證輸入錯誤,(??? ??? ?? ??? ?????.) ?? ??? ?? ?? ??
30027,並不是IP管理服務裡登錄的IP，請參考Happyoz客服保安服務。,???? IP?? ??
30028,為保護顧客重要的個人資訊\n若超過6個月以上未\n連線至本遊戲，則會變更為\n休眠狀態。\n\n進行完簡單的個人資訊確認後\n即可正常使用。\n謝謝。,[???] ???? ?? ??
30029,由於顧客尚未取得監護人的同意，\n目前為限制連線狀態。\n\n完成監護人同意步驟以後，\n即可正常進行遊戲。\n\n若不完成監護人同意步驟，\n過一段時間後會自動進行退出處理。\n\n此為遵守健全的遊戲文化政策\n所設立的內容，請多加諒解。\n謝謝,[???] ??? ??? ??
40000,正在生成角色。,??? ?? ??. ??? ?? ?? ???
40001,該名字已使用。\n請輸入其他名字。,??? ?? ??. ??? ?? ?? ???
40002,是不可以使用的名字。,??? ?? ??. ??? ?? ?? ???. ABUSE ?? ???
40003,角色名字長度錯誤。,??? ?? ??. ??? ?? ?? ???. ?? ?? ?? ???.
40004,角色名字中包含了不允許的文字。,??? ?? ??. ??? ?? ?? ???. ?? ?? ?? ???? ?? ?? ?? ?
40005,可以使用的名稱。,[??? ??] ????
40006,該名稱已有用戶使用 \請輸入其他名稱,[??? ??] ?? ??
50001,玩家已滿。\n請使用其他頻道。,?? ?? ????. ?? ?? ?? ???
50002,伺服器正在維護。詳細內容請參考官方網站。,?? ?? ????. ?? ?? ???(??? ??? ? ?? ??).
60000,連接中。\n請稍等。,??? ????. ?? ?? ?? ?? ???
60001,玩家已滿。\n請使用其他頻道。,??? ????. ?? ?? ?? ???
60002,伺服器正在維護。,??? ????. ?? ?? ???(??? ??? ? ?? ??).
60010,正在刪除角色。,??? ????. ??? ?? ?? ???
60011,我要刪除,??? ????. ??? ?? ???
