ID,_Guide_Type,_LvSection,_Name,_Category,_CategoryPosition,_ConditionType,_ConditionID,_Open,_TipMessage,_PortalID,_TipItemLink,_HelpType,_HelpImage,_HelpMessage,_SystemLinkID,_SystemSubID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_HelpLinkID
1,1,,任務,1,1,2,58958905,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
2,1,Lv. 1 ~ 20,,2,101,2,58958906,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10101,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
3,1,Lv. 20 ~ 40,,2,102,1,20,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10102,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
4,1,Lv. 40 ~ 60,,2,103,1,40,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10103,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
5,1,Lv. 60 ~ 80,,2,104,1,60,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10104,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
6,1,Lv. 80 ~ 100,,2,105,1,80,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10105,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
7,1,Lv. 100 ~ 120,,2,106,1,100,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10106,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
8,1,Lv. 120 ~ 140,,2,107,1,120,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10107,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
9,1,Lv. 140 ~ 160,,2,108,1,140,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10108,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
10,1,Lv. 160 ~ 180,,2,109,1,180,0,\n1.點擊[立即前往]後可移動至NPC所在地區\n並向NPC進行任務。\n\n2.使用[詳細地圖(M)]和[世界地圖(W)]快捷鍵\n即可更方便地找到NPC。,10109,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
