ID,_Group,_Subject,_Subject_Red,_Subject_Green,_Subject_Blue,_Subject_Bold,_Content ,_Section_Lv,_Require_Type1,_Require_ID1,_Require_Value1-1,_Require_Value1-2,_Require_Type2,_Require_ID2,_Require_Value2-1,_Require_Value2-2,_Require_Type3,_Require_ID3,_Require_Value3-1,_Require_Value3-2,_Require_Type4,_Require_ID4,_Require_Value4-1,_Require_Value4-2
1001,3,스킬 습득,65,110,200,0,"◆ 스킬창(K)를 열고 습득하려는 스킬 아이콘을 클릭하여 배울 수 있습니다. \n◆ 스킬 습득 시, 엘리와 스킬 포인트가 소모됩니다.\n◆ 제한 조건을 만족해야 배울 수 있는 스킬도 있습니다.\n◆ 스킬 레벨을 1레벨 이상으로 올려야 스킬을 사용할 수 있습니다.\n◆ 습득한 스킬은 퀵 슬롯에 드래그&드랍으로 등록하여 사용할 수 있습니다.",1,1,3,1,999,0,0,0,0,0,0,0,0,0,0,0,0
1002,3,직업 1차 스킬 습득,65,110,200,0,◆ 스킬창(K)의 무기/정령마법 카테고리에서 1차 스킬을 배우실 수 있습니다.,1,1,3,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1003,2,퀘스트를 해봅시다,84,69,44,0,◆ 수행지역: 벨로스\n◆ 레벨: 1\n◆ 수락NPC: 아넨(벨로스 물품보관소)\n◆ 완료NPC: 에스텔(벨로스 도구점)\n\n◆ 미션: 벨로스 [에스텔] 찾아가기\n\n◆ 보상: 회복약,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,108100,1
1004,2,처음 잡아보는 몬스터,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 1\n◆ 수락NPC: 아넨(벨로스 물품보관소)\n◆ 완료NPC: 아넨(벨로스 물품보관소)\n\n◆ 미션: ""프리링""과 ""비틀G"" 사냥하기\n\n◆ 보상: 회복약",1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,108200,1
1005,2,사냥의 기본,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 1\n◆ 수락NPC: 아넨(벨로스 물품보관소)\n◆ 완료NPC: 아넨(벨로스 물품보관소)\n\n◆ 미션: ""프리링""과 ""비틀G""의 아이템 구하기\n\n◆ 보상: 회복약",1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,108300,1
1006,2,Get Ready!,84,69,44,0,"◆ 수행지역: 감추어진 미션\n◆ 레벨: 1\n◆ 수락NPC: 미린(벨로스 도시 입구)\n◆ 완료NPC: 미린(벨로스 도시 입구)\n\n◆ 미션: 감추어진 미션\n\n◆ 보상: 경험치 포션, 큐브",1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,104401,1
2001,2,귀환의 비석,84,69,44,0,◆ 수행지역: 벨로스\n◆ 레벨: 2\n◆ 수락NPC: 아넨(벨로스 물품보관소)\n◆ 완료NPC: 아넨(벨로스 물품보관소)\n\n◆ 미션: 벨로스 귀환의 비석 저장하기\n\n◆ 보상: 회복약,2,0,0,0,0,1,3,2,0,0,0,0,0,4,2,108400,1
2002,2,사망은 부활의 전주곡,84,69,44,0,◆ 수행지역: 벨로스\n◆ 레벨: 2\n◆ 수락NPC: 로한(벨로스 분수대)\n◆ 완료NPC: 로한(벨로스 분수대)\n\n◆ 미션: 사망 후 벨로스 [로한] 찾아가기\n\n◆ 보상: 회복약,2,0,0,0,0,1,3,2,0,0,0,0,0,4,2,103300,1
3001,2,감춰진 의뢰들을 찾아서,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 3\n◆ 수락NPC: 에스텔(벨로스 도구점)\n◆ 완료NPC: 에스텔(벨로스 도구점)\n\n◆ 미션: ""비틀G""의 아이템 구하기\n\n◆ 보상: 회복약",3,0,0,0,0,1,3,3,0,0,0,0,0,4,2,107100,1
3002,2,든든한 장비는 모험의 동료,84,69,44,0,"◆ 수행지역: 벨로스\n◆ 레벨: 3\n◆ 수락NPC: 에스텔(벨로스 도구점)\n◆ 완료NPC: 발트(벨로스 전투용품점)\n\n◆ 미션: 벨로스 [발트] 찾아가기\n\n◆ 보상: 방어구, 회복약",3,0,0,0,0,1,3,3,0,0,0,0,0,4,2,107200,1
3003,2,랜덤. 랜덤? 랜덤!,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 3\n◆ 수락NPC: 웰딘(벨로스 주점)\n◆ 완료NPC: 웰딘(벨로스 주점)\n\n◆ 미션: ""들개"" 아이템 구하기\n\n◆ 보상: 방어구, 회복약",3,0,0,0,0,1,3,3,0,0,0,0,0,4,2,109201,2
4001,2,들개 헌팅,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 4\n◆ 수락NPC: 미린(벨로스 도시 입구)\n◆ 완료NPC: 미린(벨로스 도시 입구)\n\n◆ 미션: ""들개"" 사냥하기\n\n◆ 보상: 회복약",4,0,0,0,0,1,3,4,0,0,0,0,0,4,2,104410,1
