ID,_Text,_Description,_ItemID1,_ItemID2,_ItemID3,_ItemID4,_ItemID5,_ItemID6,_ItemID7,_ItemID8,_ItemID9,_ItemID10,_ItemID11,_ItemID12,_ItemID13,_ItemID14,_ItemID15,_ItemID16,_ItemID17,_ItemID18,_ItemID19,_ItemID20,_ItemID21,_ItemID22,_ItemID23,_ItemID24,_ItemID25,_ItemID26,_ItemID27,_ItemID28,_ItemID29,_ItemID30,_ItemID31,_ItemID32,_ItemID33,_ItemID34,_ItemID35,_ItemID36,_ItemID37,_ItemID38,_ItemID39,_ItemID40,_ItemID41,_ItemID42,_ItemID43,_ItemID44,_ItemID45,_ItemID46,_ItemID47,_ItemID48,_ItemID49,_ItemID50,_ItemID1_String,_ItemID2_String,_ItemID3_String,_ItemID4_String,_ItemID5_String,_ItemID6_String,_ItemID7_String,_ItemID8_String,_ItemID9_String,_ItemID10_String,_ItemID11_String,_ItemID12_String,_ItemID13_String,_ItemID14_String,_ItemID15_String,_ItemID16_String,_ItemID17_String,_ItemID18_String,_ItemID19_String,_ItemID20_String,_ItemID21_String,_ItemID22_String,_ItemID23_String,_ItemID24_String,_ItemID25_String,_ItemID26_String,_ItemID27_String,_ItemID28_String,_ItemID29_String,_ItemID30_String,_ItemID31_String,_ItemID32_String,_ItemID33_String,_ItemID34_String,_ItemID35_String,_ItemID36_String,_ItemID37_String,_ItemID38_String,_ItemID39_String,_ItemID40_String,_ItemID41_String,_ItemID42_String,_ItemID43_String,_ItemID44_String,_ItemID45_String,_ItemID46_String,_ItemID47_String,_ItemID48_String,_ItemID49_String,_ItemID50_String
10001,??? ?? ???,,170171435,170195280,164302507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,?? ?? ???,,170195424,170198421,170196604,170195643,170195424,170198421,170196604,170195643,170195424,170198421,170196604,170195643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,??? ?? ???,,170195280,170195641,170195642,170195643,190145779,170171435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.\n? [????]?? ?? ??\n? ????? ????? ?? ?? ??? ????, ?? ??? ?? ???? ???? ?? ? ????.",,,※?? ??※\n? [??? - ???]?? ?? ??,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? - ???]?? ?? ??,※?? ??※\n? [??? - ???]?? ?? ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,??? ??? ?? ???,,170195424,170195349,170196605,170196603,170196604,170195643,190145779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? - ???]?? ?? ??,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,??? ?? ?? ???,,190145777,170195641,170198473,170199309,170111712,170111715,170111719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,,,※?? ??※\n? ?? ???? ?? ??\n\n※?? ?? ??※\n? ???? ?? : NPC ???\n? ???? : NPC ?? ???\n? ????? : NPC ?? ? ??\n? ???? : NPC ???,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,※?? ??※\n? [??? ?? ???]?? ?? ??\n? [??? ?? ???]? ?? ?? ? ????? ?? ?? ???.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,S??,可透過掉落或組合獲得的武器,80102097,80202097,80302961,80402097,81202097,80601897,80702097,80802961,80902097,81002097,80500998,81300898,81401897,81500598,81600492,82802097,81802097,81902097,82002097,82102097,82602097,82202097,82302097,82402097,82502097,82902299,84002101,84301201,84401201,160103597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,??? ??,可於瓦爾哈拉副本中獲得的特殊武器,80802912,80402912,80602912,80302912,80702912,80102912,81202912,80502912,81302912,80902912,81002912,80202912,81402912,81602912,82802912,82902612,84002912,84202912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,??? ??,可於被遺忘的花園中獲得的特殊武器,80103910,80203910,80303910,80403910,80503910,80603910,80703910,80803910,80903910,81003910,81103910,81203910,81303910,81403910,81603910,81803910,81903910,82003910,82103910,82203910,82303910,82403910,82503910,82603910,82803910,82902910,84003910,84203910,84303910,84403910,84503910,84603910,84803910,84903910,85003910,160103710,160103810,160103910,160104010,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,??? ??,可於伊米勒研究所中獲得的特殊武器,81804110,81904110,82004110,82104110,82204110,82304110,82404110,82504110,82604110,84504110,84804110,84904110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,???? & ??? ??,可於世界樹的幻影中獲得的特殊武器,80104107,80304107,80804107,81004107,81204107,81304107,81404107,81604107,81804117,82104117,82404117,82604117,82903034,84004105,84304107,84504117,84804117,84904117,80204107,80404107,80504107,80604107,80704107,80904107,81904117,82004117,82204117,82304117,82504117,82804117,81104117,84204105,84404105,84604107,85004105,160104205,160104305,160104405,160104505,160104605,160104705,160104610,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
