ID,_Hero_Type,_Hero_Open_Llevel,_Slot_Option,_Slot_Consumption1,_Slot_Reset_Consumption1,_Slot_ResetItem_ID1,_Slot_ResetItem_ID2,_Slot_Item_Consumption,_Set_Option,_Set1_Probability,_Set2_Probability,_Set3_Probability,_Set4_Probability,_Set_Consumption1,_Set_ResetItem_ID1,_Set_ResetItem_ID2,_Set_Item_Consumption
1,1,0,10001,5,1,190146493,190146494,1,20001,30,30,30,10,20,190146493,190146494,3
2,2,0,10002,5,1,190146493,190146494,1,20002,30,30,30,10,20,190146493,190146494,3
3,3,0,10003,5,1,190146493,190146494,1,20003,30,30,30,10,20,190146493,190146494,3
4,4,0,10004,5,1,190146493,190146494,1,20004,30,30,30,10,20,190146493,190146494,3
5,5,1500,10005,8,4,190146493,190146494,1,20005,30,30,30,10,40,190146493,190146494,3
6,6,2500,10006,8,4,190146493,190146494,1,20006,30,30,30,10,40,190146493,190146494,3
7,7,3500,10007,8,4,190146493,190146494,1,20007,30,30,30,10,40,190146493,190146494,3
8,8,4500,10008,8,4,190146493,190146494,1,20008,30,30,30,10,40,190146493,190146494,3
9,9,0,10009,5,1,190146493,190146494,1,20009,30,30,30,10,30,190146493,190146494,3
10,10,0,10010,5,1,190146493,190146494,1,20010,30,30,30,10,30,190146493,190146494,3
11,11,0,10011,5,1,190146493,190146494,1,20011,30,30,30,10,30,190146493,190146494,3
12,12,0,10012,5,1,190146493,190146494,1,20012,30,30,30,10,30,190146493,190146494,3
