ID,_Option_Group,_Option_Probability,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Unique_Check,_Probability_Txt,_Option_Txt,_Option_Order
1,10001,0,[1] 幸運 %+d,1,18,10,100,2,-,[替代] 幸運 %+d∼%+d,1
2,10001,60,[1] 防禦力 %+d,1,216,10,100,0,6%,[1] 防禦力 %+d∼%+d,2
3,10001,50,[2] 防禦力 %+d,1,216,50,200,0,5%,[2] 防禦力 %+d∼%+d,3
4,10001,35,[3] 防禦力 %+d,1,216,100,400,0,3.5%,[3] 防禦力 %+d∼%+d,4
5,10001,15,[4] 防禦力 %+d,1,216,150,700,0,1.5%,[4] 防禦力 %+d∼%+d,5
6,10001,7,[5] 防禦力 %+d,1,216,200,1000,0,0.7%,[5] 防禦力 %+d∼%+d,6
7,10001,60,[1] 體力 %+d,1,26,10,100,0,6%,[1] 體力 %+d∼%+d,7
8,10001,50,[2] 體力 %+d,1,26,50,200,0,5%,[2] 體力 %+d∼%+d,8
9,10001,35,[3] 體力 %+d,1,26,100,400,0,3.5%,[3] 體力 %+d∼%+d,9
10,10001,15,[4] 體力 %+d,1,26,150,700,0,1.5%,[4] 體力 %+d∼%+d,10
11,10001,7,[5] 體力 %+d,1,26,200,1500,0,0.7%,[5] 體力 %+d∼%+d,11
12,10001,60,[1] 幸運 %+d,1,18,10,100,0,6%,[1] 幸運 %+d∼%+d,12
13,10001,50,[2] 幸運 %+d,1,18,50,200,0,5%,[2] 幸運 %+d∼%+d,13
14,10001,35,[3] 幸運 %+d,1,18,100,400,0,3.5%,[3] 幸運 %+d∼%+d,14
15,10001,15,[4] 幸運 %+d,1,18,150,700,0,1.5%,[4] 幸運 %+d∼%+d,15
16,10001,7,[5] 幸運 %+d,1,18,200,1500,0,0.7%,[5] 幸運 %+d∼%+d,16
17,10001,60,[1] 抗力 %+d,1,70,10,100,0,6%,[1] 抗力 %+d∼%+d,17
18,10001,50,[2] 抗力 %+d,1,70,50,200,0,5%,[2] 抗力 %+d∼%+d,18
19,10001,35,[3] 抗力 %+d,1,70,100,400,0,3.5%,[3] 抗力 %+d∼%+d,19
20,10001,15,[4] 抗力 %+d,1,70,150,700,0,1.5%,[4] 抗力 %+d∼%+d,20
21,10001,7,[5] 抗力 %+d,1,70,200,1000,0,0.7%,[5] 抗力 %+d∼%+d,21
22,10001,60,[1] 力量/魔力 %+d,1,594,10,100,0,6%,[1] 力量/魔力 %+d∼%+d,22
23,10001,50,[2] 力量/魔力 %+d,1,594,50,200,0,5%,[2] 力量/魔力 %+d∼%+d,23
24,10001,35,[3] 力量/魔力 %+d,1,594,100,400,0,3.5%,[3] 力量/魔力 %+d∼%+d,24
