ID,_Name,_Description,_Application_Type,_OptionGroup,_OptionLevel,_Effect,_Effect_Type,_Option_Min,_Option_Max,_Enchant_Min,_Enchant_Max
101,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,1,2,1,3
102,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,2,4,1,3
103,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,3,7,2,3
104,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,4,10,2,4
105,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,5,13,2,4
106,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,6,16,2,5
107,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,8,20,2,5
108,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,9,24,3,5
109,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,11,28,3,6
110,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,13,33,3,7
111,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,1,3,1,5
112,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,2,6,1,5
113,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,4,11,2,5
114,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,6,15,2,6
115,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,8,20,2,6
116,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,10,24,2,8
117,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,12,30,2,8
118,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,15,36,3,8
119,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,18,42,3,9
120,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,21,50,3,11
121,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,2,3,2,4
122,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,3,6,2,4
123,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,4,9,2,4
124,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,5,13,2,5
125,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,7,17,3,5
126,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,9,21,3,6
127,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,11,26,3,6
128,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,12,31,3,7
129,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,15,37,4,8
130,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,17,43,4,9
131,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,2,5,2,6
132,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,4,9,2,6
133,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,6,14,2,6
134,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,8,20,2,8
135,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,11,26,3,8
136,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,14,32,3,9
137,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,17,39,3,9
138,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,20,47,3,11
139,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,24,56,4,12
140,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,28,65,4,14
141,Lv.11 力量 %+d,Lv.11 力量 %+d∼%+d,0,100,11,1,14,25,36,3,8
142,Lv.12 力量 %+d,Lv.12 力量 %+d∼%+d,0,100,12,1,14,29,43,4,10
143,Lv.13 力量 %+d,Lv.13 力量 %+d∼%+d,0,100,13,1,14,34,55,7,15
144,Lv.14 力量 %+d,Lv.14 力量 %+d∼%+d,0,100,14,1,14,46,87,15,40
145,Lv.15 力量 %+d,Lv.15 力量 %+d∼%+d,0,100,15,1,14,59,119,17,40
146,Lv.11 力量 %+d,Lv.11 力量 %+d∼%+d,0,100,11,1,14,33,45,5,11
147,Lv.12 力量 %+d,Lv.12 力量 %+d∼%+d,0,100,12,1,14,39,54,6,14
148,Lv.13 力量 %+d,Lv.13 力量 %+d∼%+d,0,100,13,1,14,48,74,12,25
149,Lv.14 力量 %+d,Lv.14 力量 %+d∼%+d,0,100,14,1,14,68,122,25,60
150,Lv.15 力量 %+d,Lv.15 力量 %+d∼%+d,0,100,15,1,14,90,170,28,60
151,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,-3,-2,-3,-1
152,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,-6,-5,-3,-2
153,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,-10,-8,-4,-2
154,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,-14,-11,-4,-2
155,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,-19,-14,-5,-2
156,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,-24,-18,-5,-2
157,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,-29,-22,-5,-3
158,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,-35,-26,-6,-3
159,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,-42,-31,-7,-3
160,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,-49,-36,-7,-3
161,Lv.11 力量 %+d,Lv.11 力量 %+d∼%+d,0,100,11,1,14,-18,-57,-8,-4
162,Lv.12 力量 %+d,Lv.12 力量 %+d∼%+d,0,100,12,1,14,-21,-67,-10,-5
163,Lv.13 力量 %+d,Lv.13 力量 %+d∼%+d,0,100,13,1,14,-25,-79,-12,-6
164,Lv.14 力量 %+d,Lv.14 力量 %+d∼%+d,0,100,14,1,14,-30,-94,-15,-7
165,Lv.15 力量 %+d,Lv.15 力量 %+d∼%+d,0,100,15,1,14,-36,-111,-17,-9
171,Lv.1 力量 %+d,Lv.1 力量 %+d∼%+d,0,100,1,1,14,-4,-3,-4,-2
172,Lv.2 力量 %+d,Lv.2 力量 %+d∼%+d,0,100,2,1,14,-8,-6,-4,-2
173,Lv.3 力量 %+d,Lv.3 力量 %+d∼%+d,0,100,3,1,14,-13,-10,-5,-2
174,Lv.4 力量 %+d,Lv.4 力量 %+d∼%+d,0,100,4,1,14,-18,-14,-5,-3
175,Lv.5 力量 %+d,Lv.5 力量 %+d∼%+d,0,100,5,1,14,-24,-18,-6,-3
176,Lv.6 力量 %+d,Lv.6 力量 %+d∼%+d,0,100,6,1,14,-30,-23,-6,-3
177,Lv.7 力量 %+d,Lv.7 力量 %+d∼%+d,0,100,7,1,14,-37,-28,-7,-3
178,Lv.8 力量 %+d,Lv.8 力量 %+d∼%+d,0,100,8,1,14,-45,-34,-8,-4
179,Lv.9 力量 %+d,Lv.9 力量 %+d∼%+d,0,100,9,1,14,-54,-40,-9,-4
180,Lv.10 力量 %+d,Lv.10 力量 %+d∼%+d,0,100,10,1,14,-63,-47,-9,-4
181,Lv.11 力量 %+d,Lv.11 力量 %+d∼%+d,0,100,11,1,14,-74,-23,-11,-5
182,Lv.12 力量 %+d,Lv.12 力量 %+d∼%+d,0,100,12,1,14,-87,-27,-13,-6
183,Lv.13 力量 %+d,Lv.13 力量 %+d∼%+d,0,100,13,1,14,-103,-32,-16,-8
184,Lv.14 力量 %+d,Lv.14 力量 %+d∼%+d,0,100,14,1,14,-122,-39,-19,-10
185,Lv.15 力量 %+d,Lv.15 力量 %+d∼%+d,0,100,15,1,14,-144,-47,-22,-12
190,Lv.16 力量 %+d,Lv.16 力量 %+d∼%+d,0,100,16,1,14,74,151,19,40
191,Lv.17 力量 %+d,Lv.17 力量 %+d∼%+d,0,100,17,1,14,90,183,21,40
192,Lv.18 力量 %+d,Lv.18 力量 %+d∼%+d,0,100,18,1,14,108,215,23,40
193,Lv.19 力量 %+d,Lv.19 力量 %+d∼%+d,0,100,19,1,14,128,247,25,40
194,Lv.20 力量 %+d,Lv.20 力量 %+d∼%+d,0,100,20,1,14,149,279,27,40
195,Lv.16 力量 %+d,Lv.16 力量 %+d∼%+d,0,100,16,1,14,114,218,31,60
196,Lv.17 力量 %+d,Lv.17 力量 %+d∼%+d,0,100,17,1,14,141,266,34,60
197,Lv.18 力量 %+d,Lv.18 力量 %+d∼%+d,0,100,18,1,14,170,314,37,60
198,Lv.19 力量 %+d,Lv.19 力量 %+d∼%+d,0,100,19,1,14,202,362,40,60
199,Lv.20 力量 %+d,Lv.20 力量 %+d∼%+d,0,100,20,1,14,236,410,43,60
301,Lv.1 幸運 %+d,Lv.1 幸運 %+d∼%+d,0,300,1,1,18,1,2,1,3
302,Lv.2 幸運 %+d,Lv.2 幸運 %+d∼%+d,0,300,2,1,18,2,4,1,3
303,Lv.3 幸運 %+d,Lv.3 幸運 %+d∼%+d,0,300,3,1,18,3,7,2,3
304,Lv.4 幸運 %+d,Lv.4 幸運 %+d∼%+d,0,300,4,1,18,4,10,2,4
305,Lv.5 幸運 %+d,Lv.5 幸運 %+d∼%+d,0,300,5,1,18,5,13,2,4
306,Lv.6 幸運 %+d,Lv.6 幸運 %+d∼%+d,0,300,6,1,18,6,16,2,5
307,Lv.7 幸運 %+d,Lv.7 幸運 %+d∼%+d,0,300,7,1,18,8,20,2,5
308,Lv.8 幸運 %+d,Lv.8 幸運 %+d∼%+d,0,300,8,1,18,9,24,3,5
309,Lv.9 幸運 %+d,Lv.9 幸運 %+d∼%+d,0,300,9,1,18,11,28,3,6
310,Lv.10 幸運 %+d,Lv.10 幸運 %+d∼%+d,0,300,10,1,18,13,33,3,7
311,Lv.1 幸運 %+d,Lv.1 幸運 %+d∼%+d,0,300,1,1,18,1,3,1,5
312,Lv.2 幸運 %+d,Lv.2 幸運 %+d∼%+d,0,300,2,1,18,2,6,1,5
313,Lv.3 幸運 %+d,Lv.3 幸運 %+d∼%+d,0,300,3,1,18,4,11,2,5
314,Lv.4 幸運 %+d,Lv.4 幸運 %+d∼%+d,0,300,4,1,18,6,15,2,6
315,Lv.5 幸運 %+d,Lv.5 幸運 %+d∼%+d,0,300,5,1,18,8,20,2,6
316,Lv.6 幸運 %+d,Lv.6 幸運 %+d∼%+d,0,300,6,1,18,10,24,2,8
317,Lv.7 幸運 %+d,Lv.7 幸運 %+d∼%+d,0,300,7,1,18,12,30,2,8
318,Lv.8 幸運 %+d,Lv.8 幸運 %+d∼%+d,0,300,8,1,18,15,36,3,8
319,Lv.9 幸運 %+d,Lv.9 幸運 %+d∼%+d,0,300,9,1,18,18,42,3,9
320,Lv.10 幸運 %+d,Lv.10 幸運 %+d∼%+d,0,300,10,1,18,21,50,3,11
321,Lv.1 幸運 %+d,Lv.1 幸運 %+d∼%+d,0,300,1,1,18,2,3,2,4
322,Lv.2 幸運 %+d,Lv.2 幸運 %+d∼%+d,0,300,2,1,18,3,6,2,4
323,Lv.3 幸運 %+d,Lv.3 幸運 %+d∼%+d,0,300,3,1,18,4,9,2,4
324,Lv.4 幸運 %+d,Lv.4 幸運 %+d∼%+d,0,300,4,1,18,5,13,2,5
325,Lv.5 幸運 %+d,Lv.5 幸運 %+d∼%+d,0,300,5,1,18,7,17,3,5
326,Lv.6 幸運 %+d,Lv.6 幸運 %+d∼%+d,0,300,6,1,18,9,21,3,6
327,Lv.7 幸運 %+d,Lv.7 幸運 %+d∼%+d,0,300,7,1,18,11,26,3,6
328,Lv.8 幸運 %+d,Lv.8 幸運 %+d∼%+d,0,300,8,1,18,12,31,3,7
329,Lv.9 幸運 %+d,Lv.9 幸運 %+d∼%+d,0,300,9,1,18,15,37,4,8
330,Lv.10 幸運 %+d,Lv.10 幸運 %+d∼%+d,0,300,10,1,18,17,43,4,9
331,Lv.1 幸運 %+d,Lv.1 幸運 %+d∼%+d,0,300,1,1,18,2,5,2,6
332,Lv.2 幸運 %+d,Lv.2 幸運 %+d∼%+d,0,300,2,1,18,4,9,2,6
333,Lv.3 幸運 %+d,Lv.3 幸運 %+d∼%+d,0,300,3,1,18,6,14,2,6
334,Lv.4 幸運 %+d,Lv.4 幸運 %+d∼%+d,0,300,4,1,18,8,20,2,8
335,Lv.5 幸運 %+d,Lv.5 幸運 %+d∼%+d,0,300,5,1,18,11,26,3,8
336,Lv.6 幸運 %+d,Lv.6 幸運 %+d∼%+d,0,300,6,1,18,14,32,3,9
337,Lv.7 幸運 %+d,Lv.7 幸運 %+d∼%+d,0,300,7,1,18,17,39,3,9
338,Lv.8 幸運 %+d,Lv.8 幸運 %+d∼%+d,0,300,8,1,18,20,47,3,11
