ID,_SealedItemID,_Name,_SealItem,_SealItemCnt,_EventSealItem,_EventSealItemCnt,_Sealprice
1,10221021,???? ??? ??????,190171178,4,190171180,4,0
2,20621021,???? ??? ???????,190171178,4,190171180,4,0
3,30121021,???? ??? ?????,190171178,4,190171180,4,0
4,70221021,???? ??? ?????,190171178,4,190171180,4,0
5,90521021,???? ??? ????,190171178,4,190171180,4,0
6,100100485,???? ??? ??,190171178,4,190171180,4,0
7,60100485,???? ??? ???,190171178,4,190171180,4,0
8,120100485,???? ??? ??,190171178,4,190171180,4,0
9,10215109,??? ???? ?? ???,190171178,5,190171180,5,0
10,20615109,??? ???? ?? ????,190171178,5,190171180,5,0
11,30115109,??? ???? ?? ??,190171178,5,190171180,5,0
12,70215109,??? ???? ?? ??,190171178,5,190171180,5,0
13,90415109,??? ???? ?? ??,190171178,5,190171180,5,0
14,10216109,??? ???? ?? ???,190171178,5,190171180,5,0
15,20616109,??? ???? ?? ????,190171178,5,190171180,5,0
16,30416109,??? ???? ?? ??,190171178,5,190171180,5,0
17,70216111,??? ???? ?? ??,190171178,5,190171180,5,0
18,90516109,??? ???? ?? ?,190171178,5,190171180,5,0
19,10217109,??? ??? ?? ???,190171178,5,190171180,5,0
20,20617109,??? ??? ?? ????,190171178,5,190171180,5,0
21,30117109,??? ??? ?? ??,190171178,5,190171180,5,0
22,70217109,??? ??? ?? ??,190171178,5,190171180,5,0
23,90517109,??? ??? ?? ?,190171178,5,190171180,5,0
24,10218109,??? ??? ?? ???,190171178,5,190171180,5,0
25,20518109,??? ??? ?? ????,190171178,5,190171180,5,0
26,30118109,??? ??? ?? ??,190171178,5,190171180,5,0
27,70218109,??? ??? ?? ??,190171178,5,190171180,5,0
28,90518109,??? ??? ?? ?,190171178,5,190171180,5,0
29,10219109,??? ??? ?? ???,190171178,5,190171180,5,0
30,20219109,??? ??? ?? ????,190171178,5,190171180,5,0
31,30119109,??? ??? ?? ??,190171178,5,190171180,5,0
32,70219109,??? ??? ?? ??,190171178,5,190171180,5,0
33,90419109,??? ??? ?? ??,190171178,5,190171180,5,0
34,10222003,??? ??? ?? ???,190171178,5,190171180,5,0
35,20522004,??? ??? ?? ????,190171178,5,190171180,5,0
36,30222004,??? ??? ?? ??,190171178,5,190171180,5,0
37,70222004,??? ??? ?? ??,190171178,5,190171180,5,0
38,90522003,??? ??? ?? ?,190171178,5,190171180,5,0
39,70216112,??? ???? ??? ?? ??,190171178,5,190171180,5,0
40,90511911,??? ??,190171178,4,190171180,4,0
41,20611911,??? ????,190171178,4,190171180,4,0
42,30211911,??? ??,190171178,4,190171180,4,0
43,10211911,??? ???,190171178,4,190171180,4,0
44,70211921,??? ??,190171178,4,190171180,4,0
45,10121007,??? ??? ?? ???,190171178,5,190171180,5,0
46,20221007,??? ??? ?? ????,190171178,5,190171180,5,0
47,30121007,??? ??? ?? ??,190171178,5,190171180,5,0
48,70221007,??? ??? ?? ??,190171178,5,190171180,5,0
49,90421007,??? ??? ?? ?,190171178,5,190171180,5,0
50,165500201,????? ?? ??,190171178,5,190171180,5,0
51,165500202,????? ?? ?? +1,190171178,5,190171180,5,0
52,165500203,????? ?? ?? +2,190171178,5,190171180,5,0
53,165500204,????? ?? ?? +3,190171178,5,190171180,5,0
54,165500205,????? ?? ?? +4,190171178,5,190171180,5,0
55,165500206,????? ?? ?? +5,190171178,5,190171180,5,0
56,165500207,????? ?? ?? +6,190171178,5,190171180,5,0
57,165500208,????? ?? ?? +7,190171178,5,190171180,5,0
58,165500209,????? ?? ?? +8,190171178,5,190171180,5,0
59,165500210,????? ?? ?? +9,190171178,5,190171180,5,0
60,165500211,????? ?? ?? +10,190171178,5,190171180,5,0
61,165500212,????? ?? ?? +11,190171178,5,190171180,5,0
62,165500213,????? ?? ?? +12,190171178,5,190171180,5,0
63,165500214,????? ?? ?? +13,190171178,5,190171180,5,0
64,165500215,????? ?? ?? +14,190171178,5,190171180,5,0
65,165500216,????? ?? ?? +15,190171178,5,190171180,5,0
66,165500217,????? ?? ?? +16,190171178,5,190171180,5,0
67,165500218,????? ?? ?? +17,190171178,5,190171180,5,0
68,165500219,????? ?? ?? +18,190171178,5,190171180,5,0
69,165500220,????? ?? ?? +19,190171178,5,190171180,5,0
70,165500221,????? ?? ?? +20,190171178,5,190171180,5,0
71,165500222,????? ?? ?? +21,190171178,5,190171180,5,0
72,165500223,????? ?? ?? +22,190171178,5,190171180,5,0
73,165500224,????? ?? ?? +23,190171178,5,190171180,5,0
74,165500225,????? ?? ?? +24,190171178,5,190171180,5,0
75,165500226,????? ?? ?? +25,190171178,5,190171180,5,0
76,165500227,????? ?? ?? +26,190171178,5,190171180,5,0
77,165500228,????? ?? ?? +27,190171178,5,190171180,5,0
78,165500229,????? ?? ?? +28,190171178,5,190171180,5,0
79,165500230,????? ?? ?? +29,190171178,5,190171180,5,0
80,165500231,????? ?? ?? +30,190171178,5,190171180,5,0
81,165500232,????? ?? ?? +31,190171178,5,190171180,5,0
82,165500233,????? ?? ?? +32,190171178,5,190171180,5,0
83,165500234,????? ?? ?? +33,190171178,5,190171180,5,0
84,165500235,????? ?? ?? +34,190171178,5,190171180,5,0
85,165500236,????? ?? ?? +35,190171178,5,190171180,5,0
86,165500237,????? ?? ?? +36,190171178,5,190171180,5,0
87,165500238,????? ?? ?? +37,190171178,5,190171180,5,0
88,165500239,????? ?? ?? +38,190171178,5,190171180,5,0
89,165500240,????? ?? ?? +39,190171178,5,190171180,5,0
90,165500241,????? ?? ?? +40,190171178,5,190171180,5,0
91,165500242,????? ?? ?? +41,190171178,5,190171180,5,0
92,165500243,????? ?? ?? +42,190171178,5,190171180,5,0
93,165500244,????? ?? ?? +43,190171178,5,190171180,5,0
94,165500245,????? ?? ?? +44,190171178,5,190171180,5,0
95,165500246,????? ?? ?? +45,190171178,5,190171180,5,0
96,165500247,????? ?? ?? +46,190171178,5,190171180,5,0
97,165500248,????? ?? ?? +47,190171178,5,190171180,5,0
98,165500249,????? ?? ?? +48,190171178,5,190171180,5,0
99,165500250,????? ?? ?? +49,190171178,5,190171180,5,0
100,165500251,????? ?? ?? +50,190171178,5,190171180,5,0
101,80104901,??? ??,190171178,10,190171180,10,0
102,80104902,??? ?? ☆,190171178,10,190171180,10,0
103,80104903,??? ?? ★,190171178,10,190171180,10,0
104,80104904,??? ?? ★☆,190171178,10,190171180,10,0
105,80104905,??? ?? ★★,190171178,10,190171180,10,0
106,80104906,??? ?? ★★☆,190171178,10,190171180,10,0
107,80104907,??? ?? ★★★,190171178,10,190171180,10,0
108,80204901,??? ??,190171178,10,190171180,10,0
109,80204902,??? ?? ☆,190171178,10,190171180,10,0
110,80204903,??? ?? ★,190171178,10,190171180,10,0
111,80204904,??? ?? ★☆,190171178,10,190171180,10,0
112,80204905,??? ?? ★★,190171178,10,190171180,10,0
113,80204906,??? ?? ★★☆,190171178,10,190171180,10,0
114,80204907,??? ?? ★★★,190171178,10,190171180,10,0
115,80304901,??? ???,190171178,10,190171180,10,0
116,80304902,??? ??? ☆,190171178,10,190171180,10,0
117,80304903,??? ??? ★,190171178,10,190171180,10,0
118,80304904,??? ??? ★☆,190171178,10,190171180,10,0
119,80304905,??? ??? ★★,190171178,10,190171180,10,0
120,80304906,??? ??? ★★☆,190171178,10,190171180,10,0
121,80304907,??? ??? ★★★,190171178,10,190171180,10,0
122,80404901,??? ???,190171178,10,190171180,10,0
123,80404902,??? ??? ☆,190171178,10,190171180,10,0
124,80404903,??? ??? ★,190171178,10,190171180,10,0
125,80404904,??? ??? ★☆,190171178,10,190171180,10,0
126,80404905,??? ??? ★★,190171178,10,190171180,10,0
127,80404906,??? ??? ★★☆,190171178,10,190171180,10,0
128,80404907,??? ??? ★★★,190171178,10,190171180,10,0
129,80504901,??? ??,190171178,10,190171180,10,0
130,80504902,??? ?? ☆,190171178,10,190171180,10,0
131,80504903,??? ?? ★,190171178,10,190171180,10,0
132,80504904,??? ?? ★☆,190171178,10,190171180,10,0
133,80504905,??? ?? ★★,190171178,10,190171180,10,0
134,80504906,??? ?? ★★☆,190171178,10,190171180,10,0
135,80504907,??? ?? ★★★,190171178,10,190171180,10,0
136,80604901,??? ??,190171178,10,190171180,10,0
137,80604902,??? ?? ☆,190171178,10,190171180,10,0
138,80604903,??? ?? ★,190171178,10,190171180,10,0
139,80604904,??? ?? ★☆,190171178,10,190171180,10,0
140,80604905,??? ?? ★★,190171178,10,190171180,10,0
141,80604906,??? ?? ★★☆,190171178,10,190171180,10,0
142,80604907,??? ?? ★★★,190171178,10,190171180,10,0
143,80704901,??? ??,190171178,10,190171180,10,0
144,80704902,??? ?? ☆,190171178,10,190171180,10,0
145,80704903,??? ?? ★,190171178,10,190171180,10,0
146,80704904,??? ?? ★☆,190171178,10,190171180,10,0
147,80704905,??? ?? ★★,190171178,10,190171180,10,0
148,80704906,??? ?? ★★☆,190171178,10,190171180,10,0
149,80704907,??? ?? ★★★,190171178,10,190171180,10,0
150,80804901,??? ?,190171178,10,190171180,10,0
151,80804902,??? ? ☆,190171178,10,190171180,10,0
152,80804903,??? ? ★,190171178,10,190171180,10,0
153,80804904,??? ? ★☆,190171178,10,190171180,10,0
154,80804905,??? ? ★★,190171178,10,190171180,10,0
155,80804906,??? ? ★★☆,190171178,10,190171180,10,0
156,80804907,??? ? ★★★,190171178,10,190171180,10,0
157,80904901,??? ?,190171178,10,190171180,10,0
158,80904902,??? ? ☆,190171178,10,190171180,10,0
159,80904903,??? ? ★,190171178,10,190171180,10,0
160,80904904,??? ? ★☆,190171178,10,190171180,10,0
161,80904905,??? ? ★★,190171178,10,190171180,10,0
162,80904906,??? ? ★★☆,190171178,10,190171180,10,0
163,80904907,??? ? ★★★,190171178,10,190171180,10,0
164,81004901,??? ??,190171178,10,190171180,10,0
165,81004902,??? ?? ☆,190171178,10,190171180,10,0
166,81004903,??? ?? ★,190171178,10,190171180,10,0
167,81004904,??? ?? ★☆,190171178,10,190171180,10,0
168,81004905,??? ?? ★★,190171178,10,190171180,10,0
169,81004906,??? ?? ★★☆,190171178,10,190171180,10,0
170,81004907,??? ?? ★★★,190171178,10,190171180,10,0
171,81204901,??? ???,190171178,10,190171180,10,0
172,81204902,??? ??? ☆,190171178,10,190171180,10,0
173,81204903,??? ??? ★,190171178,10,190171180,10,0
174,81204904,??? ??? ★☆,190171178,10,190171180,10,0
175,81204905,??? ??? ★★,190171178,10,190171180,10,0
176,81204906,??? ??? ★★☆,190171178,10,190171180,10,0
177,81204907,??? ??? ★★★,190171178,10,190171180,10,0
178,81304901,??? ??,190171178,10,190171180,10,0
179,81304902,??? ?? ☆,190171178,10,190171180,10,0
180,81304903,??? ?? ★,190171178,10,190171180,10,0
181,81304904,??? ?? ★☆,190171178,10,190171180,10,0
182,81304905,??? ?? ★★,190171178,10,190171180,10,0
183,81304906,??? ?? ★★☆,190171178,10,190171180,10,0
184,81304907,??? ?? ★★★,190171178,10,190171180,10,0
185,81404901,??? ???,190171178,10,190171180,10,0
186,81404902,??? ??? ☆,190171178,10,190171180,10,0
187,81404903,??? ??? ★,190171178,10,190171180,10,0
188,81404904,??? ??? ★☆,190171178,10,190171180,10,0
189,81404905,??? ??? ★★,190171178,10,190171180,10,0
190,81404906,??? ??? ★★☆,190171178,10,190171180,10,0
191,81404907,??? ??? ★★★,190171178,10,190171180,10,0
192,81604901,??? MG,190171178,10,190171180,10,0
193,81604902,??? MG ☆,190171178,10,190171180,10,0
194,81604903,??? MG ★,190171178,10,190171180,10,0
195,81604904,??? MG ★☆,190171178,10,190171180,10,0
196,81604905,??? MG ★★,190171178,10,190171180,10,0
197,81604906,??? MG ★★☆,190171178,10,190171180,10,0
198,81604907,??? MG ★★★,190171178,10,190171180,10,0
199,81804901,??? ??????,190171178,10,190171180,10,0
200,81804902,??? ?????? ☆,190171178,10,190171180,10,0
201,81804903,??? ?????? ★,190171178,10,190171180,10,0
202,81804904,??? ?????? ★☆,190171178,10,190171180,10,0
203,81804905,??? ?????? ★★,190171178,10,190171180,10,0
204,81804906,??? ?????? ★★☆,190171178,10,190171180,10,0
205,81804907,??? ?????? ★★★,190171178,10,190171180,10,0
206,81904901,??? ???,190171178,10,190171180,10,0
207,81904902,??? ??? ☆,190171178,10,190171180,10,0
208,81904903,??? ??? ★,190171178,10,190171180,10,0
209,81904904,??? ??? ★☆,190171178,10,190171180,10,0
210,81904905,??? ??? ★★,190171178,10,190171180,10,0
211,81904906,??? ??? ★★☆,190171178,10,190171180,10,0
212,81904907,??? ??? ★★★,190171178,10,190171180,10,0
