ID,_Name,_Consumption_Ely,_Consumption_Item,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Description,_Message,_FX,_ErrorMessage_Ely,_ErrorMessage_Item,_ErrorMessage_Require1,_ErrorMessage_Require2,_ErrorMessage_Require3,_ErrorMessage_Require4,_ErrorMessage_Require5,_ErrorMessage_Require6,_ErrorMessage_Require7,_ErrorMessage_Require8
1000015,縱橫無盡,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「縱橫無盡」。,習得「縱橫無盡」,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001015,疾風迅雷,0,0,1,3,12,0,3,2,1001005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「疾風迅雷」。,習得「疾風迅雷」,513,,,等級不足。12等級以上才可學習。,需要Lv.1 飛翔斬。,,,,,,
1001005,飛翔斬,0,0,1,3,5,0,3,2,1000015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「飛翔斬」。,習得「飛翔斬」,513,,,等級不足。5等級以上才可學習。,需要Lv.1 縱橫無盡。,,,,,,
1002015,飛影連斬,0,0,1,3,20,0,3,2,1001015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「飛影連斬」。,習得「飛影連斬」,513,,,等級不足。20等級以上才可學習。,需要Lv.1 疾風迅雷。,,,,,,
1003015,風捲連刃,0,0,1,3,35,0,3,2,1002015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「風捲連刃」。,習得「風捲連刃」,513,,,等級不足。35等級以上才可學習。,需要Lv.1 飛影連斬。,,,,,,
1000017,疾風,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「疾風」。,習得「疾風」,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001007,絕影刺,0,0,1,3,5,0,3,2,1000017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「絕影刺」。,習得「絕影刺」,513,,,等級不足。5等級以上才可學習。,需要Lv.1 疾風。,,,,,,
1001017,旋槍陣,0,0,1,3,12,0,3,2,1001007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「旋槍陣」。,習得「旋槍陣」,513,,,等級不足。12等級以上才可學習。,需要Lv.1 絕影刺。,,,,,,
1002007,連訣槍,0,0,1,3,20,0,3,2,1001017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「連訣槍」。,習得「連訣槍」,513,,,等級不足。20等級以上才可學習。,需要Lv.1 旋槍陣。,,,,,,
1003007,夜影斷刃殺,0,0,1,3,35,0,3,2,1002007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「夜影斷刃殺」。,習得「夜影斷刃殺」,513,,,等級不足。35等級以上才可學習。,需要Lv.1 連訣槍。,,,,,,
3000106,強化能力值,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「強化能力值」。,習得「強化能力值」,513,,,等級不足。3等級以上才可學習。,,,,,,,
3000101,集中,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「集中」。,習得「集中」,513,,,等級不足。8等級以上才可學習。,,,,,,,
3000107,憤怒,0,0,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,點擊「是」鍵即可習得「憤怒」。,習得「憤怒」,513,,,等級不足。24等級以上才可學習。,,,,,,,
