ID,_ItemLevel,_EnchantSafe,_EnchantMax,_LevelDownPrice1,_BaseOdds1,_LevelOdds1,_ItemPrice1,_EnchantItemOne1,_EnchantItemTwo1,_LevelDownPrice2,_BaseOdds2,_LevelOdds2,_ItemPrice2,_EnchantItemOne2,_EnchantItemTwo2,_LevelDownPrice3,_BaseOdds3,_LevelOdds3,_ItemPrice3,_EnchantItemOne3,_EnchantItemTwo3
1,1,0,0,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
2,2,4294967295,4294967295,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
3,3,4294967294,4294967294,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
4,4,4294967293,4294967293,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
5,5,4294967292,4294967292,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
6,6,4294967291,4294967291,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,99,100,500000,1500,10000
7,7,4294967290,4294967290,1,99,100,125000,1500,10000,2,99,100,300000,1500,10000,3,99,100,500000,1500,10000
8,8,4294967289,4294967289,1,99,100,125000,1500,10000,2,99,100,300000,1500,10000,3,98,100,500000,1500,10000
9,9,4294967288,4294967288,1,99,100,125000,1500,10000,2,98,100,300000,1500,10000,3,97,100,500000,1500,10000
10,10,4294967287,4294967287,1,98,100,125000,1500,10000,2,98,100,300000,1500,10000,3,97,100,500000,1500,10000
11,11,4294967286,4294967286,1,98,100,125000,1500,10000,2,97,100,300000,1500,10000,3,96,100,500000,1500,10000
12,12,4294967285,4294967285,1,98,100,125000,1500,10000,2,97,100,300000,1500,10000,3,95,100,500000,1500,10000
13,13,4294967284,4294967284,1,97,100,125000,1500,10000,2,96,100,300000,1500,10000,3,95,100,500000,1500,10000
14,14,4294967283,4294967283,1,97,100,125000,1500,10000,2,96,100,300000,1500,10000,3,94,100,500000,1500,10000
15,15,4294967282,4294967282,1,97,100,125000,1500,10000,2,95,100,300000,1500,10000,3,93,100,500000,1500,10000
16,16,4294967281,4294967281,1,96,100,125000,1500,10000,2,95,100,300000,1500,10000,3,93,100,500000,1500,10000
17,17,4294967280,4294967280,1,96,100,125000,1500,10000,2,94,100,300000,1500,10000,3,92,100,500000,1500,10000
18,18,4294967279,4294967279,1,96,100,125000,1500,10000,2,94,100,300000,1500,10000,3,91,100,500000,1500,10000
19,19,4294967278,4294967278,1,95,100,125000,1500,10000,2,93,100,300000,1500,10000,3,91,100,500000,1500,10000
20,20,4294967277,4294967277,1,95,100,125000,1500,10000,2,93,100,300000,1500,10000,3,90,100,500000,1500,10000
21,21,4294967276,4294967276,1,95,100,125000,1500,10000,2,92,100,300000,1500,10000,3,89,100,500000,1500,10000
22,22,4294967275,4294967275,1,94,100,125000,1500,10000,2,92,100,300000,1500,10000,3,89,100,500000,1500,10000
23,23,4294967274,4294967274,1,94,100,125000,1500,10000,2,92,100,300000,1500,10000,3,88,100,500000,1500,10000
24,24,4294967273,4294967273,1,94,100,125000,1500,10000,2,91,100,300000,1500,10000,3,88,100,500000,1500,10000
25,25,4294967272,4294967272,1,93,100,125000,1500,10000,2,91,100,300000,1500,10000,3,87,100,500000,1500,10000
26,26,4294967271,4294967271,1,93,100,125000,1500,10000,2,90,100,300000,1500,10000,3,86,100,500000,1500,10000
27,27,4294967270,4294967270,1,93,100,125000,1500,10000,2,90,100,300000,1500,10000,3,86,100,500000,1500,10000
28,28,4294967269,4294967269,1,92,100,125000,1500,10000,2,89,100,300000,1500,10000,3,85,100,500000,1500,10000
29,29,4294967268,4294967268,1,92,100,125000,1500,10000,2,89,100,300000,1500,10000,3,84,100,500000,1500,10000
30,30,4294967267,4294967267,1,92,100,125000,1500,10000,2,88,100,300000,1500,10000,3,84,100,500000,1500,10000
31,31,4294967266,4294967266,1,91,100,125000,1500,10000,2,88,100,300000,1500,10000,3,83,100,500000,1500,10000
32,32,4294967266,4294967266,1,91,100,125000,1500,10000,2,88,100,300000,1500,10000,3,83,100,500000,1500,10000
33,33,4294967266,4294967266,1,91,100,125000,1500,10000,2,87,100,300000,1500,10000,3,82,100,500000,1500,10000
34,34,4294967266,4294967266,1,90,100,125000,1500,10000,2,87,100,300000,1500,10000,3,82,100,500000,1500,10000
35,35,4294967266,4294967266,1,90,100,125000,1500,10000,2,86,100,300000,1500,10000,3,81,100,500000,1500,10000
36,36,4294967266,4294967266,1,90,100,125000,1500,10000,2,86,100,300000,1500,10000,3,80,100,500000,1500,10000
37,37,4294967266,4294967266,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,80,100,500000,1500,10000
38,38,4294967266,4294967266,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,79,100,500000,1500,10000
39,39,4294967266,4294967266,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,79,100,500000,1500,10000
40,40,4294967266,4294967266,1,88,100,125000,1500,10000,2,84,100,300000,1500,10000,3,78,100,500000,1500,10000
41,41,4294967266,4294967266,1,88,100,125000,1500,10000,2,84,100,300000,1500,10000,3,78,100,500000,1500,10000
42,42,4294967266,4294967266,1,88,100,125000,1500,10000,2,83,100,300000,1500,10000,3,77,100,500000,1500,10000
43,43,4294967266,4294967266,1,88,100,125000,1500,10000,2,83,100,300000,1500,10000,3,77,100,500000,1500,10000
44,44,4294967266,4294967266,1,87,100,125000,1500,10000,2,83,100,300000,1500,10000,3,76,100,500000,1500,10000
45,45,4294967266,4294967266,1,87,100,125000,1500,10000,2,82,100,300000,1500,10000,3,76,100,500000,1500,10000
46,46,4294967266,4294967266,1,87,100,125000,1500,10000,2,82,100,300000,1500,10000,3,75,100,500000,1500,10000
47,47,4294967266,4294967266,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,74,100,500000,1500,10000
48,48,4294967266,4294967266,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,74,100,500000,1500,10000
49,49,4294967266,4294967266,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,73,100,500000,1500,10000
