ID,_EnchantLevel,_EnchantValue
1,0,100
2,4294967295,90
3,4294967294,80
4,4294967293,70
5,4294967292,60
6,4294967291,57
7,4294967290,54
8,4294967289,51
9,4294967288,48
10,4294967287,45
11,4294967286,42
12,4294967285,39
13,4294967284,36
14,4294967283,33
15,4294967282,30
16,4294967281,30
17,4294967280,30
18,4294967279,30
19,4294967278,30
20,4294967277,30
21,4294967276,30
22,4294967275,30
23,4294967274,30
24,4294967273,30
25,4294967272,30
26,4294967271,30
27,4294967270,30
28,4294967269,30
29,4294967268,30
30,4294967267,30
