ID,_ActiveType,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStat2,_ConsumptionStatValue2,_ConditionCheckTime,_Buff_Check,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Motion_ComboID,_ComboTimeDelay,_ComboTime,_ComboApplyID
106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1001
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,44,0,4,3,2,0,31000000,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1010
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,31001000,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,31001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,31002001,0,33000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002001,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1001
217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,44,0,4,3,2,0,31000000,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0
218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1010
219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,31001000,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,31001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0
221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,31002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002001,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
306,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31000401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,30,70,1001
317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,44,0,4,4,3,0,31000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1010
319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,31001411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002381,4,0,31002381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002381,4,0,31002381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,2,1,7,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,44,0,4,4,3,0,31000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1010
1006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,18,0,4,3,2,0,31000431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,30,50,1002
1017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,16,0,4,3,2,0,31000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1002
1018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,21,0,4,3,3,0,31000433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,40,60,1002
1019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0,4,4,3,0,31001431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1001
1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,18,0,4,4,3,0,31001432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1001
1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,31002411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,31002411,3,0,31002411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,2,1,7,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
1046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,45,0,4,4,3,0,31000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,50,70,1001
1047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,31001433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,40,60,1001
1048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,31001434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,40,60,1001
2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,23,0,4,3,2,0,31000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,30,50,1002
2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,4,3,2,0,31000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1002
2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,31000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1002
2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,30,0,4,4,3,0,31001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,40,60,1002
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4294966976,32,0,4,4,2,0,31001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0
2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,31002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,1,7,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
2046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,38,0,4,4,3,0,31000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,1001
2047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,24,0,4,4,3,0,31001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0
2106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000501,0,0,33000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,23,0,4,3,2,0,31000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,30,50,1002
2117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,4,3,2,0,31000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1002
2118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,31000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,30,50,1002
2119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,30,0,4,4,3,0,31001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,40,60,1002
2120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4294966976,32,0,4,4,2,0,31001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0
2121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,31002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,31002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,2,1,7,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2133,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33000301,0,0,33000302,0,0,33000303,0,0,33000304,0,0,0,0,0,0,0,0,0,0
2146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,38,0,4,4,3,0,31000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,1001
2147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,24,0,4,4,3,0,31001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0
2206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000401,0,0,33000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
