ID,_Partner_Type,_Step,_Limit_Point,_Passive_Mastery1,_Passive_Mastery2,_Passive_Mastery3,_Passive_Mastery4,_Passive_Mastery5,_Active_Mastery1,_Active_Mastery2,_Active_Mastery3,_Active_Mastery4,_Active_Mastery5
1,1,1,0,0,0,101,0,0,10101,0,0,0,10102
2,1,2,10,0,0,0,0,0,0,10103,0,10104,0
3,1,3,20,0,0,102,0,0,10105,0,0,0,10106
4,1,4,30,0,0,0,0,0,0,10108,0,10109,0
5,1,5,40,0,0,103,0,0,10110,0,0,0,10111
6,1,6,50,0,104,0,105,0,0,0,10112,0,0
7,1,7,60,106,0,107,0,108,0,10113,0,10114,0
8,1,8,70,0,109,0,110,0,0,0,10115,0,0
9,1,9,80,111,0,0,0,112,0,10116,0,10117,0
10,1,10,90,0,113,114,115,0,10118,0,10119,0,10120
11,2,1,0,0,0,201,0,0,10201,0,0,0,10202
12,2,2,10,0,0,0,0,0,0,10203,0,10204,0
13,2,3,20,0,0,202,0,0,10205,0,0,0,10206
14,2,4,30,0,0,0,0,0,0,10207,0,10208,0
15,2,5,40,0,0,203,0,0,10209,0,0,0,10210
16,2,6,50,0,204,0,205,0,0,0,10211,0,0
17,2,7,60,206,0,207,0,208,0,10212,0,10213,0
18,2,8,70,0,209,0,210,0,0,0,10214,0,0
19,2,9,80,211,0,0,0,212,0,10215,0,10216,0
20,2,10,90,0,213,214,215,0,10217,0,10218,0,10219
21,3,1,0,0,0,301,0,0,10301,0,0,0,10302
22,3,2,10,0,0,0,0,0,0,10303,0,10304,0
23,3,3,20,0,0,302,0,0,0,0,10305,0,0
24,3,4,30,0,0,0,0,0,0,10306,0,10307,0
25,3,5,40,0,0,303,0,0,0,0,10308,0,0
26,3,6,50,0,304,0,305,0,0,0,0,0,0
27,3,7,60,306,0,307,0,308,0,0,10309,0,0
28,3,8,70,0,309,0,310,0,0,0,0,0,0
29,3,9,80,311,0,316,0,312,0,10310,0,10311,0
30,3,10,90,0,313,314,315,0,0,0,10312,0,0
31,4,1,0,0,0,401,0,0,10401,0,0,0,10402
32,4,2,10,0,0,0,0,0,0,10403,0,10404,0
33,4,3,20,0,0,402,0,0,10405,0,0,0,10406
34,4,4,30,0,0,0,0,0,0,10407,0,10408,0
35,4,5,40,0,0,403,0,0,10409,0,10410,0,10420
36,4,6,50,0,404,0,405,0,0,0,10411,0,0
37,4,7,60,406,0,407,0,408,0,10412,0,10413,0
38,4,8,70,0,409,0,410,0,0,0,10414,0,0
39,4,9,80,411,0,0,0,412,0,10415,0,10416,0
