ID,_Exp,_Point
1,315000000000,1
2,330000000000,2
3,345000000000,3
4,360000000000,4
5,375000000000,5
6,390000000000,6
7,405000000000,7
8,420000000000,8
9,435000000000,9
10,495000000000,11
11,525000000000,12
12,555000000000,13
13,600000000000,14
14,630000000000,15
15,660000000000,16
16,690000000000,17
17,720000000000,18
18,765000000000,19
19,795000000000,20
20,900000000000,22
21,960000000000,23
22,1005000000000,24
23,1065000000000,25
24,1110000000000,26
25,1170000000000,27
26,1230000000000,28
27,1275000000000,29
28,1335000000000,30
29,1380000000000,31
30,1560000000000,33
31,1635000000000,34
32,1710000000000,35
33,1800000000000,36
34,1875000000000,37
35,1950000000000,38
36,2025000000000,39
37,2100000000000,40
38,2190000000000,41
39,2265000000000,42
40,2520000000000,44
41,2625000000000,45
42,2730000000000,46
43,2835000000000,47
44,2940000000000,48
45,3045000000000,49
46,3150000000000,50
47,3255000000000,51
48,3360000000000,52
49,3465000000000,53
50,3825000000000,55
51,3960000000000,56
52,4095000000000,57
53,4230000000000,58
54,4365000000000,59
55,4500000000000,60
56,4635000000000,61
57,4770000000000,62
58,4905000000000,63
59,5040000000000,64
60,5700000000000,66
61,5865000000000,67
62,6045000000000,68
63,6210000000000,69
64,6390000000000,70
65,6555000000000,71
66,6735000000000,72
67,6900000000000,73
68,7080000000000,74
69,7245000000000,75
70,8100000000000,77
71,8310000000000,78
72,8535000000000,79
73,8745000000000,80
74,8970000000000,81
75,9180000000000,82
76,9390000000000,83
77,9615000000000,84
78,9825000000000,85
79,10050000000000,86
80,11115000000000,88
81,11385000000000,89
82,11640000000000,90
83,11910000000000,91
84,12165000000000,92
85,12435000000000,93
86,12690000000000,94
87,12960000000000,95
88,13215000000000,96
89,13485000000000,97
90,14805000000000,99
91,15120000000000,100
92,15435000000000,101
93,15750000000000,102
94,16065000000000,103
95,16380000000000,104
96,16695000000000,105
97,17010000000000,106
98,17325000000000,107
99,17640000000000,108
100,1,110
