ID,_Skill_Name,_Description,_UIDescription,_MaxSlv,_SkillType,_Awaken_SkillType,_Skill_Cooltime,_Skill_Probability,_Skill_Probability_Lv,_Icon,_IconIndex,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_StatusType3,_StatusValue3,_StatusValueSlv3,_StatusType4,_StatusValue4,_StatusValueSlv4,_Effect1,_Effect2,_Effect3,_Effect4,_LEVELUP_ITEM1,_LEVELUP_ITEM2,_LEVELUP_ITEM_VALUE1,_RequireEly
101,閃電衝擊,降下數次驚心動魄的閃電，使敵人們觸電。\n\n※技能資訊※\n目標數：10,降下數次驚心動魄的閃電，\n使敵人們觸電。,99,3,0,150,1000,0,10003043,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,1,0
102,極限風暴,在前方颳起凜冽的風吹飛敵人。\n\n※技能資訊※\n目標數：11,在前方颳起凜冽的風\n吹飛敵人。,99,10,0,200,1000,0,10003043,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
103,岩漿噴發,噴出熾熱的岩漿燒傷敵人。\n\n※技能資訊※\n目標數：12,噴出熾熱的岩漿燒傷敵人。,99,11,0,250,1000,0,10003043,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
104,暗黑龍捲風,颳起強勁的黑色龍捲風攻擊敵人。\n\n※技能資訊※\n目標數：13,颳起強勁的黑色龍捲風\n攻擊敵人。,99,12,0,350,1000,0,10003043,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
105,龍鱗甲,獲得神龍力量，大幅增加角色的能力值。\n\n※效果※\n所有能力值每等級增加100,獲得神龍力量，大幅增加角色的能力值。,30,0,0,0,0,0,10003041,123,455,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
106,龍之眼,使普通怪物感到害怕，增加普通怪物支配力。\n\n※效果※\n普通怪物支配力每等級增加0.2%,使普通怪物感到害怕，\n增加普通怪物支配力。,30,0,0,0,0,0,10003041,126,573,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
201,Main,依萊佳的主要技能。向前方發射強烈的光炮。\n\n※技能資訊※\n目標數：10,依萊佳的主要技能。\n向前方發射強烈的光炮。,75,3,0,150,1000,0,10003043,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,1,0
202,Attack,依萊佳的第一個攻擊技能。利用導彈使前方變成一片火海。\n\n※技能資訊※\n目標數：11,依萊佳的第一個攻擊技能。利用導彈使前方變成一片火海。,75,10,0,200,1000,0,10003043,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
203,Remove,向前方掃射雷射炮，剷除前方所有敵人的技能。\n\n※技能資訊※\n目標數：12,向前方掃射雷射炮，剷除前方所有敵人的技能。,75,11,0,250,1000,0,10003043,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
204,Invade,可應對敵人侵略的技能。使前、後方化為焦土。\n\n※技能資訊※\n目標數：13,可應對敵人侵略的技能。\n使前、後方化為焦土。,75,12,0,350,1000,0,10003043,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
205,機體強化,透過機體強化增加角色的能力值。\n\n※效果※\n所有能力值每等級增加100,透過機體強化增加角色所有能力值。,30,0,0,0,0,0,10003041,131,455,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
206,弱點分析,仔細分析BOSS型怪物後，找出目標的弱點。\n\n※效果※\nBOSS怪物支配力每等級增加0.2%,仔細分析BOSS型怪物後，\n找出目標的弱點。,30,0,0,0,0,0,10003041,119,574,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
301,瘋狂藥水,強行對角色注入瘋狂藥水，大幅增加戰鬥力。\n\n※效果※\n爆擊率增加50%\n爆擊傷害增加300%\n冷卻時間減少30%\n一定時間內無視擊退效果\n持續時間：基本10秒，每等級增加0.2秒,強行對角色注入瘋狂藥水，大幅增加戰鬥力。,50,12,0,600,1000,0,10003043,238,0,0,0,0,0,0,0,0,0,0,0,0,21017141,0,0,0,190145624,190148182,5,0
302,風之氣息,風之氣息籠罩角色的身體。增加怪物額外傷害。\n\n※效果※\n怪物額外傷害基本5000，每等級增加500,風之氣息籠罩角色的身體。增加怪物額外傷害。,40,0,0,0,0,0,10003041,85,566,5000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
303,水之氣息,水之氣息籠罩角色的身體。增加角色HP上限。\n\n※效果※\nHP上限基本20000，每等級增加2000,水之氣息籠罩角色的身體。\n增加角色HP上限。,40,0,0,0,0,0,10003041,84,30,20000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
304,火之氣息,火之氣息籠罩角色的身體。增加角色固定傷害。\n\n※效果※\n固定傷害基本4000，每等級增加400,火之氣息籠罩角色的身體。\n增加角色固定傷害。,40,0,0,0,0,0,10003041,83,496,4000,400,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
305,土之氣息,土之氣息籠罩角色的身體。增加角色貫穿力。\n\n※效果※\n貫穿力基本10%，每等級增加1%,土之氣息籠罩角色的身體。\n增加角色貫穿力。,40,0,0,0,0,0,10003041,86,463,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
306,黑暗氣息,黑暗氣息籠罩角色的身體。增加角色武器攻擊力＆屬性力。\n\n※效果※\n武器攻擊力＆屬性力基本50，每等級增加5,黑暗氣息籠罩角色的身體。增加角色武器攻擊力＆屬性力。,40,0,0,0,0,0,10003041,87,38,50,5,492,50,5,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
401,魔界之光,使光之公主快速向前方突進。\n\n※技能資訊※\n目標數：15,召喚光之公主，\n使光之公主快速向前方突進。,60,3,0,150,1000,0,10003043,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
402,種族本能,發揮失去的種族本能，殲滅周圍所有敵人。\n\n※技能資訊※\n目標數：15,發揮真魔族的種族本能，\n殲滅周圍所有敵人。,60,10,0,200,1000,0,10003043,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
403,死亡鐮刀,向前方投擲武器，將敵人推向一處。\n\n※技能資訊※\n目標數：15,向前方投擲武器，將敵人推向一處。,60,11,0,250,1000,0,10003043,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
404,報復刀刃,施展魔王血統，製造異界縫隙。\n\n※技能資訊※\n目標數：15,施展魔王血統，製造異界縫隙。,60,12,0,350,1000,0,10003043,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,5,0
405,魔界之力,魔界氣息籠罩角色的武器。\n\n※效果※\n最小傷害每等級增加3%,魔界氣息籠罩角色，增加最小傷害。,30,0,0,0,0,0,10003041,130,462,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
406,真魔族的血統,將真魔族的血統發揮到極致。\n\n※效果※\n最大傷害每等級增加3%,將真魔族的血統發揮到極致，增加最大傷害。,30,0,0,0,0,0,10003041,114,461,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
407,報仇準備,被消滅部族的願望激發復仇心。\n\n※效果※\n爆擊傷害每等級增加3%,被消滅部族的願望激發復仇心。增加爆擊傷害。,30,0,0,0,0,0,10003041,118,464,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
501,百萬富翁,增加彩虹幣獲得量。\n\n※效果※\n彩虹幣獲得量每等級增加2%,增加彩虹幣獲得量。,50,0,0,0,0,0,10003040,58,128,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
502,真品名品,增加屬性發生率和道具掉落率。\n\n※效果※\n屬性發生率每等級增加10%\n道具掉落率每等級增加1%,增加屬性發生率和道具掉落率。,30,0,0,0,0,0,10003040,59,136,0,10,132,0,1,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
503,黃粱一夢,短時間內增加屬性發生率和道具掉落率。\n\n※效果※\n屬性發生率：每等級增加20%\n道具掉落率：每等級增加1%\n技能觸發機率：每等級增加2%\n持續時間：基本5秒,短時間內增加屬性發生率和道具掉落率。,50,10,0,600,0,20,10003012,95,0,0,0,0,0,0,0,0,0,0,0,0,21020715,0,0,0,190145624,190148182,8,0
504,身經百戰,增加移動速度和繩索、梯子移動速度。\n\n※效果※\n移動速度 +10%\n梯子移動速度 +30%\n繩索移動速度 +30%,增加移動速度和繩索、梯子移動速度。,1,0,0,0,0,0,10003040,64,114,30,0,118,30,0,106,10,0,0,0,0,0,0,0,0,190145624,190148182,1,0
601,彩虹光束,凝聚彩虹之光，朝前方發射三種光束。\n\n※技能資訊※\n目標數：10,凝聚彩虹之光，\n朝前方發射三種光束。,60,3,0,100,1000,0,10003043,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,2,0
602,閃耀激光,從角中發射強烈光線，燒傷周圍敵人。\n\n※技能資訊※\n目標數：13\n悠尼亞保護膜：產生相當於自身HP上限50%的保護膜\n持續時間：持續5秒,從角中發射強烈光線，\n燒傷周圍敵人。,60,10,0,400,1000,0,10003043,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,4,0
603,彩虹火焰,在空中引爆彩虹之光，散落燒毀大地的光線。\n\n※技能資訊※\n目標數：12,在空中引爆彩虹之光，\n散落燒毀大地的光線。,60,11,0,250,1000,0,10003043,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,190148182,3,0
