ID,_Training_Type,_Training_Name,_Description,_Training_Time,_Training_Reward1,_Training_Reward_Stack1,_Training_Reward2,_Training_Reward_Stack2,_Training_Reward3,_Training_Reward_Stack3,_Training_P_Reward1,_Training_P_Reward_Stack1,_Training_Probability1,_Training_P_Reward2,_Training_P_Reward_Stack2,_Training_Probability2,_Training_P_Reward3,_Training_P_Reward_Stack3,_Training_Probability3
1,2,休息,一邊休息一邊補充體力。,2,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,休息,一邊休息一邊補充體力。,2,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,休息,一邊休息一邊補充體力。,2,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,休息,一邊休息一邊補充體力。,2,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,休息,一邊休息一邊補充體力。,2,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,休息,一邊休息一邊補充體力。,120,190145623,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,休息,一邊休息一邊補充體力。,180,190145623,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,休息,一邊休息一邊補充體力。,240,190145623,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,休息,一邊休息一邊補充體力。,300,190145623,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,休息,一邊休息一邊補充體力。,300,190145623,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,休息,一邊休息一邊補充體力。,360,190145623,6,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,休息,一邊休息一邊補充體力。,360,190145623,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,休息,一邊休息一邊補充體力。,420,190145623,7,0,0,0,0,0,0,0,0,0,0,0,0,0
