ID,_Description,_Result,_Main_Item,_Material,_Type
1,너티디노 알(Lv.2),190194901,700100202,190195001,1
2,너티디노 알(Lv.3),190194902,700100203,190195001,1
3,너티디노 알(Lv.4),190194903,700100204,190195001,1
4,아기 너티디노(Lv.5),190194904,700100205,190195001,1
5,아기 너티디노(Lv.6),190194905,700100206,190195001,1
6,아기 너티디노(Lv.7),190194906,700100207,190195001,1
7,아기 너티디노(Lv.8),190194907,700100208,190195001,1
8,아기 너티디노(Lv.9),190194908,700100209,190195001,1
9,너티디노(Lv.10),190194909,700100210,190195001,1
10,너티디노(Lv.11),190194910,700100211,190195001,1
11,너티디노(Lv.12),190194911,700100212,190195001,1
12,너티디노(Lv.13),190194912,700100213,190195001,1
13,너티디노(Lv.14),190194913,700100214,190195001,1
14,너티디노(Lv.15),190194914,700100215,190195001,1
15,너티디노(Lv.16),190194915,700100216,190195001,1
16,너티디노(Lv.17),190194916,700100217,190195001,1
17,너티디노(Lv.18),190194917,700100218,190195001,1
18,너티디노(Lv.19),190194918,700100219,190195001,1
19,너티디노(Lv.20),190194919,700100220,190195001,1
20,꼬마 너티디노,190194919,700100221,190195001,1
21,페어리디노 알(Lv.2),190194901,700100302,190195001,1
22,페어리디노 알(Lv.3),190194902,700100303,190195001,1
23,페어리디노 알(Lv.4),190194903,700100304,190195001,1
24,아기 페어리디노(Lv.5),190194904,700100305,190195001,1
25,아기 페어리디노(Lv.6),190194905,700100306,190195001,1
26,아기 페어리디노(Lv.7),190194906,700100307,190195001,1
27,아기 페어리디노(Lv.8),190194907,700100308,190195001,1
28,아기 페어리디노(Lv.9),190194908,700100309,190195001,1
29,페어리디노(Lv.10),190194909,700100310,190195001,1
30,페어리디노(Lv.11),190194910,700100311,190195001,1
31,페어리디노(Lv.12),190194911,700100312,190195001,1
32,페어리디노(Lv.13),190194912,700100313,190195001,1
33,페어리디노(Lv.14),190194913,700100314,190195001,1
34,페어리디노(Lv.15),190194914,700100315,190195001,1
35,페어리디노(Lv.16),190194915,700100316,190195001,1
36,페어리디노(Lv.17),190194916,700100317,190195001,1
37,페어리디노(Lv.18),190194917,700100318,190195001,1
38,페어리디노(Lv.19),190194918,700100319,190195001,1
39,페어리디노(Lv.20),190194919,700100320,190195001,1
40,꼬마 페어리디노,190194919,700100321,190195001,1
41,눈송이곰 알(Lv.2),190194901,700100402,190195001,1
42,눈송이곰 알(Lv.3),190194902,700100403,190195001,1
43,눈송이곰 알(Lv.4),190194903,700100404,190195001,1
44,아기 눈송이곰(Lv.5),190194904,700100405,190195001,1
45,아기 눈송이곰(Lv.6),190194905,700100406,190195001,1
46,아기 눈송이곰(Lv.7),190194906,700100407,190195001,1
47,아기 눈송이곰(Lv.8),190194907,700100408,190195001,1
48,아기 눈송이곰(Lv.9),190194908,700100409,190195001,1
49,눈송이곰(Lv.10),190194909,700100410,190195001,1
50,눈송이곰(Lv.11),190194910,700100411,190195001,1
51,눈송이곰(Lv.12),190194911,700100412,190195001,1
52,눈송이곰(Lv.13),190194912,700100413,190195001,1
53,눈송이곰(Lv.14),190194913,700100414,190195001,1
54,눈송이곰(Lv.15),190194914,700100415,190195001,1
55,눈송이곰(Lv.16),190194915,700100416,190195001,1
56,눈송이곰(Lv.17),190194916,700100417,190195001,1
57,눈송이곰(Lv.18),190194917,700100418,190195001,1
58,눈송이곰(Lv.19),190194918,700100419,190195001,1
59,눈송이곰(Lv.20),190194919,700100420,190195001,1
60,꼬마 눈송이곰,190194919,700100421,190195001,1
61,황금돼지 알(Lv.2),190194901,700100502,190195001,1
62,황금돼지 알(Lv.3),190194902,700100503,190195001,1
63,황금돼지 알(Lv.4),190194903,700100504,190195001,1
64,아기 황금돼지(Lv.5),190194904,700100505,190195001,1
65,아기 황금돼지(Lv.6),190194905,700100506,190195001,1
66,아기 황금돼지(Lv.7),190194906,700100507,190195001,1
67,아기 황금돼지(Lv.8),190194907,700100508,190195001,1
68,아기 황금돼지(Lv.9),190194908,700100509,190195001,1
69,황금돼지(Lv.10),190194909,700100510,190195001,1
70,황금돼지(Lv.11),190194910,700100511,190195001,1
71,황금돼지(Lv.12),190194911,700100512,190195001,1
72,황금돼지(Lv.13),190194912,700100513,190195001,1
73,황금돼지(Lv.14),190194913,700100514,190195001,1
74,황금돼지(Lv.15),190194914,700100515,190195001,1
