ID,_Rank,_ItemID,_ItemRare,_ItemCount,_Ely,_Description,_IconFile,_IconIndex,_Use,_Fx1,_Fx2,_Message,_Red,_Green,_Blue,_SoundEffect,_Name
1,1,164402658,5,1,0,,10001112,90,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
2,1,164402734,5,1,0,,10001112,88,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
3,1,170195981,1,150,0,,10001326,122,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
4,1,190148105,1,1,0,,10001213,179,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
5,1,190148106,1,1,0,,10001213,179,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
6,1,190147204,1,5,0,,10001306,138,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
7,1,170130224,1,1,0,,10001323,133,1,22457,22467,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
8,2,170130225,1,1,0,,10001323,133,1,22458,22468,★★★獲得第2名★★★,255,255,255,678,
9,2,190147988,1,1,0,,10001325,69,1,22458,22468,★★★獲得第2名★★★,255,255,255,678,
10,2,170171241,1,300,0,,10001314,87,1,22458,22468,★★★獲得第2名★★★,255,255,255,678,
11,2,190147133,1,1,0,,10001314,5,1,22458,22468,★★★獲得第2名★★★,255,255,255,678,
12,2,170196077,1,1,0,,10001304,247,1,22458,22468,★★★獲得第2名★★★,255,255,255,678,
13,3,170130226,1,1,0,,10001323,133,1,22459,22469,☆獲得第3名☆,198,156,109,678,
14,3,190148182,1,20,0,,10001300,93,1,22459,22469,☆獲得第3名☆,198,156,109,678,
15,3,190144674,1,300,0,,10001309,7,1,22459,22469,☆獲得第3名☆,198,156,109,678,
16,3,190146652,1,2,0,,10001312,236,1,22459,22469,☆獲得第3名☆,198,156,109,678,
17,3,190145609,1,1,0,,10001318,155,1,22459,22469,☆獲得第3名☆,198,156,109,678,
18,4,190146494,1,4,0,,10001313,138,1,22460,22470,第4名,255,143,147,677,
19,4,190195489,1,100,0,,10001303,139,1,22460,22470,第4名,255,143,147,677,
20,4,190148475,1,50,0,,10001320,234,1,22460,22470,第4名,255,143,147,677,
21,4,190146650,1,3,0,,10001304,11,1,22460,22470,第4名,255,143,147,677,
22,4,190192111,1,10,0,,10001304,254,1,22460,22470,第4名,255,143,147,677,
23,5,190148182,1,5,0,,10001300,93,1,22461,22471,第5名,255,143,147,677,
24,5,170194888,1,1,0,,10001314,24,1,22461,22471,第5名,255,143,147,677,
25,5,170193811,1,1,0,,10001323,125,1,22461,22471,第5名,255,143,147,677,
26,5,190146091,1,1,0,,10001321,21,1,22461,22471,第5名,255,143,147,677,
27,6,300199016,1,2,0,,10001319,195,1,22462,22472,第6名,255,143,147,676,
28,6,190147983,1,100,0,,10001325,70,1,22462,22472,第6名,255,143,147,676,
29,6,170196080,1,50,0,,10001304,247,1,22462,22472,第6名,255,143,147,676,
30,6,170196081,1,50,0,,10001304,247,1,22462,22472,第6名,255,143,147,676,
31,6,170196082,1,50,0,,10001304,247,1,22462,22472,第6名,255,143,147,676,
32,6,170196083,1,50,0,,10001304,247,1,22462,22472,第6名,255,143,147,676,
33,7,300199711,1,1,0,,10001311,65,1,22463,22473,第7名,255,143,147,676,
34,7,170130174,1,1,0,,10001323,134,1,22463,22473,第7名,255,143,147,676,
35,7,190147989,1,3,0,,10001307,208,1,22463,22473,第7名,255,143,147,676,
36,7,170195950,1,50,0,,10001313,210,1,22463,22473,第7名,255,143,147,676,
37,7,170195949,1,50,0,,10001313,210,1,22463,22473,第7名,255,143,147,676,
38,7,170196544,1,1,0,,10001323,134,1,22463,22473,第7名,255,143,147,676,
39,8,190195489,1,5,0,,10001303,139,1,22464,22474,第8名,179,163,163,675,
40,8,190146651,1,20,0,,10001312,95,1,22464,22474,第8名,179,163,163,675,
41,8,190146672,1,1,0,,10001308,187,1,22464,22474,第8名,179,163,163,675,
42,8,190147983,1,50,0,,10001325,70,1,22464,22474,第8名,179,163,163,675,
43,8,190144674,1,20,0,,10001309,7,1,22464,22474,第8名,179,163,163,675,
44,9,190146651,1,10,0,,10001312,95,1,22465,22475,第9名,179,163,163,675,
45,9,190147983,1,20,0,,10001325,70,1,22465,22475,第9名,179,163,163,675,
46,9,190144674,1,10,0,,10001309,7,1,22465,22475,第9名,179,163,163,675,
47,10,170171241,1,5,0,,10001314,87,1,22466,22476,第10名,179,163,163,675,
48,10,190145849,1,3,0,,10001313,168,1,22466,22476,第10名,179,163,163,675,
