ID,_ActiveType,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStat2,_ConsumptionStatValue2,_ConditionCheckTime,_Buff_Check,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Motion_ComboID,_ComboTimeDelay,_ComboTime,_ComboApplyID
106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1001
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,44,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,1010
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,71502100,0,33000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,71502100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000201,0,0,33000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
