ID,_Name,_Description,_DisableDescription
8000001,傘贗 葆蝶攪葬[蟾晝],[너클] 너클 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승,[너클] 너클 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
8000002,傘贗 葆蝶攪葬[醞晝],[너클] 너클 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승,[너클] 너클 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승\n\n※습득조건※\n☞ 너클 마스터리[초급] Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 10
8000003,傘贗 葆蝶攪葬[鼻晝],[너클] 너클 공격에 대한 기본 명중률과 타겟 방어력 감소 능력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 명중률 상승\n☞ 레벨 당 1％의 타겟 방어력 감소 효과,[너클] 너클 공격에 대한 기본 명중률과 타겟 방어력 감소 능력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 명중률 상승\n☞ 레벨 당 1％의 타겟 방어력 감소 효과\n\n※습득조건※\n☞ 너클 마스터리[중급] Lv10\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30
1000001,鱔寡掏,[傘贗] 瞪寞曖 瞳擊 ユボ 濰掏擊 頂雖葷,[傘贗] 瞪寞曖 瞳擊 ユボ 濰掏擊 頂雖葷\n\n≦蝗菜褻勒≦\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 1
1001002,繭奢冖,[傘贗] 瞪寞戲煎 餌薑 剪葬陛 曹 鬼溘フ 晦曖 窖橫葬蒂 嫦餌,[傘贗] 瞪寞戲煎 餌薑 剪葬陛 曹 鬼溘フ 晦曖 窖橫葬蒂 嫦餌\n\n≦蝗菜褻勒≦\nＣ 鱔寡掏 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 2
1000002,釭楚離晦,[傘贗] 翱樓 嫦離晦煎 瞪寞曖 瞳擊 奢問,[傘贗] 翱樓 嫦離晦煎 瞪寞曖 瞳擊 奢問\n\n≦蝗菜褻勒≦\nＣ 繭奢冖 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 5
1000012,蝸塭檜註 鑄,[傘贗] 瞪寞戲煎 蝸塭檜註ビ貊 瞳曖 棻葬蒂 晦蝗,[傘贗] 瞪寞戲煎 蝸塭檜註ビ貊 瞳曖 棻葬蒂 晦蝗\n\n≦蝗菜褻勒≦\nＣ 釭楚離晦 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 12
1002012,繹骯堅,[너클] 어깨와 등에 회전을 걸어 치는 몸통 박치기 기술,[너클] 어깨와 등에 회전을 걸어 치는 몸통 박치기 기술 \n\n※습득조건※\n☞ 슬라이딩 킥 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 20
1002001,奩錯陝,[傘贗] 橾貲 撰該樂⑷ 鑄 奢醞薯綠蒂 給賊憮 嫦煎 霤,[傘贗] 橾貲 撰該樂⑷ 鑄 奢醞薯綠蒂 給賊憮 嫦煎 霤\n\n≦蝗菜褻勒≦\nＣ 繹骯堅 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 35
1001001,蝓瑟掏,[傘贗] 薄ヅ諦 翕衛縑 橫ヾ飄擊 陳葬貊 瞳擊 嗥辦朝 晦獎,[傘贗] 薄ヅ諦 翕衛縑 橫ヾ飄擊 陳葬貊 瞳擊 嗥辦朝 晦獎\n\n≦蝗菜褻勒≦\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 20
8000301,曄槳匐 葆蝶攪葬[蟾晝],[양손검] 양손검 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승,[양손검] 양손검 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
8000302,曄槳匐 葆蝶攪葬[醞晝],[양손검] 양손검 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승,[양손검] 양손검 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승\n\n※습득조건※\n☞ 양손검 마스터리[초급] Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 10
8000303,曄槳匐 葆蝶攪葬[鼻晝],"[양손검] 양손검 공격에 대한 공격력을 상승시키고, 명중률이 감소됨\n\n※효과※\n☞ 레벨 당 2％의 최소/최대 대미지 상승, 1%의 명중률 감소","[양손검] 양손검 공격에 대한 공격력을 상승시키고, 명중률이 감소됨\n\n※효과※\n☞ 레벨 당 2％의 최소/최대 대미지 상승, 1%의 명중률 감소\n\n※습득조건※\n☞ 양손검 마스터리[중급] Lv10\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30"
1000015,종횡무진,[曄槳匐] 葬纂蒂 髦萼 翱樓 漆晦 奢問,[曄槳匐] 葬纂蒂 髦萼 翱樓 漆晦 奢問\n\n≦蝗菜褻勒≦\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 1
1001015,韓シ褐煆,[양손검] 수평으로 풀스윙 횡베기를 두번 연속 하는 견제기술,[양손검] 수평으로 풀스윙 횡베기를 두번 연속 하는 견제기술\n\n※습득조건※\n☞ 미티어 웨이브 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 12
1001005,嘐ⅷ橫 錚檜粽,[曄槳匐] 創擎 瞪寞戲煎 鬼溘ビ啪 頂溥藹,[양손검] 넓은 전방으로 강력하게 내려침\n\n※습득조건※\n☞ 종횡무진 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 5
1002015,勒堆橾繫,[曄槳匐] 曄槳匐曖 嬪溘婁 剪葬蒂 譆渠フ 髦萼 謙漆晦 3翱樓 晦獎,[曄槳匐] 曄槳匐曖 嬪溘婁 剪葬蒂 譆渠フ 髦萼 謙漆晦 3翱樓 晦獎\n\n≦蝗菜褻勒≦\nＣ 韓シ褐煆 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 20
1003015,ォシ橾衝,[양손검] 칼의 회전력을 최대한 끌어올린 투척 기술,[양손검] 칼의 회전력을 최대한 끌어올린 투척 기술\n\n※습득조건※\n☞ 건곤일척 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 35
8000601,璽 葆蝶攪葬[蟾晝],[창] 창 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승,[창] 창 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
8000602,璽 葆蝶攪葬[醞晝],[창] 창 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승,[창] 창 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승\n\n※습득조건※\n☞ 창 마스터리[초급] Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 10
8000603,璽 葆蝶攪葬[鼻晝],[창] 창 공격에 대한 스킬 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 스킬 공격력 상승,[창] 창 공격에 대한 스킬 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 스킬 공격력 상승\n\n※습득조건※\n☞ 창 마스터리[중급] Lv10\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30
1000017,韓シ,[璽] 夥塋婁 偽擎 翱鼠 奢問,[璽] 夥塋婁 偽擎 翱鼠 奢問\n\n≦蝗菜褻勒≦\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 1
1001007,ョ葬馨檣 楠蝶,[璽] 創擎 瞪寞曖 瞳縑啪 鬼溘ビ啪 鎬腦晦,[璽] 創擎 瞪寞曖 瞳縑啪 鬼溘ビ啪 鎬腦晦\n\n≦蝗菜褻勒≦\nＣ 韓シ Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 5
1001017,摹シ,[창] 창을 회전시켜 범접할 수 없는 영역을 만듬,[창] 창을 회전시켜 범접할 수 없는 영역을 만듬\n\n※습득조건※\n☞ 허리케인 랜스 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 12
1002007,幗蝶攪 楠憮,[璽] 湊朝 匙擊 睡膜幗葬朝 鬼溘フ 3翱鎬腦晦,[璽] 湊朝 匙擊 睡膜幗葬朝 鬼溘フ 3翱鎬腦晦\n\n≦蝗菜褻勒≦\nＣ 摹シ Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 20
1003007,ニ蝶驗 楠蝶,[璽] 撰惜曖 維擊 獄 瞳擎 賅舒 噙楝霞棻朝 璽 譆堅曖 癱繫 晦獎,[璽] 撰惜曖 維擊 獄 瞳擎 賅舒 噙楝霞棻朝 璽 譆堅曖 癱繫 晦獎\n\n≦蝗菜褻勒≦\nＣ 幗蝶攪 楠憮 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 35
3000106,근력 강화,자신의 근력을 증가시킴\n\n※효과※\n☞ 레벨 당 4%의 근력 상승,자신의 근력을 증가시킴\n\n※효과※\n☞ 레벨 당 4%의 근력 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 3
3000101,餵醞,정신력을 집중해서 자신의 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 3％의 명중률 상승,정신력을 집중해서 자신의 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 3％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 8
3000104,鼻籀,"적에게 물리 공격을 성공시켰을 때, 일정 확률로 적에게 커다란 상처를 줘서 지속적인 피해를 입힘\n\n※효과※\n☞ Lv. 49 이하는 1단계 상처, 레벨 당 150 대미지 \n☞ Lv. 99 이하는 2단계 상처, 레벨 당 200 대미지 \n☞ Lv. 100 이상은 3단계 상처, 레벨 당 300 대미지 \n☞ 10% 확률로 상처 발동, 총 3회 출혈 대미지 발생","적에게 물리 공격을 성공시켰을 때, 일정 확률로 적에게 커다란 상처를 줘서 지속적인 피해를 입힘\n\n※효과※\n☞ Lv. 49 이하는 1단계 상처, 레벨 당 150 대미지 \n☞ Lv. 99 이하는 2단계 상처, 레벨 당 200 대미지 \n☞ Lv. 100 이상은 3단계 상처, 레벨 당 300 대미지 \n☞ 10% 확률로 상처 발동, 총 3회 출혈 대미지 발생\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 15"
3000107,碟喻,분노를 형성해서 자신의 물리 대미지를 증가시킴\n\n※효과※\n☞ 레벨 당 1％의 물리대미지 상승,분노를 형성해서 자신의 물리 대미지를 증가시킴\n\n※효과※\n☞ 레벨 당 1％의 물리대미지 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 24
3000140,纂餌徽 隸陛,자신의 물리대미지를 상승시킴 \n\n※효과※\n☞ 레벨 당 10의 물리대미지 상승,자신의 물리대미지를 상승시킴 \n\n※효과※\n☞ 레벨 당 10의 물리대미지 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30
3000108,碟喻げ嫦,"적에게 물리 크리티컬 공격을 당했을 때, 일정시간 동안 자신의 물리 크리티컬 대미지를 상승시킴\n\n※효과※\n☞ 분노 상태에서만 효과가 발생\n☞ 레벨 당 5％의 물리 크리티컬 대미지 상승","적에게 물리 크리티컬 공격을 당했을 때, 일정시간 동안 자신의 물리 크리티컬 대미지를 상승시킴\n\n※효과※\n☞ 분노 상태에서만 효과가 발생\n☞ 레벨 당 5％의 물리 크리티컬 대미지 상승\n\n※습득조건※\n☞ 분노 Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 40"
8000201,フ槳匐 葆蝶攪葬[蟾晝],[한손검] 한손검 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승,[한손검] 한손검 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
8000202,フ槳匐 葆蝶攪葬[醞晝],[한손검] 한손검 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승,[한손검] 한손검 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승\n\n※습득조건※\n☞ 한손검 마스터리[초급] Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 10
8000203,フ槳匐 葆蝶攪葬[鼻晝],[한손검] 한손검 공격에 대한 기본 명중률 및 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 및 최소/최대 대미지 상승,[한손검] 한손검 공격에 대한 기본 명중률 및 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 및 최소/최대 대미지 상승\n\n※습득조건※\n☞ 한손검 마스터리[중급] Lv10\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30
1000014,渠釭鼠漆晦,[フ槳匐] 陛濰 晦獄瞳檜賊憮紫 褕螃フ 螢溥漆晦,[フ槳匐] 陛濰 晦獄瞳檜賊憮紫 褕螃フ 螢溥漆晦\n\n≦蝗菜褻勒≦\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 1
1001004,W.粽溯檜觼,[한손검] 전방으로 넓은 범위의 횡베기,[한손검] 전방으로 넓은 범위의 횡베기\n\n※습득조건※\n☞ 대나무베기 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 5
1001014,萄楚堆纔橾,[한손검] 용이 꼬리로 바닥을 쓸어버리는 것에서 유래한 횡베기 기술,[한손검] 용이 꼬리로 바닥을 쓸어버리는 것에서 유래한 횡베기 기술\n\n※습득조건※\n☞ W.브레이크 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 12
1002004,模棣綰溯檜萄,[フ槳匐] 蟾堅樓 匐問戲煎 蟾擠樓 漆晦,[フ槳匐] 蟾堅樓 匐問戲煎 蟾擠樓 漆晦\n\n≦蝗菜褻勒≦\nＣ 萄楚堆纔橾 Lv1\nＣ ノ蹂 蝶鑒 け檣⑷ : 1\nＣ 薯フ溯漣 : 20
