ID,_Name,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Visible,_Acquisition_EffectID1,_Acquisition_EffectID2,_Acquisition_EffectID3,_Acquisition_EffectID4,_Acquisition_EffectID5,_Acquisition_ItemID1,_Acquisition_StackCount1,_Acquisition_Rare1,_Acquisition_ItemID2,_Acquisition_StackCount2,_Acquisition_Rare2,_Mission_Type1,_Mission_ID1,_Mission_Count1,_Mission_Type2,_Mission_ID2,_Mission_Count2,_Mission_Type3,_Mission_ID3,_Mission_Count3,_Mission_Type4,_Mission_ID4,_Mission_Count4,_Complete_NPCID,_Consumption_ItemID1,_Consumption_ItemCount1,_Consumption_ItemID2,_Consumption_ItemCount2,_Consumption_ItemID3,_Consumption_ItemCount3,_Consumption_ItemID4,_Consumption_ItemCount4,_Consumption_ItemID5,_Consumption_ItemCount5,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank3_Require1_Type,_Rank3_Require1_ID,_Rank3_Require1_Value1,_Rank3_Require1_Value2,_Rank3_Require2_Type,_Rank3_Require2_ID,_Rank3_Require2_Value1,_Rank3_Require2_Value2,_Rank1_Type,_Rank1_ID1,_Rank1_Probability1,_Rank1_ID2,_Rank1_Probability2,_Rank1_ID3,_Rank1_Probability3,_Rank2_Type,_Rank2_ID1,_Rank2_Probability1,_Rank2_ID2,_Rank2_Probability2,_Rank2_ID3,_Rank2_Probability3,_Rank3_Type,_Rank3_ID1,_Rank3_Probability1,_Rank3_ID2,_Rank3_Probability2,_Rank3_ID3,_Rank3_Probability3,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_AcceptType,_Quest_BaseLV,_Quest_CompletionDel,_Quest_Kind,_Quest_Type
111000001,시작-물건구입,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,4,2,111000001,1,1,0,0,0,0,0,0,0,1,0,0,1,3,170100101,1,0,0,0,0,0,0,0,0,0,7,170100101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,82,벨로스 마을,레드,10005000,82,벨로스 마을,레드,오오! 기초적인 훈련을 마친 그대는 나의 소울메이트! 하지만 아직 적응하기는 멀었다!,큐트한 도구점의 미스 에스텔 에게 저급 체력약 1개를 겟! 해오지 않겠는가?,벨로스 마을 에 있는 '에스텔' 에게 <저급 체력약> 1개를 구입하고 돌아와야 합니다.,수련장을 마친 그대라면 엘리는 분명 가지고 있을테니 어서 겟! 해 오게나!,0,좋아! 소울메이트! 이건 내 마음의 선물이야~,0,1,1,1,1,1,3,2,0,,0
111000002,시작-튼튼한 방어구,4,1,111000001,1,1,3,2,0,0,0,0,0,0,0,0,0,4,2,111000002,1,1,0,0,0,0,0,0,0,1,0,0,1,3,10310101,1,0,0,0,0,0,0,0,0,0,7,10310101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,82,벨로스 마을,레드,10005000,82,벨로스 마을,레드,좋아! 물건을 살 수 있을 정도라면 어느정도 이 라테일 세상에 적응 한 듯 보이는데… 좋아! 그렇다면 좀 더 하드한 트레이닝을 시작 해 볼까?,몬스터와의 전투에서 살아 남으려면 무엇보다 튼튼한 방어구가 있어야 하지. 방어구 상인 발트에게 가죽팔찌를 가져와 보는건 어때?,벨로스 마을 에 있는 '발트' 에게 <가죽팔찌> 1개를 구입하고 돌아와야 합니다.,최하급 방어구 쪽을 보면 있을테니 잘 구해 오라구~,0,오옷! 좋아! 이번엔 좀 더 특별한 선물을 주겠어!,0,1,1,1,1,1,3,2,0,,0
111000003,제대로 된 훈련,4,1,111000002,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000003,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,82,벨로스 마을,레드,마이 소울메이트! 이제 나의 훈련은 이것으로 종료 하겠어.,이제 정말 실전과 같은 훈련을 아세스가 도와줄꺼야. 아세스에게 가보라고!,벨로스 마을 에 있는 '아세스' 와 대화해야 합니다.,크흐흡! 용자는 눈물을 흘리지 않는법! 잘가라 전우여~!,0,으흠? 레드가 보냈다구요?,0,1,1,1,1,1,3,3,0,,0
111000004,처음 만나는 몬스터,4,1,111000003,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000004,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1801,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,2,벨로스 마을,아세스,좋아요. 레드가 기본적인 것들을 가르쳐 주었을테니 저는 전투와 관련된 지식들을 가르쳐 드리죠.,제 오른쪽에 보이는 포탈은 라테일 세상에서 가장 약한 축 에 속하는 기본적인 몬스터들이 있답니다. 그 몬스터의 생김을 관찰하고 오시겠어요?,"'아세스'의 오른쪽에 있는 포탈을 이용하여 ""산림지대"" 지역을 탐험하고 돌아와야 합니다.",겨우 몬스터가 있는지 확인해 보는 일인데 설마 포기하는건 아니겠죠?,0,정말 구경만 했나요? 흐음~ 보기보다 학습능력이 탁월 하시군요?,0,1,0,0,0,0,3,3,0,,0
111000005,전투의 시작,4,1,111000004,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000005,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000101,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000005,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,2,벨로스 마을,아세스,좋습니다. 다음 단계로 넘어가죠. 모험가님 께서 산림지대에서 확인한 몬스터의 이름은 프리링 이라고 해요.,정말 초보 모험가 분들이 전투 방식을 배우기 딱 좋은 몬스터죠. 어때요? 프리링을 조금 상대해 보시겠어요?,산림지대 지역에 있는 [프리링] 4마리를 처치해야 합니다.,크게 부상을 입진 않겠지만 그래도 조심해서 나쁠건 없겠죠?,0,어때요? 조금 지치셨나요? 호호.,0,1,1,1,1,1,3,3,0,,0
111000006,비틀비틀 비틀G,4,1,111000005,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000006,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000104,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000006,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,2,벨로스 마을,아세스,좋아요. 이번에는 조금 더 훈련 강도를 높여 볼까요? 혹시 프리링을 상대 하시면서 비틀G 라는 몬스터를 보셨나요?,모험가님 처럼 이제 막 프리링을 처치 한 분들이 다음 단계로 삼는 몬스터죠.,산림지대 지역에 있는 [비틀G] 4마리를 처치해야 합니다.,이번에도 잘 해내시리라 믿어요.,0,이제 자신감이 많이 붙은 모습이군요. 훌륭해요!,0,1,1,1,1,1,3,3,0,,0
111000007,아이템을 구해오자!,4,1,111000006,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000007,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100101,4,0,0,0,0,0,0,0,0,0,8,190100101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000007,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,2,벨로스 마을,아세스,이제 몬스터를 처치하는 방법은 완벽하게 익히신듯 하군요. 그럼 조금 더 어려운 일을 해 볼까요? 후훗~,프리링을 처치 하시면 털뭉치 라는 아이템을 획득 하실 수 있을 꺼예요. 그 털뭉치를 제게 가져다 주실 수 있나요?,산림지대 지역에 있는 [프리링] 에게 <털뭉치> 4개를 구해와야 합니다.,몬스터를 처치하는 일 보다는 조금 어렵겠지만 잘 해내리라 믿어요.,0,좋아요! 정말 제 기대를 완벽히 만족 시켜 주시는군요.,0,1,1,1,1,1,3,4,0,,0
111000008,한번 더 아이템!,4,1,111000007,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000008,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100202,4,0,0,0,0,0,0,0,0,0,8,190100202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000008,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,벨로스 마을,아세스,10005000,2,벨로스 마을,아세스,프리링에게 아이템을 구해 오셨다면 이제 비틀G 에게 아이템을 구해 보시는건 어때요?,조금 더 강한 몬스터라서 어렵다고 생각 되시나요? 후훗~ 모험가님의 능력을 믿고 한번 도전해 보세요.,산림지대 지역에 있는 [비틀G] 에게 <투명한 날개> 4개를 구해와야 합니다.,저는 모험가님의 능력을 믿어 의심치 않아요.,0,역시… 정말 완벽해요!,0,1,1,1,1,1,3,4,0,,0
111000009,로한의 부름,4,1,111000008,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000009,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000009,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,7,벨로스 마을,로한,10005000,2,벨로스 마을,아세스,모험가님 께서 이곳에서 본격적인 수련을 하시기 전에 일단 벨로스의 장로님 이신 로한님을 먼저 찾아 뵙는건 어때요?,로한님은 풍부한 지식이 있으신 분이니 모험가님께 분명 큰 도움을 주실꺼예요.,벨로스 마을 에 있는 '로한' 과 대화해야 합니다.,로한님은 벨로스 마을 중앙에 계시니 쉽게 찾으실 수 있을꺼예요.,0,흠~ 자네가 요즘 아세스가 말 하던 젊은 모험가인가?,0,1,1,1,1,1,3,4,0,,0
111000010,귀환의 비석,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000010,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,3,벨로스 마을,로한,10005000,3,벨로스 마을,로한,"으흠~ 그런데 자네 보아하니 귀환의 비석 을 사용해 본 적이 없는 것 같구만. 이런 이런~ 귀환의 비석은 필드상에 보이는 석탑과 더불어, 전설의 모험자 '이리스 리비에르'의 마력이 깃들어 있다고 전해진다네.","영상을 보면 자신의 위치를 기억시킬 수 있고, 모험중에 쓰러져도 그 위치로 돌아오게 된다네. 자, 한번 기억을 저장해 보게나.",벨로스 마을 에 있는 '귀환의 비석' 에 기억을 저장하고 '로한'에게 돌아온다.,"자, 어서 기억을 저장시켜 보게나.",0,하하하~ 어떤가? 꽤나 편리한 물건이지 않은가?,0,1,0,0,0,0,3,4,0,,0
