ID,_Subject,_Question,_Ex_1,_Ex_2,_Ex_3,_Ex_4,_Ex_5
1,4,倒著長的是？,青春痘,冰凌,斯芬克斯,人,雪人
2,4,冬天復活，夏天死的人是？,雪人,蜉蝣,冬力人,冬天的故事,暑假
3,4,什麼東西是進去的洞只有一個，出來的洞卻有兩個呢？,鑰匙,領帶,褲子,鞋,帽子
4,4,每天以撒網為生的人是？,木匠,漁夫,五金店,超市,便利店
5,4,洗頭時最先閉的地方是？,眼睛,鼻子,嘴巴,額頭,下巴
6,4,帶著100個蘋果上山。如果上山的時候吃一半，下山的時候再吃一半，還剩下幾個蘋果？,10個,20個,30個,35個,25個
7,4,怎麼才能戰勝試圖出拳的人？,剪子,石頭,槍,跆拳道,布
8,4,打什麼東西不需要花力氣?,打人,打掃,打瞌睡,打架,打球
9,4,書裡面的蟲子是？,書蟲,書呆子,讀書狂,昆蟲圖鑒,蟲子學習書
10,4,什麼球不能拿來玩?,地球,棒球,足球,排球,籃球
11,4,什麼門打不開?,鐵門,球門,車門,安全門,玻璃門
12,4,如果打破100扇窗戶的其中2扇，會變成怎麼樣?,Windows 95,Windows 98,Windows 2000,Windows Me,Windows xP
13,4,人們最害怕什麼物?,禮物,怪物,寶物,貨物,動物
14,4,什麼蟲最愛睡覺?,瞌睡蟲,瓢蟲,甲蟲,螢火蟲,書蟲
15,4,一百塊和一千塊同時掉到地上的話，要撿哪一張?,一百塊,一千塊,小孩子才做選擇，我全都要,兩張都不撿,無正解
16,4,律師、檢察官和法官當中，誰戴的帽子最大?,律師,檢察官,法官,檢察官和法官,頭大的人
17,4,皮卡丘在路上撿到錢會說什麼?,耶,賺到了,是錢耶,太棒了,皮卡皮卡
18,4,8=5，17=25，69=78，64=2，5=??,3,5,6,7,8
19,4,跟10個人賽跑時，贏過第2名的話會變成第幾名?,1,2,3,4,5
20,4,小時候用尾巴游泳，長大用腿游泳的東西是什麼?,蛇,鱷魚,響尾蛇,青蛙,烏龜
21,4,剛出生的蝌蚪有幾條腿?,0,2,4,6,8
22,4,什麼書在書店裡買不到？,參考書,童話書,漫畫書,教科書,秘書
23,4,什麼東西只有在早上跟晚上會變長?,影子,身高,冰柱,鞋子,體重
24,4,什麼東西雖然是我的，但其他人更常提到?,名字,臉,衣服,鞋子,職業
25,4,什麼東西通常是女生在塗，男生在吃?,年糕串,香腸,口紅,粉底液,飯
26,4,什麼東西跑越久價格越高?,賽馬場,馬的價錢,贖金,計程車費,搖滾樂團
27,4,什麼人最不聽話?,聾子,老人,小孩,中年婦女,年輕人
28,4,什麼人一年只要工作一天，而且不用擔心被炒魷魚?,鋼鐵人,聖誕老人,蜘蛛人,超人,蟻人
29,4,什麼瓜不能吃?,冬瓜,西瓜,南瓜,黃瓜,傻瓜
30,4,什麼字每個人都會唸錯?,醯,躉,婠,錯,瓠
31,4,什麼車寸步難行?,風車,汽車,摩托車,火車,卡車
32,4,汽車右轉時，哪個輪胎不會跟著轉?,左前輪,備用輪胎,右前輪,左後輪,右後輪
33,4,什麼東西會越洗越髒?,鞋子,碗盤,毛巾,衣服,水
34,4,用椰子、西瓜、南瓜打頭哪一個比較痛?,頭,椰子,西瓜,南瓜,都不痛
35,4,進動物園第一個會看到什麼動物?,長頸鹿,老虎,大象,獅子,售票員
36,4,老闆最會做哪一道菜?,三杯雞,番茄炒蛋,紅燒牛肉,炒魷魚,螞蟻上樹
37,4,一頭牛向北走10步，再向東走10步，然後往右轉半圈，請問牛的尾巴朝向哪裡?,東,西,下,南,北
38,4,蚊子咬在哪裡不會癢?,手指上,別人身上,眼皮上,小腿上,肚子上
39,4,什?花不能摸？,火花,櫻花,梅花,桃花,杏花
40,4,什?時候有人敲門，你絕對不會說請進？,吃飯時,看電視時,上廁所時,聽音樂時,玩遊戲時
41,4,什麼地方只能進不能出?,學校,墳墓,餐廳,超市,網咖
42,4,什麼東西可以解開所有的謎?,字典,百科全書,課本,老師,謎底
43,4,什麼酒不能喝?,啤酒,雞尾酒,高粱酒,清酒,碘酒
44,4,偷什?東西不犯法？,偷笑,偷錢,偷車,偷電腦,偷手機
45,4,每個人早上醒來都要做的第一件事是什麼？,刷牙,洗臉,上廁所,睜開眼睛,換衣服
46,4,世界上最小的島是什麼島？,綠島,濟州島,普吉島,冰島,安全島
47,4,堅固的鎖最怕什麼?,鐵鎚,鉗子,筷子,螺絲,鑰匙
48,4,什麼布用剪刀剪不斷?,瀑布,抹布,帆布,棉布,紗布
49,4,什麼帽子不能戴?,安全帽,鴨舌帽,貝蕾帽,草帽,螺帽
50,4,什麼蛋中看不中吃？,雞蛋,鴨蛋,鵪鶉蛋,鴕鳥蛋,臉蛋
51,4,地震的時候哪裡最安全?,床底下,飛機上,窗戶邊,操場上,柱子旁
52,4,什麼餅不能吃?,鐵餅,月餅,鬆餅,烤餅,喜餅
53,4,什麼東西製造日期和有效日期是同一天?,牛奶,報紙,飯糰,水果,沙拉
54,4,什麼魚不能吃？,鯛魚,鮪魚,旗魚,鮭魚,木魚
55,4,什麼雞沒有翅膀？,公雞,母雞,小雞,田雞,火雞
56,4,什麼路是人不能走的?,柏油路,電路,馬路,山路,公路
57,4,別人請你吃什麼需要你自己花錢?,壽司,牛排,官司,炒飯,湯麵
58,4,什麼東西洗好了卻不能吃？,撲克牌,生菜,蘋果,番茄,草莓
59,1,前往艾耶島的傳送門在哪裡？,奈雷斯關口,艾利亞斯,阿爾卡笛亞,特洛里,克諾索斯
60,1,把人送到癩蛤蟆島的NPC納伊在哪裡？,亞特蘭提斯,艾利亞斯空港,米德卡勒特,阿法,貝斯
61,1,在艾利亞斯可以進行物品鎖定、屬性重新分配、道具鎖定等操作的場所是？,精品店,艾利亞斯王宮,街舞俱樂部,艾利亞斯格鬥場,美妝店
62,1,金字塔地區一共有幾名NPC？,2名,1名,沒有,3名,4名
63,1,誰不是艾利亞斯精品店的NPC？,兔女郎,修普勒,夏洛,德尼歐,寶妮
64,1,物品店銷售的高階超級鑲嵌拼圖是價格是？,3500000,100,750000,3000000,1000000
65,1,物品店銷售的鑲嵌拼圖是價格是？,100,750000,1000,300000,800000
66,1,克杜卡遺址的NPC是？,宣聖,愛麗絲,夏努伊,瓊基恩,阿斯瑪
67,1,冥王神殿1的NPC是？,亞瑟絲,伊克納特,洛汗,瓊基恩,琳寧
68,1,山林地帶2的NPC是？,亞瑟絲,兔女郎,耶比妹妹,美琳,伊克納特
69,1,阿爾卡笛亞2的NPC是？,瓊基恩,琳寧,瓊珠恩,亞瑟絲,莫亞
70,1,雨林地帶3的NPC是？,西斯藍,宣聖,拉塔特,西諾,宜靜
71,1,不能從亞特蘭提斯前往的地區是？,比佛羅斯特,雪原,癩蛤蟆島,天門,深淵的遺址
72,1,不能從米德卡勒特前往的地區是？,天門,水族館,小章魚城,比佛羅斯特,彭哥列列車
73,1,在彩虹島物語幾級開始進入超越等級？,235,140,50,170,沒有超越等級
74,1,哪個地方可以去貝希摩斯肚子？,雨林地帶,原野地帶,山林地帶,爬呀爬大樹,螞蟻洞窟
75,1,彩虹島物語的代表性怪物名字是？,耶比,哥布哥布,綠凍凍,兵蟻G,沃參
76,1,下面的副本名稱正確的是？,冰淇淋庭園,生巧克力花園,已知森林,腎臟的記憶,暴力防空洞
77,1,在貝羅斯村莊出售各種恢復藥水和物品NPC是？,愛思泰,莫亞,郵差,賽蘿,洛汗
