ID,_Relic_Kind,_Relic_Grade,_Relic_FX,_Relic_Description,_Relic_Skill,_Relic_Maxlevel,_Level_Up_Point,_Level_Up_Ely,_Grade_Up_Point,_Grade_Up_Ely,_Grade_Up_EItem,_Grade_Up_Item,_Grade_Up_Item_Value
101,1,1,0,瑪亞特之眼,1001,10,3000,30000000,0,0,0,0,0
102,1,2,0,瑪亞特之眼,1002,20,5000,30000000,10000,500000000,180202202,0,1
103,1,3,0,瑪亞特之眼,1003,30,8000,30000000,35000,500000000,180202202,0,2
104,1,4,0,瑪亞特之眼,1004,90,20000,30000000,70000,500000000,180202202,0,3
201,2,1,0,耶比妹妹雕像,2001,10,3000,30000000,0,0,0,0,0
202,2,2,0,耶比妹妹雕像,2002,20,5000,30000000,10000,500000000,180202202,0,1
203,2,3,0,耶比妹妹雕像,2003,30,8000,30000000,35000,500000000,180202202,0,2
204,2,4,0,耶比妹妹雕像,2004,90,20000,30000000,70000,500000000,180202202,0,3
301,3,1,0,格萊普尼爾,3001,10,3000,30000000,0,0,0,0,0
302,3,2,0,格萊普尼爾,3002,20,5000,30000000,10000,500000000,180202202,0,1
303,3,3,0,格萊普尼爾,3003,30,8000,30000000,35000,500000000,180202202,0,2
304,3,4,0,格萊普尼爾,3004,90,20000,30000000,70000,500000000,180202202,0,3
401,4,1,0,燃風氣息,4001,10,3000,30000000,0,0,0,0,0
402,4,2,0,燃風氣息,4002,20,5000,30000000,10000,500000000,180202202,0,1
403,4,3,0,燃風氣息,4003,30,8000,30000000,35000,500000000,180202202,0,2
404,4,4,0,燃風氣息,4004,90,20000,30000000,70000,500000000,180202202,0,3
501,5,1,0,狐狸寶珠,5001,10,3000,30000000,0,0,0,0,0
502,5,2,0,狐狸寶珠,5002,20,5000,30000000,10000,500000000,180202202,0,1
503,5,3,0,狐狸寶珠,5003,30,8000,30000000,35000,500000000,180202202,0,2
504,5,4,0,狐狸寶珠,5004,90,20000,30000000,70000,500000000,180202202,0,3
601,6,1,0,雲棍,6001,10,3000,30000000,0,0,0,0,0
602,6,2,0,雲棍,6002,20,5000,30000000,10000,500000000,180202202,0,1
603,6,3,0,雲棍,6003,30,8000,30000000,35000,500000000,180202202,0,2
604,6,4,0,雲棍,6004,90,20000,30000000,70000,500000000,180202202,0,3
