ID,_Name,_BaseSlv,_MaxSlv,_GetSkillLv,_GetSkillID,_SkillType,_SaveCheck,_UpRequireSkillPoint,_UpRequireSkillPointSlv,_UpRequire1_Type,_UpRequire1_ID,_UpRequire1_Value1,_UpRequire1_ValueSlv1,_UpRequire1_Value2,_UpRequire1_ValueSlv2,_UpRequire2_Type,_UpRequire2_ID,_UpRequire2_Value1,_UpRequire2_ValueSlv1,_UpRequire2_Value2,_UpRequire2_ValueSlv2,_Learn_Skill,_InventoryType,_Icon,_IconIndex,_QuickSlotUse,_DisableIcon,_DisableIconIndex,_DisableAlpha,_SubID,_SubIndex,_UpConsumption_Ely,_UpConsumption_ElySlv,_UpConsumption_Type,_Special_Skill,_Toggle_Check,_Pet_Action,_SealSkill_Level,_SealSkill_Exp,_Learn_Fx,_Description,_DisableDescription
1000015,縱橫無盡,0,3,0,0,1,0,1,0,1,3,1,5,0,0,0,0,0,0,0,0,1,2,10003010,13,1,10003000,16,100,204,0,0,0,0,0,0,0,0,0,0,[雙手劍] 使出全力連續砍擊\n\n※技能資訊※\n目標數：6,[雙手劍] 使出全力連續砍擊\n\n※學習條件※\n需要技能點數：1\n限制等級：1
1001015,疾風迅雷,0,3,0,0,1,0,1,0,1,3,12,5,0,0,3,2,1001005,0,1,0,1,2,10003010,30,1,10003000,16,100,204,0,0,0,0,0,0,0,0,0,0,[雙手劍] 連續兩次橫向揮砍的牽制技能\n\n※技能資訊※\n目標數：6,[雙手劍] 連續兩次橫向揮砍的牽制技能\n\n※學習條件※\nLv.1 飛翔斬\n需要技能點數：1\n限制等級：12
1001005,飛翔斬,0,3,0,0,1,0,1,0,1,3,5,5,0,0,3,2,1000015,0,1,0,1,2,10003010,22,1,10003000,16,100,204,0,0,0,0,0,0,0,0,0,0,[雙手劍] 朝廣闊的前方用力下擊\n\n※技能資訊※\n目標數：6,[雙手劍] 朝廣闊的前方用力下擊\n\n※學習條件※\nLv.1 縱橫無盡\n需要技能點數：1\n限制等級：5
1002015,飛影連斬,0,3,0,0,1,0,1,0,1,3,20,5,0,0,3,2,1001015,0,1,0,1,2,10003010,47,1,10003000,16,100,204,0,0,0,0,0,0,0,0,0,0,[雙手劍] 將雙手劍的威力和距離最大化，連砍3次的技能\n\n※技能資訊※\n目標數：6,[雙手劍] 將雙手劍的威力和距離最大化，連砍3次的技能\n\n※學習條件※\nLv.1 疾風迅雷\n需要技能點數：1\n限制等級：20
1003015,風捲連刃,0,3,0,0,1,0,1,0,1,3,35,5,0,0,3,2,1002015,0,1,0,1,2,10003010,65,1,10003000,16,100,204,0,0,0,0,0,0,0,0,0,0,[雙手劍] 使劍的迴旋力提升至最大化的投擲技能\n\n※技能資訊※\n目標數：6,[雙手劍] 使劍的迴旋力提升至最大化的投擲技能\n\n※學習條件※\nLv.1 飛影連斬\n需要技能點數：1\n限制等級：35
1000017,疾風,0,3,0,0,1,0,1,0,1,3,1,5,0,0,0,0,0,0,0,0,1,2,10003010,15,1,10003000,16,100,208,0,0,0,0,0,0,0,0,0,0,[矛槍] 像風一般的煙霧攻擊\n\n※技能資訊※\n目標數：6,[矛槍] 像風一般的煙霧攻擊\n\n※學習條件※\n需要技能點數：1\n限制等級：1
1001007,絕影刺,0,3,0,0,1,0,1,0,1,3,5,5,0,0,3,2,1000017,0,1,0,1,2,10003010,24,1,10003000,16,100,208,0,0,0,0,0,0,0,0,0,0,[矛槍] 朝廣闊前方的敵人強力猛刺\n\n※技能資訊※\n目標數：6,[矛槍] 朝廣闊前方的敵人強力猛刺\n\n※學習條件※\nLv.1 疾風\n需要技能點數：1\n限制等級：5
1001017,旋槍陣,0,3,0,0,1,0,1,0,1,3,12,5,0,0,3,2,1001007,0,1,0,1,2,10003010,32,1,10003000,16,100,208,0,0,0,0,0,0,0,0,0,0,[矛槍] 轉動矛槍，製造無法侵犯的領域\n\n※技能資訊※\n目標數：6,[矛槍] 轉動矛槍，製造無法侵犯的領域\n\n※學習條件※\nLv.1 絕影刺\n需要技能點數：1\n限制等級：12
1002007,連訣槍,0,3,0,0,1,0,1,0,1,3,20,5,0,0,3,2,1001017,0,1,0,1,2,10003010,41,1,10003000,16,100,208,0,0,0,0,0,0,0,0,0,0,[矛槍] 碰到什麼就摧毀什麼的強力3連刺\n\n※技能資訊※\n目標數：6,[矛槍] 碰到什麼就摧毀什麼的強力3連刺\n\n※學習條件※\nLv.1 旋槍陣\n需要技能點數：1\n限制等級：20
1003007,夜影斷刃殺,0,3,0,0,1,0,1,0,1,3,35,5,0,0,3,2,1002007,0,1,0,1,2,10003010,60,1,10003000,16,100,208,0,0,0,0,0,0,0,0,0,0,[矛槍] 使看見閃光的敵人全部倒下的矛槍最強投擲技術\n\n※技能資訊※\n目標數：6,[矛槍] 使看見閃光的敵人全部倒下的矛槍最強投擲技術\n\n※學習條件※\nLv.1 連訣槍\n需要技能點數：1\n限制等級：35
