ID,_Description,_SubID,_Grid_Index,_Image_Setting,_SkillID
1,"??,??,???,???(??)",201,1,128,8000001
2,"??,??,???,???(??)",201,3,132,8000002
3,"??,??,???,???(??)",201,5,4,8000003
4,"??,??,???,???(??)",201,8,0,1106012
5,"??,??,???,???(??)",201,9,0,1100110
6,"??,??,???,???(??)",201,14,0,1107012
7,"??,??,???,???(??)",201,15,0,1106002
8,"??,??,???,???(??)",201,18,0,1109301
9,"??,??,???,???(??)",201,26,0,1104001
10,"??,??,???,???(??)",201,27,0,1100109
11,"??,??,???,???(??)",201,28,0,1106001
12,"??,??,???,???(??)",201,30,0,1100112
13,"??,??,???,???(??)",201,2,512,0
14,"??,??,???,???(??)",201,4,512,0
15,"??,??,???,???(??)",201,0,0,0
16,?? (???),204,7,16,8000301
17,?? (???),204,8,0,1107005
18,?? (???),204,13,18,8000302
19,?? (???),204,15,0,1109305
20,?? (???),204,19,2,8000303
21,?? (???),204,10,0,1107015
22,?? (???),204,22,0,1212005
23,?? (???),204,0,0,0
24,?? (???),204,0,0,0
25,?? (???),204,0,0,0
26,?? (???),204,0,0,0
27,?? (???),204,0,0,0
28,?? (???),204,0,0,0
29,?? (?),208,7,16,8000601
30,?? (?),208,13,18,8000602
31,?? (?),208,19,2,8000603
32,?? (?),208,8,128,1104017
33,?? (?),208,9,512,0
34,?? (?),208,10,4,1105017
35,?? (?),208,12,0,1212008
36,?? (?),208,14,0,0
37,?? (?),208,15,128,1106007
38,?? (?),208,16,512,0
39,?? (?),208,17,4,1105007
40,?? (?),208,20,128,1107027
41,?? (?),208,21,512,0
42,?? (?),208,22,4,1107017
43,?? (?),208,0,0,0
44,?? (????),401,2,0,3600101
45,?? (????),401,4,0,3600102
46,?? (????),401,7,16,3600103
47,?? (????),401,13,1024,0
48,?? (????),401,19,2,3600104
49,?? (????),401,15,16,3600105
50,?? (????),401,21,1024,0
51,?? (????),401,27,2,3600106
52,?? (????),401,11,16,3600107
53,?? (????),401,17,1024,0
54,?? (????),401,23,2,3600108
55,?? (????),401,0,0,0
56,?? (????),401,0,0,0
57,?? (???),203,7,16,8000201
58,?? (???),203,8,128,1105004
59,?? (???),203,9,24576,0
60,?? (???),203,10,4,1107014
61,?? (???),203,12,0,1213005
62,?? (???),203,13,18,8000202
63,?? (???),203,15,4096,0
64,?? (???),203,16,4,1107004
65,?? (???),203,19,2,8000203
66,?? (???),203,20,128,1210014
67,?? (???),203,21,512,0
68,?? (???),203,22,4,1106102
69,?? (???),203,0,0,0
70,?? (???),203,0,0,0
71,?? (???),203,0,0,0
72,?? (???),203,0,0,0
73,?? (???),203,0,0,0
74,?? (???),203,0,0,0
75,?? (???),203,0,0,0
76,?? (???),203,0,0,0
77,?? (???),203,0,0,0
78,?? (???),203,0,0,0
79,?? (???),203,0,0,0
80,?? (???),203,0,0,0
81,?? (???),203,0,0,0
82,?? (???),203,0,0,0
83,?? (??),207,7,16,8000501
84,?? (??),207,13,18,8000502
85,?? (??),207,19,2,8000503
86,?? (??),207,14,0,1211101
87,?? (??),207,15,0,1211103
88,?? (??),207,16,0,1109406
89,?? (??),207,17,0,1211102
