ID,_Description,_Image,_Left,_Top,_Right,_Bottom,_Image_PosX,_Image_PosY
1,스킬트리 라인 이미지 화살표 ↑,Data/Interface/Concept/UI_Object_002.png,323,291,331,296,24,54
2,스킬트리 라인 이미지 화살표 ↓,Data/Interface/Concept/UI_Object_002.png,332,296,340,301,24,0
3,스킬트리 라인 이미지 화살표 →,Data/Interface/Concept/UI_Object_002.png,346,291,351,299,0,19
4,스킬트리 라인 이미지 화살표 ←,Data/Interface/Concept/UI_Object_002.png,341,300,346,308,50,19
5,"스킬트리 라인 이미지 ""|"" 아래",Data/Interface/Concept/UI_Object_002.png,334,291,338,296,26,54
6,"스킬트리 라인 이미지 ""|"" 위",Data/Interface/Concept/UI_Object_002.png,325,296,329,301,26,0
7,"스킬트리 라인 이미지 ""-"" 좌",Data/Interface/Concept/UI_Object_002.png,346,302,351,306,0,21
8,"스킬트리 라인 이미지 ""-"" 우",Data/Interface/Concept/UI_Object_002.png,341,293,346,297,50,21
9,"스킬트리 라인 이미지 ""+""",Data/Interface/Concept/UI_Object_002.png,352,266,407,325,0,0
10,"스킬트리 라인 이미지 ""-----""",Data/Interface/Concept/UI_Object_002.png,352,287,407,291,0,21
11,"스킬트리 라인 이미지 ""|"" 위부터 아래끝",Data/Interface/Concept/UI_Object_002.png,378,266,382,325,26,0
12,"스킬트리 라인 이미지 ""┘""",Data/Interface/Concept/UI_Object_002.png,352,266,382,291,0,0
13,"스킬트리 라인 이미지 ""└""",Data/Interface/Concept/UI_Object_002.png,378,266,407,291,26,0
14,"스킬트리 라인 이미지 ""┌""",Data/Interface/Concept/UI_Object_002.png,378,287,407,325,26,21
15,"스킬트리 라인 이미지 ""┐""",Data/Interface/Concept/UI_Object_002.png,352,287,382,325,0,21
16,,,0,0,0,0,0,0
17,,,0,0,0,0,0,0
18,,,0,0,0,0,0,0
19,,,0,0,0,0,0,0
20,,,0,0,0,0,0,0
21,,,0,0,0,0,0,0
22,,,0,0,0,0,0,0
23,,,0,0,0,0,0,0
24,,,0,0,0,0,0,0
25,,,0,0,0,0,0,0
26,,,0,0,0,0,0,0
27,,,0,0,0,0,0,0
28,,,0,0,0,0,0,0
29,"""??/??"" 이미지",Data/Interface/Concept/UI_Object_000.png,205,443,232,450,14,44
30,아이콘 슬롯 이미지 일반,Data/Interface/Concept/UI_Object_002.png,246,406,280,440,11,7
31,아이콘 슬롯 이미지 스킬레벨0,,0,0,0,0,0,0
32,아이콘 슬롯 이미지 비어있을때,,0,0,0,0,0,0
