ID,_Name,_Description,_DisableDescription
8000001,너클 마스터리[초급],[너클] 너클 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승,[너클] 너클 공격에 대한 기본 명중률을 상승시킴\n\n※효과※\n☞ 레벨 당 1％의 명중률 상승\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
8000002,너클 마스터리[중급],[너클] 너클 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승,[너클] 너클 공격에 대한 기본 공격력을 상승시킴\n\n※효과※\n☞ 레벨 당 1%의 최소/최대 대미지 상승\n\n※습득조건※\n☞ 너클 마스터리[초급] Lv5\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 10
8000003,너클 마스터리[상급],[너클] 너클 공격에 대한 기본 명중률과 타겟 방어력 감소 능력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 명중률 상승\n☞ 레벨 당 1％의 타겟 방어력 감소 효과,[너클] 너클 공격에 대한 기본 명중률과 타겟 방어력 감소 능력을 상승시킴\n\n※효과※\n☞ 레벨 당 2％의 명중률 상승\n☞ 레벨 당 1％의 타겟 방어력 감소 효과\n\n※습득조건※\n☞ 너클 마스터리[중급] Lv10\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 30
1000001,통배권,[너클] 전방의 적을 향해 장권을 내지름,[너클] 전방의 적을 향해 장권을 내지름\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 1
1001002,천공파,[너클] 전방으로 사정 거리가 긴 강력한 기의 덩어리를 발사,[너클] 전방으로 사정 거리가 긴 강력한 기의 덩어리를 발사\n\n※습득조건※\n☞ 통배권 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 2
1000002,나래차기,[너클] 연속 발차기로 전방의 적을 공격,[너클] 연속 발차기로 전방의 적을 공격\n\n※습득조건※\n☞ 천공파 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 5
1000012,슬라이딩 킥,[너클] 전방으로 슬라이딩하며 적의 다리를 기습,[너클] 전방으로 슬라이딩하며 적의 다리를 기습\n\n※습득조건※\n☞ 나래차기 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 12
1002012,철산고,[너클] 어깨와 등에 회전을 걸어 치는 몸통 박치기 기술,[너클] 어깨와 등에 회전을 걸어 치는 몸통 박치기 기술 \n\n※습득조건※\n☞ 슬라이딩 킥 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 20
1002001,반월각,[너클] 일명 섬머솔트 킥 공중제비를 돌면서 발로 참,[너클] 일명 섬머솔트 킥 공중제비를 돌면서 발로 참\n\n※습득조건※\n☞ 철산고 Lv1\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 35
1001001,승룡권,[너클] 점프와 동시에 어퍼컷을 날리며 적을 띄우는 기술,[너클] 점프와 동시에 어퍼컷을 날리며 적을 띄우는 기술\n\n※습득조건※\n☞ 필요 스킬 포인트 : 1\n☞ 제한레벨 : 20
