ID,_Description,_DelayTime0,_Sound0,_Loop0,_DelayTime1,_Sound1,_Loop1,_DelayTime2,_Sound2,_Loop2,_DelayTime3,_Sound3,_Loop3,_DelayTime4,_Sound4,_Loop4,_DelayTime5,_Sound5,_Loop5,_DelayTime6,_Sound6,_Loop6,_DelayTime7,_Sound7,_Loop7,_DelayTime8,_Sound8,_Loop8,_DelayTime9,_Sound9,_Loop9,_DelayTime10,_Sound10,_Loop10
1,[???] ?? : ?? / ?? / ?? ???,0,[Chara]_Attack_Punch_L.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2,[???] ?? : ?? / ?? / ?? ???,0,[Chara]_Attack_Punch_H.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
3,[???] ?? : ??? / ??? / ? / ?? / ?? ???,0,[Chara]_Attack_Sword_L.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
4,[???] ?? : ??? / ??? / ? / ?? / ?? ??? / ? ???,0,[Chara]_Attack_Sword_H.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
5,[???] ?? : ? ???,5,[Chara]_Attack_Spear.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
6,[???] ?? : ? / ?? ???,3,[Chara]_Attack_Bow_L.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
7,[???] ?? : ? / ?? ???,4,[Chara]_Attack_Bow_H.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
8,[???] ????? : ??? ?? ??? ??,0,[Chara]_Guard.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
9,[???] ??,0,[Chara]_Jump.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
10,[???] ?? ??,0,[Chara]_JumpLand.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
11,[???] ?? ?,0,[System]_level_up.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
12,[???] ?? ????,0,[Chara]_BeAttack_Cri.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
13,[???] ?? ??,0,[Chara]_BeAttack01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
14,[???] ?? ?? ?? (??? ??/??? ??),0,[Chara]_BeAttack02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
15,[???] ??G ??,0,[Mon_001_04]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
16,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
17,[???] ?? ?? ?? 1,0,[Mon_001_00]_Public_BeAttack01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
18,[???] ??? ??,0,[System]_Skill_Get.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
19,[???] ?? ?? ?? 2,0,[Mon_001_00]_Public_BeAttack02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
20,[???] ?? ?? / ??? ?? ??? 1,0,[Mon_001_00]_Public_Jump01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
21,[???] ?? ?? / ??? ?? ??? 2,0,[Mon_001_00]_Public_Jump02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
22,"[???] ?? ?? / ??? ?? ??, ???",0,[Mon_001_00]_Public_Jump03.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
23,[???] ??? ??,0,[Mon_001_30]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
24,[???] ? ?? ??,0,[Mon_001_23]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
25,[???] ??? ??,0,[Mon_001_56]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
