ID,_Name,_Atk,_Def,_Ele,_Luk,_Element,_All_Mix_Dam,_Cri_Dam,_Cri_PRO,_PENETRATION,_Element_Mix_Dam,_Weapon_Dam,_Damage_Absolute,_Hit_Rate,_Character_Lv_Sync,_Mob_Dam,_Boss_Dam,_Elite_Mob,_Elite_Boss
1,??_50%,50,50,50,100,100,50,100,100,100,100,100,100,100,1,100,100,100,100
2,??_55%,55,55,55,100,100,55,100,100,100,100,100,100,100,1,100,100,100,100
3,??_60%,60,60,60,100,100,60,100,100,100,100,100,100,100,1,100,100,100,100
4,??_65%,65,65,65,100,100,65,100,100,100,100,100,100,100,1,100,100,100,100
5,??_70%,70,70,70,100,100,70,100,100,100,100,100,100,100,1,100,100,100,100
6,??_75%,75,70,70,100,100,70,100,100,100,100,100,100,100,1,100,100,100,100
7,??_80%,80,80,80,100,100,80,100,100,100,100,100,100,100,1,100,100,100,100
8,??_85%,85,85,85,100,100,85,100,100,100,100,100,100,100,1,100,100,100,100
9,??_90%,90,90,90,100,100,90,100,100,100,100,100,100,100,1,100,100,100,100
10,??_95%,95,95,95,100,100,95,100,100,100,100,100,100,100,1,100,100,100,100
11,??_100%,100,100,100,100,100,100,100,100,100,100,100,100,100,1,100,100,100,100
12,[???] ??_100%,100,0,100,100,100,100,100,100,100,100,100,100,100,1,100,100,100,100
1001,??_50%,50,50,50,100,100,50,100,100,100,100,100,100,100,1,100,100,100,100
1002,??_55%,55,55,55,100,100,55,100,100,100,100,100,100,100,1,100,100,100,100
1003,??_60%,60,60,60,100,100,60,100,100,100,100,100,100,100,1,100,100,100,100
1004,??_65%,65,65,65,100,100,65,100,100,100,100,100,100,100,1,100,100,100,100
1005,??_70%,70,70,70,100,100,70,100,100,100,100,100,100,100,1,100,100,100,100
1006,??_75%,75,70,70,100,100,70,100,100,100,100,100,100,100,1,100,100,100,100
1007,??_80%,80,80,80,100,100,80,100,100,100,100,100,100,100,1,100,100,100,100
1008,??_85%,85,85,85,100,100,85,100,100,100,100,100,100,100,1,100,100,100,100
1009,??_90%,90,90,90,100,100,90,100,100,100,100,100,100,100,1,100,100,100,100
1010,??_95%,95,95,95,100,100,95,100,100,100,100,100,100,100,1,100,100,100,100
1011,??_100%,100,100,100,100,100,100,100,100,100,100,100,100,100,1,100,100,100,100
1012,??_105%,100,105,100,100,100,105,100,100,100,100,100,100,100,1,100,100,100,100
1013,??_110%,100,110,100,100,100,110,100,100,100,100,100,100,100,1,100,100,100,100
1014,??_115%,100,115,100,100,100,115,100,100,100,100,100,100,100,1,100,100,100,100
1015,??_120%,100,120,100,100,100,120,100,100,100,100,100,100,100,1,100,100,100,100
1016,??_125%,100,125,100,100,100,125,100,100,100,100,100,100,100,1,100,100,100,100
1017,??_130%,100,130,100,100,100,130,100,100,100,100,100,100,100,1,100,100,100,100
1018,??_135%,100,135,100,100,100,135,100,100,100,100,100,100,100,1,100,100,100,100
1019,??_140%,100,140,100,100,100,140,100,100,100,100,100,100,100,1,100,100,100,100
1020,??_145%,100,145,100,100,100,145,100,100,100,100,100,100,100,1,100,100,100,100
1021,??_150%,100,150,100,100,100,150,100,100,100,100,100,100,100,1,100,100,100,100
1022,??_155%,100,155,100,100,100,155,100,100,100,100,100,100,100,1,100,100,100,100
2001,[???] ??_100%,100,0,100,100,100,100,100,100,100,100,100,100,100,1,100,100,100,100
