ID,_Test1,_Test2,_Name,_Description,_CutIn_Check
536875421,??? ???,?? ??,拳套,近距離戰鬥特化的武器。擁有快速的攻擊速度，可進行各種連擊。,1
536875422,??? ???,?? ??,雙手劍,暢通無阻地砍向一切事物的強力雙手武器。,1
536875423,??? ???,?? ??,矛槍,以廣大攻擊範圍為特徵的武器，可輕鬆壓制遠處的敵人。,1
536875424,??? ???,?? ??,單手劍,擁有俐落攻擊動作的單手武器，可和盾牌一起配戴。,1
536875425,??? ???,?? ??,鈍器,強化重重一擊的武器，可和盾牌一起配戴。,1
536875426,??? ???,?? ??,短劍,擁有快速攻擊速度的武器，投擲武器壓制遠方敵人。,1
536875427,??? ???,?? ??,弓箭,強化遠距攻擊的武器，將弓箭變為各種型態攻擊敵人。,1
536875428,??? ???,?? ??,十字弓,發射強力的弓箭，進行貫穿所有敵人的攻擊。,1
536875429,??? ???,?? ??,法杖,使4大元素魔法的破壞力增加。,1
536875430,??? ???,?? ??,MG,可騎乘MG機器人。,1
536875431,??? ???,?? ??,靈魂石,利用封印住怪物部分力量的靈魂石，協助角色更有效率地使用黑暗屬性。,1
536875432,??? ???,?? ??,魔力卡片,對使用具神奇能力的魔法卡片來施展魔法有很大的幫助，創角時基本上各發送5張卡片。,1
536875433,??? ???,?? ??,黑狼玉,被來路不明的影子封印住的武器。透過已封印的影子可使用更強大的技能。,1
536875434,??? ???,?? ??,魔法權杖,蘊含女神力量的武器，對使用神聖魔法有幫助。在憤怒狀態下也可直接用於打擊。,1
536875435,??? ???,?? ??,爆焰巨錘,強化對付巨型怪物的大型武器。,1
536875436,??? ???,?? ??,鎖鏈劍,雖然是強化以長劍型態刺擊的武器，但武器的型態會依據戰鬥狀況改變，可進行大範圍攻擊。,1
536875437,??? ???,?? ??,魔法長矛,雖然是強化刺擊的武器，但可利用重量進行打擊，賦予魔力後會變成更有威力的型態。,1
805322758,???,???,固定小地圖,可開關小地圖,0
805322762,???,???,世界地圖,可開啟世界地圖,0
805322763,???,???,詳細地圖,可開啟詳細地圖,0
805322866,???,??,郵件,新郵件通知,0
805322870,???,??,持有彩虹幣,角色持有的彩虹幣總額,0
805322868,???,??,郵件,新郵件通知,0
805322871,???,??,持有彩虹幣,角色持有的彩虹幣總額,0
805326851,?????,HP ???,HP計量條,標示角色HP上限量與目前HP量的計量條,0
805326856,?????,SP???,SP計量條,標示角色最大SP量與目前SP量的計量條,0
805326857,?????,RP???,Restrain計量條,標示角色目前RP量的計量條,0
805326858,?????,?? ??? (???),護甲計量條,依照角色的防禦力，將特定數值轉換為火神盾。火神盾消滅後，將在一定時間後重新生成,0
805326859,?????,?? ???,護甲計量條,依照角色的防禦力，將特定數值轉換為火神盾。火神盾消滅後，將在一定時間後重新生成,0
805326871,?????,?????,卡片計量條,標示設定卡片個數的計量條,0
805326878,?????,?????,卡片匣,點擊時將開啟卡片匣,0
805326880,?????,??? ???,特殊計量條,使用特別技能時消耗的計量條,0
805326881,?????,VP???,Vitality計量條,標示角色目前VP量的計量條,0
