ID,_Vehicle_Tab,_PositionIndex,_Name,_Description,_Category,_Num,_ColorID,_PosID3,_MotionTypeID,_Icon,_IconIndex,_EventType,_Vehicle_Item,_Vehicle_EventItem,_Vehicle_Item_Count,_Activation_Description,_Deactivation_Description1,_Deactivation_Description2,_Skill1,_SLv1,_Skill2,_SLv2,_Skill3,_SLv3,_Skill4,_SLv4,_GradeID,_FX
10001,2,14,UFO Mk.V, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n似乎會為了找尋星星而去旅行的UFO,816,955,7,13,510,10001210,28,0,0,190148288,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10002,2,13,可愛龍龍, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n以圓潤和善的眼睛、小小的翅膀和可愛小角為魅力的翡翠神龍,816,955,2,13,460,10001208,73,0,190148290,190148289,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10004,2,11,飛天毛毯, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n空間寬敞，以柔軟材質製成，所以舒適度勝過其他坐騎。但因為沒有安全裝置，搭乘時請務必找地方抓緊！\n\n「從瞬間到永遠，出發尋找夢想的∼冒險(唱)」,816,955,8,13,520,10001210,93,0,0,190148291,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10005,2,10,小馬, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n仿照小馬模樣氣球製成的小朋友專屬可愛坐騎\n\n「出發吧！小朋友騎士團！前往魔王支配的幻想國度，消滅魔王吧！」,816,955,9,13,530,10001210,91,0,0,190148292,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10006,2,9,萬聖節南瓜馬車, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n用超巨大南瓜製成的馬車\n\n「究竟是誰想到雕刻巨大南瓜來製成馬車呢？」\n\n「但這個該不會只能在午夜12點前驅動吧？」,816,955,10,13,540,10001210,92,0,0,190148293,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10007,2,8,進擊的坦克！, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n坐上用鋼鐵製成的無敵坦克車，朝敵人邁進吧！,816,955,11,13,550,10001210,4,0,0,190148294,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10008,2,7,獅鷲, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n雖然是隻不會說話的怪物，但他明亮的瞳孔彷彿在說「來，走吧！和我一起在藍天翱翔！」。,816,955,12,13,560,10001210,81,0,0,190148295,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10009,2,6,天空幼龍, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n擁有特殊力量的天空幼龍,816,951,20,13,590,10001211,158,0,0,190148296,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10010,2,5,彩虹島88列車, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n嘟嘟∼汽鏘汽鏘∼紀念8週年而來到偉大之塔且活力四射的彩虹島88列車！,816,951,20,13,600,10001211,159,0,0,190148297,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
10011,2,4,特殊飛天毛毯, 移動速度 +70%\n繩索移動速度 +110%\n梯子移動速度 +110%\n\n為達成超越9999等級者特別製作的飛天毛毯,816,955,8,13,501,10001214,116,0,0,190148298,1,已登錄[%s]坐騎。,點擊購買鍵，即可購買[%s]坐騎。,[%s]道具數量不足。,0,0,0,0,0,0,0,0,1,0
