ID,_cont,_WayPoint_Group,_Name,_Icon,_IconIndex
1,0,1,貝羅斯,10002000,3
2,0,2,艾利亞斯,10002000,7
3,0,3,龍京,10002000,12
4,0,4,奧亦奇,10002000,19
5,0,5,阿法,10002000,25
6,0,6,貝斯,10002000,39
7,0,7,亞特蘭提斯,10002000,79
8,0,8,米德卡勒特,10002000,88
9,0,9,亞斯卡勒特,10002000,89
10,0,10,吉納蒂亞,10002000,123
11,0,11,小章魚城,10002000,120
12,1,12,聯合公會,10002000,130
13,1,13,艾爾亞諾勒,10002000,134
14,1,14,普雷伊奧斯東部平原,10002001,82
15,1,15,華納海姆,10002000,154
16,1,16,米勒坎蒂亞,10002000,204
17,1,17,教團管理地區,10002001,50
18,1,18,普紐瑪,10002001,76
19,1,19,普雷伊奧斯南部海岸,10002001,83
20,1,28,亞普和因,10002001,91
21,1,29,席巴黎雅帝國的法令,10002001,102
22,2,20,猶忒王國,10002000,237
23,2,21,光之聯合都市,10002000,246
24,2,22,塔爾達洛斯,10002001,13
25,2,23,恪爾立,10002001,24
26,2,24,東方大陸,10002001,32
27,2,25,福波斯,10002001,43
28,2,26,格爾答,10002001,63
29,2,27,阿瓦隆,10002001,71
