ID,_WeaponSkinGroupID,_CategoryView,_Kind,_CategoryDetail,_Category,_Num,_ColorID,_FxgroupID,_MotionTypeID1,_MotionTypeID2,_MotionTypeID3,_Name,_Description,_PositionIndex,_IconFile,_IconIndex,_EventType,_Weaponskin_Item,_Weaponskin_EventItem,_Weaponskin_Item_Count,_Activation_Description,_Deactivation_Description1,_Deactivation_Description2
101000,101,1,1,0,0,0,0,0,10,0,0,基本外觀,顯示目前套用的武器外觀或指定的武器外觀。,0,0,0,0,0,0,0,點擊使用鍵即可使用%s。,,
101001,101,1,1,1,801,29,1,0,10,0,0,華爾基莉刺手,,1,10001106,88,0,190148727,190148737,10,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101002,101,1,1,2,801,42,1,0,10,0,0,瓦爾哈拉刺手,,2,10001110,78,0,190148725,190148725,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101003,101,1,1,1,801,39,1,0,10,0,0,黑暗拳套,,3,10001109,26,0,190148728,190148738,10,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101004,101,1,1,1,801,41,3,0,10,0,0,神聖星星拳套,,4,10001110,56,0,190148730,190148740,10,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101005,101,1,1,2,801,34,1,0,10,0,0,羅馬競技場忍者飛鏢,,5,10001107,32,0,190148725,190148725,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101006,101,1,1,0,801,1,1,0,10,0,0,護指,,6,10001100,49,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101007,101,1,1,0,801,2,1,0,10,0,0,鐵拳,,7,10001100,50,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101008,101,1,1,0,801,3,1,0,10,0,0,星叉,,8,10001100,51,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101009,101,1,1,0,801,5,1,0,10,0,0,滿月牙,,9,10001100,53,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101010,101,1,1,0,801,7,1,0,10,0,0,赤爪,,10,10001100,125,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101011,101,1,1,0,801,9,1,0,10,0,0,金環,,11,10001100,132,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101012,101,1,1,0,801,11,1,0,10,0,0,赤扇,,12,10001100,134,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101013,101,1,1,0,801,13,1,0,10,0,0,冰扇,,13,10001100,136,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
101014,101,1,1,0,801,15,1,0,10,0,0,鑲釘拳套,,14,10001106,34,0,190148723,190148723,1,點擊使用鍵即可使用[%s]武器外觀。,點擊購買鍵即可登錄[%s]武器外觀。,[%s]道具數量不足。
