ID,_WeaponSkinGroupID,_Kind,_WeaponSkin_Icon1_X1,_WeaponSkin_Icon1_Y1,_WeaponSkin_Icon1_X2,_WeaponSkin_Icon1_Y2,_WeaponSkin_Icon2_X1,_WeaponSkin_Icon2_Y1,_WeaponSkin_Icon2_X2,_WeaponSkin_Icon2_Y2,_WeaponSkinGroup_String,_ItemID
1,104,4,133,1,165,33,317,133,333,149,雙手劍,80404701
2,108,8,166,1,198,33,334,133,350,149,矛槍,80804701
3,106,6,199,1,231,33,351,133,367,149,雙刀,80604701
4,103,3,67,1,99,33,283,133,299,149,單手劍,80304701
5,107,7,100,1,132,33,300,133,316,149,鈍器,80704701
6,101,1,1,1,33,33,249,133,265,149,拳套,80104701
7,105,13,265,1,297,33,385,133,401,149,魔法球,80504701
8,111,5,232,1,264,33,368,133,384,149,法杖,81204701
9,112,14,298,1,330,33,402,133,418,149,吉他,81304701
10,102,2,34,1,66,33,266,133,282,149,短劍,80204701
11,109,9,331,1,363,33,419,133,435,149,弓箭,80904701
12,110,10,364,1,396,33,436,133,452,149,十字弓,81004701
13,113,15,397,1,429,33,453,133,469,149,手槍,81404701
14,114,17,298,100,330,132,487,167,503,183,MG,81604701
15,124,27,364,100,396,132,419,184,435,200,靈魂石,82804701
16,126,44,397,100,429,132,487,184,503,200,魔力卡片,82904701
17,127,45,430,100,462,132,249,201,265,217,黑狼玉,84004701
18,136,46,1,341,33,373,351,218,367,234,闇影刀,84199901
19,128,47,463,100,495,132,266,201,282,217,魔法權杖,84204701
20,129,48,67,242,99,274,317,201,333,217,爆焰巨錘,84304701
21,130,49,100,242,132,274,334,201,350,217,鎖鏈劍,84404701
22,132,51,166,242,198,274,453,201,469,217,魔法長矛,84604701
23,135,55,133,308,165,340,300,218,316,234,雙環刃,85004702
24,115,18,100,209,132,241,300,184,316,200,螺旋劍,81804701
25,116,19,133,209,165,241,317,184,333,200,飛燕劍,81904701
26,117,20,67,209,99,241,283,184,299,200,長拳套,82004701
27,118,21,1,209,33,241,249,184,265,200,神擊手,82104701
28,123,26,166,209,198,241,334,184,350,200,戰擊拐杖,82604701
29,119,22,199,209,231,241,351,184,367,200,音樂權杖,82204701
30,120,23,34,209,66,241,266,184,282,200,盜賊短劍,82304701
31,121,24,1,242,33,274,368,184,384,200,神槍劍,82404701
32,122,25,34,242,66,274,385,184,401,200,禦守珠,82504701
33,131,50,133,242,165,274,436,201,452,217,寶石短錐,84504701
34,133,53,199,242,231,274,266,218,282,234,扇子,84804701
35,134,54,100,308,132,340,283,218,299,234,雨傘,84904701
36,125,12,430,1,462,33,470,133,486,149,盾牌,81104801
