ID,_Zodiac_Name,_Zodiac_Type,_Zodiac_Page,_Zodiac_Step,_NeedEly,_Zodiac_Require,_ZodiacStep_Require,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Slot_Description1,_Slot_Name1,_Slot_StatID1,_Slot_Description2,_Slot_Name2,_Slot_StatID2,_Slot1-1_Option,_Slot1-2_Option,_Slot1_NeedPoint,_Slot1_Size,_Slot2-1_Option,_Slot2-2_Option,_Slot2_NeedPoint,_Slot2_Size,_Slot3-1_Option,_Slot3-2_Option,_Slot3_NeedPoint,_Slot3_Size,_Slot4-1_Option,_Slot4-2_Option,_Slot4_NeedPoint,_Slot4_Size,_Slot5-1_Option,_Slot5-2_Option,_Slot5_NeedPoint,_Slot5_Size,_Slot6-1_Option,_Slot6-2_Option,_Slot6_NeedPoint,_Slot6_Size,_Slot7-1_Option,_Slot7-2_Option,_Slot7_NeedPoint,_Slot7_Size,_Slot8-1_Option,_Slot8-2_Option,_Slot8_NeedPoint,_Slot8_Size,_Slot9-1_Option,_Slot9-2_Option,_Slot9_NeedPoint,_Slot9_Size,_Slot10-1_Option,_Slot10-2_Option,_Slot10_NeedPoint,_Slot10_Size,_Slot_Option1_Total,_Slot_Option2_Total
101,成長牡羊座,1,1,1,0,0,0,1,578,2000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 +,HP上限 +%d,30,100,300,2000,101,200,600,4000,102,100,300,2000,101,400,1200,8000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,成長牡羊座,1,1,2,1000000000,1,1,1,578,2000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 +,HP上限 +%d,30,250,750,6000,101,500,1500,12000,102,250,750,6000,101,1000,3000,24000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,2400
103,成長牡羊座,1,1,3,1000000000,1,2,1,578,2000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 +,HP上限 +%d,30,400,1200,10000,101,800,2400,20000,102,400,1200,10000,101,1600,4800,40000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,6000
104,成長牡羊座,1,1,4,1000000000,1,3,1,578,2000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 +,HP上限 +%d,30,550,1650,14000,101,1100,3300,28000,102,550,1650,14000,101,2200,6600,56000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,9600
105,成長牡羊座,1,1,5,1000000000,1,4,1,578,2000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 +,HP上限 +%d,30,700,2100,18000,101,1400,4200,36000,102,700,2100,18000,101,2800,8400,72000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,13200
201,成長金牛座,1,2,1,1000000000,1,1,1,578,2500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,,,0,80,0,2500,101,80,0,2500,101,80,0,2500,101,80,0,2500,101,160,0,5000,102,80,0,2500,101,80,0,2500,101,160,0,5000,102,0,0,0,0,0,0,0,0,0,0
202,成長金牛座,1,2,2,1000000000,2,1,1,578,2500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,,,0,160,0,6500,101,160,0,6500,101,160,0,6500,101,160,0,6500,101,320,0,13000,102,160,0,6500,101,160,0,6500,101,320,0,13000,102,0,0,0,0,0,0,0,0,800,0
203,成長金牛座,1,2,3,1000000000,2,2,1,578,2500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,,,0,240,0,10500,101,240,0,10500,101,240,0,10500,101,240,0,10500,101,480,0,21000,102,240,0,10500,101,240,0,10500,101,480,0,21000,102,0,0,0,0,0,0,0,0,1600,0
204,成長金牛座,1,2,4,1000000000,2,3,1,578,2500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,,,0,320,0,14500,101,320,0,14500,101,320,0,14500,101,320,0,14500,101,640,0,29000,102,320,0,14500,101,320,0,14500,101,640,0,29000,102,0,0,0,0,0,0,0,0,2400,0
205,成長金牛座,1,2,5,1000000000,2,4,1,578,2500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,,,0,400,0,18500,101,400,0,18500,101,400,0,18500,101,400,0,18500,101,800,0,37000,102,400,0,18500,101,400,0,18500,101,800,0,37000,102,0,0,0,0,0,0,0,0,3200,0
