ID,_Option_Description,_Option_Group,_Option_Probability,_Option_Min,_Option_Max
1,??/?? ?????,10101,35,10,200
2,??/?? ?????,10101,30,90,350
3,??/?? ?????,10101,20,180,700
4,??/?? ?????,10101,10,270,1250
5,??/?? ?????,10101,5,350,2600
6,??HP %,10111,70,0,0
7,??HP %,10111,25,1,1
8,??HP %,10111,5,1,2
9,??? +,10201,35,10,100
10,??? +,10201,30,50,200
11,??? +,10201,20,100,400
12,??? +,10201,10,160,750
13,??? +,10201,5,220,1600
14,??? %,10211,70,0,0
15,??? %,10211,25,1,1
16,??? %,10211,5,1,2
17,?????/??? +,10301,35,1,4
18,?????/??? +,10301,30,2,7
19,?????/??? +,10301,20,3,14
20,?????/??? +,10301,10,5,25
21,?????/??? +,10301,5,7,55
22,?????/??? %,10311,70,0,0
23,?????/??? %,10311,25,1,1
24,?????/??? %,10311,5,1,2
25,??/??? +,10401,35,15,140
26,??/??? +,10401,30,70,250
27,??/??? +,10401,20,150,550
28,??/??? +,10401,10,200,950
29,??/??? +,10401,5,270,2000
30,??/??? %,10411,70,0,0
31,??/??? %,10411,25,1,1
32,??/??? %,10411,5,1,2
33,?? ??? ???+,10501,35,30,270
34,?? ??? ???+,10501,30,130,550
35,?? ??? ???+,10501,20,270,1000
36,?? ??? ???+,10501,10,400,1900
37,?? ??? ???+,10501,5,550,4000
38,?? ??? ???,10511,35,0,1
39,?? ??? ???,10511,30,0,2
40,?? ??? ???,10511,20,1,2
41,?? ??? ???,10511,10,1,3
42,?? ??? ???,10511,5,2,6
43,?? ??? ???+,10601,35,30,270
44,?? ??? ???+,10601,30,130,550
45,?? ??? ???+,10601,20,270,1000
46,?? ??? ???+,10601,10,400,1900
47,?? ??? ???+,10601,5,550,4000
48,?? ??? ???,10611,35,0,1
49,?? ??? ???,10611,30,0,2
50,?? ??? ???,10611,20,1,2
51,?? ??? ???,10611,10,1,3
52,?? ??? ???,10611,5,2,6
53,??/?? ?????,10103,35,40,800
54,??/?? ?????,10103,30,360,1400
55,??/?? ?????,10103,20,720,2800
56,??/?? ?????,10103,10,1080,5000
57,??/?? ?????,10103,5,1400,10400
58,??HP %,10113,70,1,1
59,??HP %,10113,25,1,2
60,??HP %,10113,5,2,2
61,??? +,10203,35,40,400
62,??? +,10203,30,200,800
63,??? +,10203,20,400,1600
64,??? +,10203,10,640,3000
65,??? +,10203,5,880,6400
66,??? %,10213,70,1,1
67,??? %,10213,25,1,2
68,??? %,10213,5,2,2
69,?????/??? +,10303,35,4,16
70,?????/??? +,10303,30,8,28
71,?????/??? +,10303,20,12,56
72,?????/??? +,10303,10,20,100
73,?????/??? +,10303,5,28,220
74,?????/??? %,10313,70,1,1
75,?????/??? %,10313,25,1,2
76,?????/??? %,10313,5,2,2
77,??/??? +,10402,35,30,280
78,??/??? +,10402,30,140,500
79,??/??? +,10402,20,300,1100
80,??/??? +,10402,10,400,1900
81,??/??? +,10402,5,540,4000
82,??/??? %,10412,70,0,0
83,??/??? %,10412,25,1,1
84,??/??? %,10412,5,2,2
