ID,_Zodiac_Page,_Zodiac_Slot,_Start_X,_Start_Y,_End_X,_End_Y
1,1,1,109,211,157,259
2,1,2,276,254,324,302
3,1,3,349,287,397,335
4,1,4,364,331,412,379
5,2,1,368,441,416,489
6,2,2,278,361,326,409
7,2,3,242,322,209,370
8,2,4,198,301,246,349
9,2,5,111,203,159,251
10,2,6,230,271,278,319
11,2,7,210,214,258,262
12,2,8,162,136,210,184
13,3,1,98,237,146,285
14,3,2,99,291,147,339
15,3,3,173,319,221,367
16,3,4,286,437,334,485
17,3,5,309,392,357,439
18,3,6,127,184,175,232
19,3,7,250,151,298,199
20,3,8,283,272,331,320
21,3,9,335,336,383,384
22,3,10,410,283,458,331
23,4,1,142,179,190,227
24,4,2,187,239,235,287
25,4,3,211,279,259,327
26,4,4,210,391,258,439
27,4,5,353,337,401,385
28,5,1,281,141,329,189
29,5,2,232,145,280,193
30,5,3,220,215,268,263
31,5,4,250,244,298,292
32,5,5,158,345,206,393
33,5,6,148,446,196,494
34,5,7,196,392,244,440
35,5,8,340,273,388,321
36,6,1,298,143,346,191
37,6,2,284,234,332,282
38,6,3,237,245,285,293
39,6,4,181,228,229,276
40,6,5,237,319,285,367
41,6,6,198,353,246,401
42,6,7,161,416,209,464
43,6,8,314,346,362,394
44,6,9,275,414,279,489
45,6,10,230,440,278,488
46,107,1,127,287,175,335
47,107,2,184,252,232,300
48,107,3,223,154,271,202
49,107,4,317,224,365,272
50,107,5,307,356,355,404
51,107,6,230,392,278,440
52,107,7,228,433,276,481
53,108,1,401,183,449,231
54,108,2,385,291,433,339
55,108,3,339,228,387,276
56,108,4,237,296,285,344
57,108,5,143,381,191,429
58,108,6,74,323,122,371
59,108,7,124,289,172,337
60,109,1,198,381,246,429
61,109,2,92,305,140,353
62,109,3,197,262,245,310
63,109,4,144,172,192,220
64,109,5,285,239,333,287
65,109,6,313,335,361,383
66,109,7,308,178,356,226
67,110,1,206,322,254,370
68,110,2,175,361,223,409
69,110,3,142,429,190,477
70,110,4,233,404,281,452
71,110,5,313,361,361,409
72,110,6,313,320,361,368
73,110,7,255,152,303,200
74,111,1,334,151,382,199
75,111,2,170,267,218,315
76,111,3,241,303,289,351
77,111,4,296,292,344,340
78,111,5,171,308,219,356
79,111,6,141,338,189,386
80,111,7,206,422,254,470
81,111,8,214,383,262,431
82,111,9,265,375,313,423
83,111,10,324,417,372,465
84,112,1,140,420,188,468
85,112,2,188,416,236,464
86,112,3,264,417,312,465
87,112,4,378,429,426,477
88,112,5,334,379,382,427
89,112,6,285,309,333,357
90,112,7,253,231,301,279
91,112,8,271,194,319,242
92,112,9,276,145,324,193
93,112,10,231,147,279,195
