ID,箱子名稱,獎勵名稱,效果名稱
1,熊貓領養券,熊貓 X1,
2,企鵝領養券,企鵝 X1,
3,愛麗絲的石頭兌換券,愛麗絲的石頭 X1,
4,卡茲諾的石頭兌換券,卡茲諾的石頭 X1,
5,雷比的石頭兌換券,雷比的石頭 X1,
6,徵求公會戒指兌換券,徵求公會戒指 X1,
7,公會招募戒指兌換券,公會招募戒指 X1,
8,徵求聊天好友戒指兌換券,徵求聊天好友戒指 X1,
9,採礦機器人1號兌換券,採礦機器人1號 X1,
10,雪鹿領養券,雪鹿 X1,
11,裝有分解破片的箱子1,初級破片 X10,
12,裝有分解破片的箱子1,初級破片 X20,
13,裝有分解破片的箱子1,初級破片 X30,
14,裝有分解破片的箱子1,初級破片 X40,
15,裝有分解破片的箱子1,初級破片 X50,
16,裝有分解破片的箱子1,初級破片 X70,
17,裝有分解破片的箱子1,初級破片 X90,
18,裝有分解破片的箱子1,中級破片 X10,
19,裝有分解破片的箱子1,中級破片 X20,
20,裝有分解破片的箱子1,中級破片 X30,
21,裝有分解破片的箱子1,中級破片 X40,
22,裝有分解破片的箱子1,中級破片 X50,
23,裝有分解破片的箱子1,中級破片 X70,
24,裝有分解破片的箱子1,中級破片 X90,
25,裝有分解破片的箱子1,高級破片 X5,
26,裝有分解破片的箱子1,高級破片 X10,
27,裝有分解破片的箱子1,高級破片 X15,
28,裝有分解破片的箱子1,高級破片 X20,
29,裝有分解破片的箱子1,高級破片 X25,
30,裝有分解破片的箱子1,高級破片 X30,
31,裝有分解破片的箱子1,高級破片 X40,
32,裝有分解破片的箱子1,最高級破片 X5,
33,裝有分解破片的箱子1,最高級破片 X10,
34,裝有分解破片的箱子1,最高級破片 X15,
35,裝有分解破片的箱子1,最高級破片 X20,
36,裝有分解破片的箱子1,最高級破片 X25,
37,裝有分解破片的箱子1,最高級破片 X30,
38,裝有分解破片的箱子1,最高級破片 X40,
39,裝有分解破片的箱子1,特殊破片 X1,
40,裝有分解破片的箱子1,特殊破片 X2,
41,裝有分解破片的箱子2,初級破片 X10,
42,裝有分解破片的箱子2,初級破片 X20,
43,裝有分解破片的箱子2,初級破片 X30,
44,裝有分解破片的箱子2,初級破片 X50,
45,裝有分解破片的箱子2,初級破片 X70,
46,裝有分解破片的箱子2,初級破片 X90,
47,裝有分解破片的箱子2,中級破片 X10,
48,裝有分解破片的箱子2,中級破片 X20,
49,裝有分解破片的箱子2,中級破片 X30,
50,裝有分解破片的箱子2,中級破片 X50,
51,裝有分解破片的箱子2,中級破片 X90,
52,裝有分解破片的箱子2,高級破片 X5,
53,裝有分解破片的箱子2,高級破片 X10,
54,裝有分解破片的箱子2,高級破片 X15,
55,裝有分解破片的箱子2,高級破片 X30,
56,裝有分解破片的箱子2,最高級破片 X5,
57,裝有分解破片的箱子2,最高級破片 X10,
58,裝有分解破片的箱子2,最高級破片 X30,
59,裝有分解破片的箱子2,特殊破片 X1,
60,裝有分解破片的箱子2,特殊破片 X2,
61,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱10
62,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱20
63,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱30
64,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱40
65,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱50
66,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱70
67,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱110
68,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱150
69,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱220
70,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱320
71,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱460
72,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱660
73,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱950
74,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱1380
75,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱2000
76,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱2900
77,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱4200
78,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱6090
79,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱8840
80,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱12810
81,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱18570
82,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱26930
83,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱39040
84,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱56610
85,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱82090
86,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱119020
87,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱172580
88,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱250240
89,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱362850
90,裝有彩虹幣的魔術箱子,,彩虹幣的妖術箱500000
91,10K黃金蛋,伺服器麥克風 X2,10K 黃金蛋 經驗值
92,10K黃金蛋,中型櫻桃酒 X50,10K 黃金蛋 經驗值
93,10K黃金蛋,I LOVE YOU爆竹 X15,10K 黃金蛋 經驗值
94,10K黃金蛋,經驗值秘藥(Lv.1∼50) X3,10K 黃金蛋 經驗值
95,10K黃金蛋,公會水晶 X1,10K 黃金蛋 經驗值
96,10K黃金蛋,公會水晶 X1,10K 黃金蛋 經驗值
97,10K黃金蛋,公會水晶 X1,10K 黃金蛋 經驗值
98,10K黃金蛋,能力值重置卷軸 X1,10K 黃金蛋 經驗值
99,10K黃金蛋,初級超級鑲嵌拼圖兌換券 X1,10K 黃金蛋 經驗值
100,10K黃金蛋,靈藥兌換券 X3,10K 黃金蛋 經驗值
101,10K黃金蛋,熊貓領養券 X1,10K 黃金蛋 經驗值
102,10K黃金蛋,企鵝領養券 X1,10K 黃金蛋 經驗值
103,10K黃金蛋,胖熊貓領養券 X1,10K 黃金蛋 經驗值
104,10K黃金蛋,愛麗絲的石頭兌換券 X1,10K 黃金蛋 經驗值
105,14K黃金蛋,伺服器麥克風 X3,14K 黃金蛋 經驗值
106,14K黃金蛋,中型櫻桃酒 X50,14K 黃金蛋 經驗值
107,14K黃金蛋,I LOVE YOU爆竹 X20,14K 黃金蛋 經驗值
108,14K黃金蛋,經驗值秘藥(Lv.1∼50) X3,14K 黃金蛋 經驗值
109,14K黃金蛋,公會水晶 X1,14K 黃金蛋 經驗值
110,14K黃金蛋,公會水晶 X1,14K 黃金蛋 經驗值
111,14K黃金蛋,公會水晶 X1,14K 黃金蛋 經驗值
112,14K黃金蛋,能力值重置卷軸 X1,14K 黃金蛋 經驗值
113,14K黃金蛋,初級超級鑲嵌拼圖兌換券 X1,14K 黃金蛋 經驗值
114,14K黃金蛋,靈藥兌換券 X4,14K 黃金蛋 經驗值
115,14K黃金蛋,熊貓領養券 X1,14K 黃金蛋 經驗值
116,14K黃金蛋,企鵝領養券 X1,14K 黃金蛋 經驗值
117,14K黃金蛋,胖熊貓領養券 X1,14K 黃金蛋 經驗值
118,14K黃金蛋,愛麗絲的石頭兌換券 X1,14K 黃金蛋 經驗值
119,14K黃金蛋,經驗值聖水 X1,14K 黃金蛋 經驗值
120,14K黃金蛋,道具掉落率聖水 X1,14K 黃金蛋 經驗值
121,18K黃金蛋,伺服器麥克風 X4,18K 黃金蛋 經驗值
122,18K黃金蛋,大型櫻桃酒 X60,18K 黃金蛋 經驗值
123,18K黃金蛋,經驗值聖水 X1,18K 黃金蛋 經驗值
124,18K黃金蛋,道具掉落率聖水 X1,18K 黃金蛋 經驗值
125,18K黃金蛋,靈藥兌換券 X5,18K 黃金蛋 經驗值
126,18K黃金蛋,初級超級鑲嵌拼圖兌換券 X1,18K 黃金蛋 經驗值
127,18K黃金蛋,高級超級鑲嵌拼圖兌換券 X1,18K 黃金蛋 經驗值
128,18K黃金蛋,裝備背包 X1,18K 黃金蛋 經驗值
129,18K黃金蛋,消耗背包 X1,18K 黃金蛋 經驗值
130,18K黃金蛋,其他背包 X1,18K 黃金蛋 經驗值
131,18K黃金蛋,活動背包 X1,18K 黃金蛋 經驗值
132,18K黃金蛋,一般恢復藥水 X1,18K 黃金蛋 經驗值
133,18K黃金蛋,哭泣學習書 X1,18K 黃金蛋 經驗值
134,18K黃金蛋,做鬼臉學習書 X1,18K 黃金蛋 經驗值
135,18K黃金蛋,跳舞學習書 X1,18K 黃金蛋 經驗值
136,18K黃金蛋,撒嬌學習書 X1,18K 黃金蛋 經驗值
137,18K黃金蛋,害羞學習書 X1,18K 黃金蛋 經驗值
138,18K黃金蛋,佯裝學習書 X1,18K 黃金蛋 經驗值
139,18K黃金蛋,荒唐學習書 X1,18K 黃金蛋 經驗值
140,18K黃金蛋,好奇學習書 X1,18K 黃金蛋 經驗值
141,18K黃金蛋,驚嚇學習書 X1,18K 黃金蛋 經驗值
142,18K黃金蛋,眨眼學習書 X1,18K 黃金蛋 經驗值
143,18K黃金蛋,熊貓領養券 X1,18K 黃金蛋 經驗值
144,18K黃金蛋,企鵝領養券 X1,18K 黃金蛋 經驗值
145,18K黃金蛋,胖熊貓領養券 X1,18K 黃金蛋 經驗值
146,18K黃金蛋,愛麗絲的石頭兌換券 X1,18K 黃金蛋 經驗值
147,18K黃金蛋,匠人的手藝學習書 X1,18K 黃金蛋 經驗值
148,24K黃金蛋,伺服器麥克風 X5,24K 黃金蛋 經驗值
149,24K黃金蛋,大型櫻桃酒 X99,24K 黃金蛋 經驗值
150,24K黃金蛋,經驗值聖水 X1,24K 黃金蛋 經驗值
151,24K黃金蛋,道具掉落率聖水 X1,24K 黃金蛋 經驗值
152,24K黃金蛋,靈藥兌換券 X7,24K 黃金蛋 經驗值
153,24K黃金蛋,初級超級鑲嵌拼圖兌換券 X1,24K 黃金蛋 經驗值
154,24K黃金蛋,高級超級鑲嵌拼圖兌換券 X1,24K 黃金蛋 經驗值
155,24K黃金蛋,綜合背包 X1,24K 黃金蛋 經驗值
156,24K黃金蛋,放屁學習書 X1,24K 黃金蛋 經驗值
157,24K黃金蛋,復古舞學習書 X1,24K 黃金蛋 經驗值
158,24K黃金蛋,兔子舞學習書 X1,24K 黃金蛋 經驗值
159,24K黃金蛋,搖搖晃晃學習書 X1,24K 黃金蛋 經驗值
160,24K黃金蛋,振翅飛翔學習書 X1,24K 黃金蛋 經驗值
161,24K黃金蛋,浪漫親親學習書 X1,24K 黃金蛋 經驗值
162,24K黃金蛋,感動學習書 X1,24K 黃金蛋 經驗值
163,24K黃金蛋,挫敗學習書 X1,24K 黃金蛋 經驗值
164,24K黃金蛋,熊貓領養券 X1,24K 黃金蛋 經驗值
165,24K黃金蛋,企鵝領養券 X1,24K 黃金蛋 經驗值
166,24K黃金蛋,胖熊貓領養券 X1,24K 黃金蛋 經驗值
167,24K黃金蛋,愛麗絲的石頭兌換券 X1,24K 黃金蛋 經驗值
168,24K黃金蛋,匠人的手藝學習書 X1,24K 黃金蛋 經驗值
169,24K黃金蛋,傳送點電池 X1,24K 黃金蛋 經驗值
170,24K黃金蛋,寵物用靈芝草(30日) X1,24K 黃金蛋 經驗值
171,算命卡片,大吉 X1,占掛卡片(大吉)：EXP
172,算命卡片,大吉 X1,占掛卡片(大吉)：EXP
173,算命卡片,大吉 X1,占掛卡片(大吉)：EXP
174,算命卡片,大吉 X1,占掛卡片(大吉)：EXP
175,算命卡片,中吉 X1,占掛卡片(中吉)：EXP
176,算命卡片,中吉 X1,占掛卡片(中吉)：EXP
177,算命卡片,中吉 X1,占掛卡片(中吉)：EXP
178,算命卡片,小吉 X1,占掛卡片(小吉)：EXP
179,算命卡片,小吉 X1,占掛卡片(小吉)：EXP
180,算命卡片,小吉 X1,占掛卡片(小吉)：EXP
181,算命卡片,凶 X1,占掛卡片(凶)：EXP
182,算命卡片,凶 X1,占掛卡片(凶)：EXP
183,算命卡片,凶 X1,占掛卡片(凶)：EXP
184,算命卡片,凶 X1,占掛卡片(凶)：EXP
185,算命卡片,凶 X1,占掛卡片(凶)：EXP
186,黃金松糕,匠人的手藝學習書 X1,
187,黃金松糕,熊貓領養券 X1,
188,黃金松糕,企鵝領養券 X1,
189,黃金松糕,愛麗絲的石頭兌換券 X1,
190,黃金松糕,胖熊貓領養券 X1,
191,黃金松糕,綜合背包 X1,
192,黃金松糕,靈藥兌換券 X5,
193,黃金松糕,高級超級鑲嵌拼圖兌換券 X1,
194,黃金松糕,放屁學習書 X1,
195,黃金松糕,復古舞學習書 X1,
196,黃金松糕,兔子舞學習書 X1,
197,黃金松糕,浪漫親親學習書 X1,
198,黃金松糕,搖搖晃晃學習書 X1,
199,黃金松糕,振翅飛翔學習書 X1,
200,黃金松糕,鑲嵌妙藥 X2,
201,黃金松糕,伺服器麥克風 X1,
202,黃金松糕,頻道麥克風 X2,
203,黃金松糕,衝鋒陷陣之神學習書 X20,
204,黃金松糕,初級超級鑲嵌拼圖兌換券 X1,
205,黃金松糕,裝有彩虹幣的魔術箱子 X2,
206,黃金松糕,初級超級鑲嵌拼圖兌換券 X1,
207,黃金松糕,靈藥兌換券 X2,
208,黃金松糕,高階超級鑲嵌拼圖 X1,
209,黃金松糕,廣告門票 X1,
210,黃金松糕,衝鋒陷陣大王學習書 X20,
211,黃金松糕,中型葡萄酒 X20,
212,黃金松糕,中型蘇打酒 X20,
213,黃金松糕,中型櫻桃酒 X20,
214,黃金松糕,高階超級鑲嵌拼圖 X1,
215,聖誕老頭驚奇箱子,舞扇忍者領養券 X1,
216,聖誕老頭驚奇箱子,愛麗絲的石頭兌換券 X1,
217,聖誕老頭驚奇箱子,熊貓領養券 X1,
218,聖誕老頭驚奇箱子,胖熊貓領養券 X1,
219,聖誕老頭驚奇箱子,(舊)雙肩工具包 X1,
220,聖誕老頭驚奇箱子,小型機器人 X1,
221,聖誕老頭驚奇箱子,綜合背包 X1,
222,聖誕老頭驚奇箱子,三國志服裝兌換券 X1,
223,聖誕老頭驚奇箱子,高階超級鑲嵌拼圖 X1,
224,聖誕老頭驚奇箱子,高階超級鑲嵌拼圖 X1,
225,聖誕老頭驚奇箱子,靈藥兌換券 X5,
226,聖誕老頭驚奇箱子,黃真伊之舞學習書 X1,
227,聖誕老頭驚奇箱子,瘋狂之舞學習書 X1,
228,聖誕老頭驚奇箱子,Step by Step學習書 X1,
229,聖誕老頭驚奇箱子,鑲嵌妙藥 X2,
230,聖誕老頭驚奇箱子,高階超級鑲嵌拼圖 X1,
231,聖誕老頭驚奇箱子,高階超級鑲嵌拼圖 X1,
232,聖誕老頭驚奇箱子,復活精髓 X1,
233,聖誕老頭驚奇箱子,無線通訊器IR X1,
234,聖誕老頭驚奇箱子,衝鋒陷陣大王學習書 X20,
235,聖誕老頭驚奇箱子,初級超級鑲嵌拼圖 X1,
236,聖誕老頭驚奇箱子,靈藥兌換券 X2,
237,聖誕老頭驚奇箱子,伺服器麥克風 X1,
238,聖誕老頭驚奇箱子,廣告門票 X1,
239,聖誕老頭驚奇箱子,衝鋒陷陣之神學習書 X20,
240,聖誕老頭驚奇箱子,中型葡萄酒 X20,
241,聖誕老頭驚奇箱子,中型蘇打酒 X20,
242,聖誕老頭驚奇箱子,中型櫻桃酒 X20,
243,聖誕老頭驚奇箱子,頻道麥克風 X2,
244,舞扇忍者領養券,舞扇忍者 X1,
245,哞哞福袋,熊貓領養券 X1,
246,哞哞福袋,胖熊貓領養券 X1,
247,哞哞福袋,穆亞的石頭兌換券 X1,
248,哞哞福袋,喬艾的石頭兌換券 X1,
249,哞哞福袋,一般恢復藥水 X1,
250,哞哞福袋,黃金錘 X1,
251,哞哞福袋,生黃金蛋的鵝 X1,
252,哞哞福袋,高階超級鑲嵌拼圖 X1,
253,哞哞福袋,高階超級鑲嵌拼圖 X1,
254,哞哞福袋,黃牛服裝兌換券 X1,
255,哞哞福袋,高階超級鑲嵌拼圖 X1,
256,哞哞福袋,亂舞學習書 X1,
257,哞哞福袋,冷顫學習書 X1,
258,哞哞福袋,挑釁學習書 X1,
259,哞哞福袋,一般恢復藥水 X1,
260,哞哞福袋,戰士能力值粉末 X1,
261,哞哞福袋,騎士能力值粉末 X1,
262,哞哞福袋,法師能力值粉末 X1,
263,哞哞福袋,探險家能力值粉末 X1,
264,哞哞福袋,復活精髓 X2,
265,哞哞福袋,無線通訊器IR X1,
266,哞哞福袋,伺服器麥克風 X1,
267,哞哞福袋,廣告門票 X1,
268,哞哞福袋,中型蘇打酒 X20,
269,哞哞福袋,中型櫻桃酒 X20,
270,哞哞福袋,中型葡萄酒 X20,
271,哞哞福袋,只是運氣好學到的學習書 X20,
272,哞哞福袋,我就愛衝鋒陷陣學習書 X20,
273,胖熊貓領養券,胖熊貓 X1,
274,穆亞的石頭兌換券,穆亞的石頭 X1,
275,喬艾的石頭兌換券,喬艾的石頭 X1,
276,綜合禮物套裝,羞羞兔領養券 X1,
277,綜合禮物套裝,胖熊貓領養券 X1,
278,綜合禮物套裝,愛麗絲的石頭兌換券 X1,
279,綜合禮物套裝,喬艾的頭紗 X1,
280,綜合禮物套裝,雷比的盔甲 X1,
281,綜合禮物套裝,喬艾的洋裝 X1,
282,綜合禮物套裝,雷比的頭盔 X1,
283,綜合禮物套裝,一般恢復藥水 X1,
284,綜合禮物套裝,生黃金蛋的鵝 X1,
285,綜合禮物套裝,高階超級鑲嵌拼圖 X1,
286,綜合禮物套裝,高階超級鑲嵌拼圖 X1,
287,綜合禮物套裝,高階超級鑲嵌拼圖 X1,
288,綜合禮物套裝,亂舞學習書 X1,
289,綜合禮物套裝,冷顫學習書 X1,
290,綜合禮物套裝,搖搖晃晃學習書 X1,
291,綜合禮物套裝,雷比的靴子 X1,
292,綜合禮物套裝,喬艾的皮鞋 X1,
293,綜合禮物套裝,一般恢復藥水 X1,
294,綜合禮物套裝,戰士能力值粉末 X1,
295,綜合禮物套裝,騎士能力值粉末 X1,
296,綜合禮物套裝,法師能力值粉末 X1,
297,綜合禮物套裝,探險家能力值粉末 X1,
298,綜合禮物套裝,復活精髓 X2,
299,綜合禮物套裝,無線通訊器IR X1,
300,綜合禮物套裝,伺服器麥克風 X1,
301,綜合禮物套裝,廣告門票 X1,
302,綜合禮物套裝,頻道麥克風 X2,
303,綜合禮物套裝,炫富(一)學習書 X2,
304,綜合禮物套裝,炫富(二)學習書 X2,
305,羞羞兔領養券,羞羞兔 X1,
306,高級分解破片箱子1,高級破片 X5,
307,高級分解破片箱子1,高級破片 X10,
308,高級分解破片箱子1,高級破片 X15,
309,高級分解破片箱子1,高級破片 X20,
310,高級分解破片箱子1,高級破片 X25,
311,高級分解破片箱子1,高級破片 X30,
312,高級分解破片箱子1,高級破片 X35,
313,高級分解破片箱子1,高級破片 X40,
314,高級分解破片箱子1,高級破片 X45,
315,高級分解破片箱子1,高級破片 X50,
316,高級分解破片箱子1,最高級破片 X5,
317,高級分解破片箱子1,最高級破片 X10,
318,高級分解破片箱子1,最高級破片 X15,
319,高級分解破片箱子1,最高級破片 X20,
320,高級分解破片箱子1,最高級破片 X25,
321,高級分解破片箱子1,最高級破片 X30,
322,高級分解破片箱子1,最高級破片 X35,
323,高級分解破片箱子1,最高級破片 X40,
324,高級分解破片箱子1,最高級破片 X45,
325,高級分解破片箱子1,最高級破片 X50,
326,高級分解破片箱子1,特殊破片 X1,
327,高級分解破片箱子1,特殊破片 X2,
328,高級分解破片箱子1,特殊破片 X3,
329,高級分解破片箱子1,特殊破片 X4,
330,高級分解破片箱子1,特殊破片 X5,
331,高級分解破片箱子1,特殊破片 X6,
332,高級分解破片箱子2,高級破片 X5,
333,高級分解破片箱子2,高級破片 X10,
334,高級分解破片箱子2,高級破片 X15,
335,高級分解破片箱子2,高級破片 X20,
336,高級分解破片箱子2,高級破片 X30,
337,高級分解破片箱子2,高級破片 X40,
338,高級分解破片箱子2,最高級破片 X5,
339,高級分解破片箱子2,最高級破片 X10,
340,高級分解破片箱子2,最高級破片 X15,
341,高級分解破片箱子2,最高級破片 X20,
342,高級分解破片箱子2,最高級破片 X30,
343,高級分解破片箱子2,最高級破片 X40,
344,高級分解破片箱子2,特殊破片 X1,
345,高級分解破片箱子2,特殊破片 X2,
346,高級分解破片箱子2,特殊破片 X3,
347,高級分解破片箱子2,特殊破片 X5,
348,公會金幣箱子,公會金幣(第2季) X1,
349,公會金幣箱子,公會金幣(第2季) X2,
350,公會金幣箱子,公會金幣(第2季) X3,
351,公會金幣箱子,公會金幣(第2季) X4,
352,公會金幣箱子,公會金幣(第2季) X5,
353,公會金幣箱子,公會金幣(第2季) X6,
354,公會金幣箱子,公會金幣(第2季) X7,
355,公會金幣箱子,公會金幣(第2季) X8,
356,公會金幣箱子,公會金幣(第2季) X9,
357,公會金幣箱子,公會金幣(第2季) X10,
358,耶比妹妹的蛋糕片,舞扇忍者領養券 X1,
359,耶比妹妹的蛋糕片,布朗妮領養券 X1,
360,耶比妹妹的蛋糕片,熊貓領養券 X1,
361,耶比妹妹的蛋糕片,愛麗絲的石頭兌換券 X1,
362,耶比妹妹的蛋糕片,Lv.2 爆擊率增幅劑 X1,
363,耶比妹妹的蛋糕片,喬艾的頭紗 X1,
364,耶比妹妹的蛋糕片,喬艾的洋裝 X1,
365,耶比妹妹的蛋糕片,黑月公主裙 X1,
366,耶比妹妹的蛋糕片,喬艾的白色頭紗 X1,
367,耶比妹妹的蛋糕片,鑲嵌妙藥 X2,
368,耶比妹妹的蛋糕片,黑月公主的襯衫 X1,
369,耶比妹妹的蛋糕片,喬艾的綠色面紗 X1,
370,耶比妹妹的蛋糕片,初級超級鑲嵌拼圖兌換券 X1,
371,耶比妹妹的蛋糕片,公會金幣箱子 X1,
372,耶比妹妹的蛋糕片,黑月公主的皮鞋 X1,
373,耶比妹妹的蛋糕片,喬艾的皮鞋 X1,
374,耶比妹妹的蛋糕片,Lv.2 爆擊率增幅劑 X1,
375,耶比妹妹的蛋糕片,屬性重置妙藥 X2,
376,耶比妹妹的蛋糕片,鑲嵌妙藥 X2,
377,耶比妹妹的蛋糕片,一般恢復藥水 X1,
378,耶比妹妹的蛋糕片,伺服器麥克風 X1,
