ID,怪物名稱,怪物類型(?),怪物名稱顯示,HP血條顯示,影子顯示,BOSS血條數
810000101,耶比妹妹,6,1,1,1,1
810000102,耶比哥哥,6,1,1,1,1
810000103,機器耶比,1,1,1,1,1
810000104,兵蟻G,6,1,1,1,1
810000105,毒蟻G,6,1,1,1,1
810000106,白蟻G,6,1,1,1,1
810000107,灰蟻G,6,1,1,1,1
810000108,黑蟻G,1,1,1,1,1
810000109,野狗,6,1,1,1,1
810000110,凶犬,6,1,1,1,1
810000111,蒼狼,6,1,1,1,1
810000112,青狼,6,1,1,1,1
810000113,黃甲衛兵,6,1,1,1,1
810000114,藍甲衛兵,6,1,1,1,1
810000115,花花衛兵,6,1,1,1,1
810000116,耶比弟弟,6,1,1,1,1
810000117,殭屍耶比弟弟,1,1,1,1,1
810000118,綠凍凍,1,1,1,1,1
810000119,橙凍凍,1,1,1,1,1
810000120,哥布林,1,1,1,1,1
810000121,大王哥布林,1,1,1,1,1
810000122,魔王哥布林,1,1,1,1,1
810000123,棕熊,6,1,1,1,1
810000124,狐狸巡邏兵,6,1,1,1,1
810000125,老虎,6,1,1,1,1
810000126,白虎,6,1,1,1,1
810000127,黑虎,6,1,1,1,1
810000128,九尾狐,1,1,1,1,1
810000129,銀髮天狐,1,1,1,1,1
810000130,青蛙G,6,1,1,1,1
810000131,蜜桃怪,6,1,1,1,1
810000132,黑熊,6,1,1,1,1
810000133,獵犬,6,1,1,1,1
810000134,河童,1,1,1,1,1
810000135,櫻花樹邪靈,1,1,1,1,1
810000136,白櫻花樹邪靈,1,1,1,1,1
810000137,狐狸巡邏兵武士,6,1,1,1,1
810000138,犬神,1,1,1,1,1
810000139,青影忍者,6,1,1,1,1
810000140,赤影忍者,6,1,1,1,1
810000141,紫影忍者,6,1,1,1,1
810000142,黑影忍者,6,1,1,1,1
810000143,白影忍者,6,1,1,1,1
810000144,鬼武士,6,1,1,1,1
810000145,狂暴沙盜,1,1,1,1,1
810000146,禿鷲,1,1,1,1,1
810000147,蝙蝠,1,1,1,0,1
810000148,地下蝙蝠,1,1,1,0,1
810000149,紫色耶比妹妹,6,1,1,1,1
810000150,玫瑰凍凍,1,1,1,1,1
810000151,刺花美眉,1,1,1,1,1
810000152,殭屍,6,1,1,1,1
810000153,木乃伊殭屍,1,1,1,1,1
810000154,骷髏戰士,1,1,1,1,1
810000155,蛇女,1,1,1,1,1
810000156,吞天獸,1,1,1,1,1
810000157,木乃伊耶比,1,1,1,1,1
810000158,筋肉人,1,1,1,1,1
810000159,影子忍者王,1,1,1,1,1
810000160,雪女,1,1,1,1,1
810000161,毛絨球,1,1,1,1,1
810000162,蘑菇君,1,1,0,0,1
810000163,醜頭怪,1,1,0,0,1
810000164,蜘蛛精,1,1,1,1,1
810000165,石像怪,1,1,1,0,1
810000166,電鋸狂人,1,1,1,1,1
810000167,亡靈巫師,1,1,1,1,1
810000168,靈魂收割者,1,1,1,0,1
810000169,大嘴食人花,1,1,1,1,1
810000170,奶嘴蠶寶寶,1,1,1,1,1
810000171,蝴蝶仙子,1,1,1,1,1
810000172,南瓜怪,1,1,1,0,1
810000173,蟻后,1,1,1,1,1
810000174,強盜狼,1,1,1,1,1
810000175,耶比爸爸,1,1,1,1,1
810000176,齊天大聖,1,1,1,1,1
810000177,花蛇,1,1,1,1,1
810000178,螞蟻士兵,1,1,1,1,1
810000179,刺蝟君,1,1,0,0,1
810000180,鐵王哥布林,1,1,1,1,1
810000181,冥王哥布林,1,1,1,1,1
810000182,醜頭怪,1,1,1,1,1
810000183,幽靈君主,6,1,1,1,1
810000184,斯諾比王,1,1,1,1,1
810000185,螃蟹怪,1,1,1,1,1
810000186,紫螃蟹怪,1,1,1,1,1
810000187,海之星,1,1,1,1,1
810000188,森林金剛,1,1,1,1,1
810000189,野蠻族,1,1,1,1,1
810000190,火圖騰,1,0,0,0,1
810000191,螳螂怪,1,1,1,1,1
810000192,風圖騰,1,0,0,0,1
810000193,水圖騰,1,0,0,0,1
810000194,地圖騰,1,0,0,0,1
810000195,槍蜂怪,1,1,1,0,1
810000196,弓蜂怪,1,1,1,0,1
810000197,蜂怪戰士,1,1,1,0,1
810000198,女王蜂,1,1,1,0,1
810000199,拉車的兵蟻G,6,1,1,1,1
810000200,南瓜王,1,1,1,1,1
810000201,不死殭屍,6,1,1,1,1
810000202,音癡刺花美眉,1,1,1,1,1
810000203,半吊子忍者,6,1,1,1,1
810000204,原始機器耶比,1,1,1,1,1
810000205,蜂鳥,1,1,1,0,1
810000206,食人花,1,1,1,1,1
810000207,金剛芭比,1,1,1,1,1
810000208,野蠻族飛鏢手,1,1,1,1,1
810000209,野蠻族火炬手,1,1,1,1,1
810000210,野蠻族持杖手,1,1,1,1,1
810000211,可雅,1,1,1,1,1
810000212,挖地工頭,1,1,1,1,1
810000213,挖地弟弟,1,1,1,1,1
810000214,挖地妹妹,1,1,1,1,1
810000215,大眼劍,1,1,1,1,1
810000216,青巾盜賊,1,1,1,1,1
810000217,紫巾盜賊,1,1,1,1,1
810000218,黑巾盜賊,1,1,1,1,1
810000219,紅心3,1,1,1,1,1
810000220,黑桃5,1,1,1,1,1
810000221,跳棋騎士,1,1,1,1,1
810000222,奉春植,1,1,0,1,1
810000223,殭屍船員,1,1,1,1,1
810000224,骷髏船員,1,1,1,1,1
810000225,強尼船長,1,1,1,1,1
810000226,海妖腿,6,0,0,0,1
810000227,赤巾盜賊,6,1,1,1,1
810000228,白巾盜賊,6,1,1,1,1
810000229,海妖頭,6,1,1,0,1
810000230,大炮炮彈,1,1,0,0,1
810000231,寶箱怪,1,0,0,1,1
810000232,棕樹爺爺,1,1,1,1,1
810000233,野豬,1,1,1,1,1
810000234,行走水母,1,1,1,1,1
810000235,沙魯,6,1,1,1,1
810000236,牛魔王,1,1,1,1,1
810000237,綠蜥蜴人,1,1,1,1,1
810000238,綠龍,1,1,1,1,1
810000239,匹諾曹,1,1,1,1,1
810000240,棕樹伯伯,1,1,1,1,1
810000241,白狼,6,1,1,1,1
810000242,小綠龍,1,1,1,1,1
810000243,巴爾隆,1,1,1,1,1
810000244,蒙面仙人掌,1,1,1,1,1
810000245,土撥鼠快槍手,1,1,1,1,1
810000246,響尾蛇姑娘,1,1,1,1,1
810000247,舞扇忍者,6,1,1,1,1
810000248,吟遊詩人珍,6,1,1,1,1
810000249,雪爾奇,6,1,1,1,1
810000250,小紫龍,1,1,1,1,1
810000251,劍齒虎,1,1,1,1,1
810000252,劍齒虎首領,1,1,1,1,1
810000253,雷龍,6,0,0,0,1
810000254,司戴高,1,1,1,1,1
810000255,大力司戴高,1,1,1,1,1
810000256,翼手龍,1,1,1,0,1
810000257,球狀病毒,1,1,1,0,1
810000258,球狀大病毒,1,1,1,0,1
810000259,白血球護士,6,1,1,1,1
810000260,紅血球醫生,1,1,1,1,1
810000261,桿狀病毒,1,1,1,1,1
810000262,桿狀大病毒,1,1,1,1,1
810000263,痢疾病毒細菌,6,1,1,1,1
810000264,奧利佛空軍,1,1,1,0,1
810000265,奧利佛海軍,6,1,1,0,1
810000266,新奧利佛海軍,6,1,1,0,1
810000267,雜技團,6,1,1,1,1
810000268,新雜技團,6,1,1,1,1
810000269,奧利佛砲兵,6,1,1,1,1
810000270,飛艇兵團,6,1,1,0,1
810000271,超級飛艇兵團,6,1,1,0,1
810000272,飛艇砲兵,6,1,1,1,1
810000273,飛艇特攻隊,6,1,1,1,1
810000274,超級飛艇特攻隊,6,1,1,1,1
810000275,奧列佛雕像,6,1,1,1,1
810000276,冰棒棒,1,1,1,1,1
810000277,冰棒棒(兄),1,1,1,1,1
810000278,春植堡,1,1,1,1,1
810000279,紅豆魚餅,1,1,1,0,1
810000280,紅豆甜魚餅,1,1,1,0,1
810000281,薑餅人,6,1,1,1,1
810000282,肥肥奉春植,1,1,0,1,1
810000283,挖地鏟工,1,1,1,1,1
810000284,斯卡魯,1,1,1,1,1
810000285,圓桌騎士,1,1,1,1,1
810000286,凱米拉,6,1,1,1,1
810000287,古蜥蜴人,6,1,1,1,1
810000288,古蜥蜴人的靈魂,6,1,1,1,1
810000289,火妖精,6,1,1,0,1
810000290,影波克,6,1,1,0,1
810000291,影波克EX,6,1,1,0,1
810000292,企鵝紳士,6,1,1,1,1
810000293,滑雪清道夫,6,1,1,1,1
810000294,冰魔卡妙,6,1,1,0,1
810000295,狄洛哈,6,1,1,1,1
810000296,雙尾貓妖,1,1,1,1,1
810000297,海螺公主,1,1,1,1,1
810000298,青蛙王子,6,1,1,1,1
810000299,真．齊天大聖,6,1,1,1,1
810000300,玄武,6,1,1,1,1
810000301,蕭羽,6,1,1,1,1
810000302,沃革女士畫像,6,1,1,0,1
810000303,潘朵拉,6,1,1,1,1
810000304,盜賊團,6,1,1,1,1
810000305,刺殺者,1,1,1,1,1
810000306,人面獅身,6,1,1,1,1
810000307,海龍王,6,0,1,0,1
810000308,海龍王,6,0,1,0,1
810000309,海龍王,6,0,1,0,1
810000310,海龍王,6,0,1,0,1
810000311,喬艾,6,1,1,1,1
810000312,黑月公主,6,1,1,1,1
810000313,-,6,0,0,0,1
810000314,-,1,0,0,0,1
810000315,-,6,0,0,0,1
810000316,-,1,0,0,0,1
810000317,-,1,0,0,0,1
810000318,-,1,0,0,0,1
810000319,黑月公主,6,1,1,1,1
810000320,-,1,0,0,0,1
810000321,-,1,0,0,0,1
810000322,-,1,0,0,0,1
810000323,-,6,0,0,0,1
810000324,海龍王,6,0,1,0,1
810000325,-,6,0,0,0,1
810000326,禦守忍者,1,1,1,1,1
810000327,礦場蝙蝠,1,1,1,0,1
810000328,礦場牛魔王,1,1,1,1,1
810000329,礦場沙魯,6,1,1,1,1
810000330,礦場斯卡魯,1,1,1,1,1
810000331,火妖精,6,1,1,0,1
810000332,古蜥蜴人,6,1,1,1,1
810000333,古蜥蜴人的靈魂,6,1,1,1,1
810000334,凱米拉,6,1,1,1,1
810000335,圓桌騎士,1,1,1,1,1
810000336,企鵝紳士,6,1,1,1,1
810000337,白狼,6,1,1,1,1
810000338,滑雪清道夫,6,1,1,1,1
810000339,牛魔王,1,1,1,1,1
810000340,白虎,6,1,1,1,1
810000341,蜜桃怪,6,1,1,1,1
810000342,海螺公主,1,1,1,1,1
810000343,青蛙王子,6,1,1,1,1
810000344,真．齊天大聖,6,1,1,1,1
810000345,木乃伊殭屍,1,1,1,1,1
810000346,骷髏戰士,1,1,1,1,1
810000347,蛇女,1,1,1,1,1
810000348,吞天獸,1,1,1,1,1
810000349,木乃伊耶比,1,1,1,1,1
810000350,盜賊團,6,1,1,1,1
810000351,★暗殺者,1,1,1,1,1
810000352,殭屍船員,1,1,1,1,1
810000353,骷髏船員,1,1,1,1,1
810000354,行走水母,1,1,1,1,1
810000356,海馬,1,1,1,1,1
810000357,騎士海馬,1,1,1,1,1
810000358,珊瑚獸,1,1,1,1,1
810000359,機器哥布林(頭),6,0,0,0,1
810000360,機器哥布林(手臂),6,0,0,0,1
810000361,海妖墨水,1,0,0,0,1
810000362,海妖小章魚,1,0,0,0,1
810000363,海妖墨水陷阱,1,0,0,0,1
810000364,海妖頭2,6,1,1,0,1
810000365,潛水艇 - 前往亞特蘭提斯,1,0,0,0,1
810000366,潛水艇 - 前往奧爾卡海邊,1,0,0,0,1
810000367,聖誕醜頭怪,1,1,1,1,1
810000368,聖誕耶比,1,1,1,1,1
810000369,轉職測驗,1,0,0,0,1
810060001,毒蘑菇君,1,1,0,0,1
810060002,火球菌,1,0,0,0,1
810060003,稻草人,1,1,1,1,1
810060004,大炮1,1,0,0,1,1
810060005,大炮2,1,0,0,1,1
810060006,上升後大炮,1,0,0,1,1
810060007,大炮4,1,0,0,1,1
810060008,大炮5,1,0,0,1,1
810060009,小炮,1,0,0,0,1
810060010,跳版,1,0,0,0,1
810060011,芝麻開門,1,0,0,0,1
810060012,炮彈,1,0,0,0,1
810060013,雪球,1,0,0,0,1
810060014,卡達麗娜,1,1,0,1,1
810060015,卡達麗娜,1,0,0,0,1
810060016,綁架海盜,1,0,0,0,1
810060017,聖誕禮物,1,0,0,0,1
810060018,足球,1,1,1,0,1
810060019,竹偶,1,1,1,1,1
810060020,跳版,1,0,0,0,1
810070001,鐵突刺,1,0,0,0,1
810070002,木突刺,1,0,0,0,1
810070003,左突刺,1,0,0,0,1
810070004,右突刺,1,0,0,0,1
810070005,煤氣1,1,0,0,0,1
810070006,電氣,1,0,0,0,1
810070007,污染物,1,0,0,0,1
810070008,復原點,1,0,0,0,1
