ID,道具名稱,鑲嵌類型ID,道具屬性
110101601,愛麗絲耳環,3,"最大HP +150
幸運+140"
50999901,GM衣服(男),0,"防禦力+2000
最大HP+50%
最大SP+50%
物理減少傷害+50"
51799901,GM衣服(女),0,"防禦力+2000
最大HP+50%
最大SP+50%
物理減少傷害+50"
70299901,GM皮鞋,103,"防禦力+500
移動速度+50%
繩索移動速度+100%
梯子移動速度+100%"
90499901,GM帽子,99,"防禦力+1000
道具掉落率+100%
屬性發生機率+1500%
獲得經驗值+100%"
700100220,淘氣龍,25,
700100221,小淘氣龍,25,
700100320,笨笨龍,25,
700100321,小笨笨龍,25,
700100420,雪球熊,25,
700100421,小雪球熊,25,
80499901,春植的傳奇之劍,18,
700100120,醜醜蛋,25,
700100520,黃金豬,25,
700100521,小黃金豬,25,
160299801,愛麗絲祝福戒指,12,物理爆擊傷害+15%
700100620,卷毛犬,25,
700100621,小卷毛犬,25,
700100720,藍貓貓,25,
700100721,小藍貓貓,25,
10310192,★天然皮手鐲,7,"防禦力+14
物理減少傷害+1"
90210192,★天然皮髮帶,99,"防禦力+22
物理減少傷害+1"
90210291,★青銅色髮帶,99,"防禦力+32
物理減少傷害+2"
70110291,★青銅色鞋子,103,"防禦力+32
物理減少傷害+2"
10110292,★黃銅色手套,7,"防禦力+29
物理減少傷害+1"
70210292,★黃銅色鞋子,103,"防禦力+43
物理減少傷害+2"
10110392,★鋼化塑膠手套,7,"防禦力+47
物理減少傷害+2"
10210491,★陶瓷手套,7,"防禦力+56
物理減少傷害+2"
90110492,★陶瓷防彈帽子,99,"防禦力+100
物理減少傷害+5"
90110391,★塑膠帽子,99,"防禦力+59
物理減少傷害+3"
80702401,烏哢烏哢石斧,21,"最小攻擊力+27
最大攻擊力+39
體力+5%"
80702402,烏哢烏哢石斧+1,21,"最小攻擊力+41
最大攻擊力+60
體力+5%"
80702403,烏哢烏哢石斧+2,21,"最小攻擊力+56
最大攻擊力+82
體力+5%"
80702404,烏哢烏哢石斧+3,21,"最小攻擊力+70
最大攻擊力+104
體力+5%"
80702405,烏哢烏哢石斧+4,21,"最小攻擊力+84
最大攻擊力+125
體力+5%"
80702406,烏哢烏哢石斧+5,21,"最小攻擊力+99
最大攻擊力+147
體力+5%"
80702407,烏哢烏哢石斧+6,21,"最小攻擊力+113
最大攻擊力+168
體力+5%"
80702408,烏哢烏哢石斧+7,21,"最小攻擊力+128
最大攻擊力+190
體力+5%"
80702409,烏哢烏哢石斧+8,21,"最小攻擊力+142
最大攻擊力+212
體力+5%"
80702410,烏哢烏哢石斧+9,21,"最小攻擊力+156
最大攻擊力+233
體力+5%"
81102501,巧克力盾牌,13,
80202501,糖果短劍,16,
10220101,影波克的火焰手套,7,"防禦力+56
水抵抗力+34
物理減少傷害+2
體力 +20"
20620101,影波克的火焰襯衫,100,"防禦力+149
水抵抗力+84
物理減少傷害+6
體力 +20"
21020101,影波克的火焰背心,100,"防禦力+149
水抵抗力+84
物理減少傷害+6
體力 +20"
30220101,影波克的火焰褲裙,101,"防禦力+124
水抵抗力+68
物理減少傷害+6
體力 +20"
30420101,影波克的火焰短裙,101,"防禦力+124
水抵抗力+68
物理減少傷害+6
體力 +20"
70220101,影波克的火焰靴子,103,"防禦力+77
水抵抗力+51
物理減少傷害+4
體力 +20"
90520101,影波克的火焰頭盔,99,"防禦力+86
水抵抗力+42
物理減少傷害+4
體力 +20"
700100820,鸚鵡,25,
700100821,小鸚鵡,25,
700100920,鵜鶘,25,
700100921,小鵜鶘,25,
10220201,卡妙的冰霜手套,7,"防禦力+200
水抵抗力+160
物理減少傷害+8
最大HP +300"
20620201,卡妙的冰霜襯衫,100,"防禦力+509
水抵抗力+396
物理減少傷害+21
最大HP +300"
21020201,卡妙的冰霜背心,100,"防禦力+509
水抵抗力+396
物理減少傷害+21
最大HP +300"
30120201,卡妙的冰霜褲裙,101,"防禦力+424
水抵抗力+319
物理減少傷害+19
最大HP +300"
70220201,卡妙的冰霜靴子,103,"防禦力+257
水抵抗力+236
物理減少傷害+12
最大HP +300"
90520201,卡妙的冰霜戒指,99,"防禦力+302
水抵抗力+198
物理減少傷害+14
最大HP +300"
700101120,熊貓,25,最大HP +200
700101121,小熊貓,25,最大HP +200
700101020,企鵝,25,最大SP+200
700101021,小企鵝,25,最大SP+200
40100101,拳套披風,6,
40100102,拳套披風+1,6,
40100103,拳套披風+2,6,
40100104,拳套披風+3,6,
40100105,拳套披風+4,6,
40100201,短劍披風,6,
40100202,短劍披風+1,6,
40100203,短劍披風+2,6,
40100204,短劍披風+3,6,
40100205,短劍披風+4,6,
40100301,單手劍披風,6,
40100302,單手劍披風+1,6,
40100303,單手劍披風+2,6,
40100304,單手劍披風+3,6,
40100305,單手劍披風+4,6,
40100401,雙手劍披風,6,
40100402,雙手劍披風+1,6,
40100403,雙手劍披風+2,6,
40100404,雙手劍披風+3,6,
40100405,雙手劍披風+4,6,
40100701,鈍器披風,6,
40100702,鈍器披風+1,6,
40100703,鈍器披風+2,6,
40100704,鈍器披風+3,6,
40100705,鈍器披風+4,6,
40100801,槍披風,6,
40100802,槍披風+1,6,
40100803,槍披風+2,6,
40100804,槍披風+3,6,
40100805,槍披風+4,6,
40100901,弓箭披風,6,
40100902,弓箭披風+1,6,
40100903,弓箭披風+2,6,
40100904,弓箭披風+3,6,
40100905,弓箭披風+4,6,
40101001,十字弓披風,6,
40101002,十字弓披風+1,6,
40101003,十字弓披風+2,6,
40101004,十字弓披風+3,6,
40101005,十字弓披風+4,6,
40101201,地精靈披風,6,水抵抗力+20
40101202,地精靈披風+1,6,水抵抗力+40
40101203,地精靈披風+2,6,水抵抗力+60
40101204,地精靈披風+3,6,水抵抗力+80
40101205,地精靈披風+4,6,水抵抗力+100
40101301,水精靈披風,6,水抵抗力+20
40101302,水精靈披風+1,6,水抵抗力+40
40101303,水精靈披風+2,6,水抵抗力+60
40101304,水精靈披風+3,6,水抵抗力+80
40101305,水精靈披風+4,6,水抵抗力+100
40101401,火精靈披風,6,水抵抗力+20
40101402,火精靈披風+1,6,水抵抗力+40
40101403,火精靈披風+2,6,水抵抗力+60
40101404,火精靈披風+3,6,水抵抗力+80
40101405,火精靈披風+4,6,水抵抗力+100
40101501,風精靈披風,6,水抵抗力+20
40101502,風精靈披風+1,6,水抵抗力+40
40101503,風精靈披風+2,6,水抵抗力+60
40101504,風精靈披風+3,6,水抵抗力+80
40101505,風精靈披風+4,6,水抵抗力+100
700101220,羞羞兔,25,
700101221,小羞羞兔,25,
700101320,水精靈,25,
700101321,小水精靈,25,
700101420,森林精靈,25,
700101421,小森林精靈,25,
160299601,公會戒指,12,"物理爆擊率+3%
魔法爆擊率+3%
幸運+20"
10220501,玄武的山水紋手套,7,"防禦力+92
水抵抗力+63
物理減少傷害+4
體力 +20
最大HP +120"
20620501,玄武的山水紋上衣(男),100,"防禦力+239
水抵抗力+156
物理減少傷害+10
體力 +20
最大HP +120"
21020501,玄武的山水紋上衣(女),100,"防禦力+239
水抵抗力+156
物理減少傷害+10
體力 +20
最大HP +120"
30120501,玄武的山水紋褲裙,101,"防禦力+199
水抵抗力+122
物理減少傷害+9
體力 +20
最大HP +120"
70220501,玄武的山水紋靴子,103,"防禦力+122
水抵抗力+93
物理減少傷害+6
體力 +20
最大HP +120"
90520501,玄武的山水紋頭飾,99,"防禦力+140
水抵抗力+78
物理減少傷害+6
體力 +20
最大HP +120"
10220601,人面獅身的法老手套,7,"防禦力+128
水抵抗力+96
物理減少傷害+5
體力 +30"
20520601,人面獅身的法老上衣(男),100,"防禦力+329
水抵抗力+240
物理減少傷害+14
體力 +30"
20920601,人面獅身的法老上衣(女),100,"防禦力+329
水抵抗力+240
物理減少傷害+14
體力 +30"
30420601,人面獅身的法老褲裙,101,"防禦力+274
水抵抗力+192
物理減少傷害+12
體力 +30"
70220601,人面獅身的法老拖鞋,103,"防禦力+167
水抵抗力+144
物理減少傷害+8
體力 +30"
90520601,人面獅身的法老頭冠,99,"防禦力+194
水抵抗力+120
物理減少傷害+9
體力 +30"
80499801,勇者之劍,0,
700101520,雪鹿,25,
700101521,小雪鹿,25,
700101605,採礦機器人1號,25,
40101601,雙刀披風,6,
40101602,雙刀披風+1,6,
40101603,雙刀披風+2,6,
40101604,雙刀披風+3,6,
40101605,雙刀披風+4,6,
40101701,手槍披風,6,
40101702,手槍披風+1,6,
40101703,手槍披風+2,6,
40101704,手槍披風+3,6,
40101705,手槍披風+4,6,
700101720,灰鼠,25,
700101721,小灰鼠,25,
700101820,冰女,25,
700101821,小冰女,25,
700101920,耶比妹妹,25,
700101921,小耶比妹妹,25,
100100801,春植的旅行眼鏡,2,"目標物理防禦力減少11%
目標魔法抵抗力減少+11%
物理命中率+11%
魔法命中率+11%"
80802901,華爾基莉長槍,22,"最小攻擊力+251
最大攻擊力+306
物理命中率+1%
體力 +188"
80802902,華爾基莉長槍+1,22,"最小攻擊力+252
最大攻擊力+309
物理命中率+2%
體力 +189"
80802903,華爾基莉長槍+2,22,"最小攻擊力+256
最大攻擊力+314
物理命中率+3%
體力 +192"
80802904,華爾基莉長槍+3,22,"最小攻擊力+260
最大攻擊力+318
物理命中率+4%
體力 +195"
80802905,華爾基莉長槍+4,22,"最小攻擊力+264
最大攻擊力+322
物理命中率+5%
目標物理防禦力減少2%
體力 +198"
80802906,華爾基莉長槍+5,22,"最小攻擊力+268
最大攻擊力+327
物理命中率+6%
目標物理防禦力減少4%
體力 +201"
80802907,華爾基莉長槍+6,22,"最小攻擊力+275
最大攻擊力+336
物理命中率+7%
目標物理防禦力減少6%
體力 +207"
80802908,華爾基莉長槍+7,22,"最小攻擊力+285
最大攻擊力+348
物理命中率+8%
目標物理防禦力減少8%
體力 +215"
80802909,華爾基莉長槍+8,22,"最小攻擊力+300
最大攻擊力+366
物理命中率+9%
目標物理防禦力減少10%
體力 +227"
80802910,華爾基莉長槍+9,22,"最小攻擊力+317
最大攻擊力+387
物理命中率+10%
目標物理防禦力減少12%
體力 +240"
80802911,華爾基莉長槍+10,22,"最小攻擊力+335
最大攻擊力+411
物理命中率+11%
目標物理防禦力減少15%
體力 +255"
80802912,華爾基莉長槍+11,22,"最小攻擊力+374
最大攻擊力+456
物理命中率+12%
目標物理防禦力減少20%
體力 +285"
80402901,華爾基莉雙手劍,18,"最小攻擊力+202
最大攻擊力+376
物理命中率+1%
體力 +188"
80402902,華爾基莉雙手劍+1,18,"最小攻擊力+204
最大攻擊力+378
物理命中率+2%
體力 +189"
80402903,華爾基莉雙手劍+2,18,"最小攻擊力+207
最大攻擊力+384
物理命中率+3%
體力 +192"
80402904,華爾基莉雙手劍+3,18,"最小攻擊力+210
最大攻擊力+390
物理命中率+4%
體力 +195"
80402905,華爾基莉雙手劍+4,18,"最小攻擊力+213
最大攻擊力+395
物理命中率+5%
目標物理防禦力減少2%
體力 +198"
80402906,華爾基莉雙手劍+5,18,"最小攻擊力+216
最大攻擊力+401
物理命中率+6%
目標物理防禦力減少4%
體力 +201"
80402907,華爾基莉雙手劍+6,18,"最小攻擊力+222
最大攻擊力+412
物理命中率+7%
目標物理防禦力減少6%
體力 +207"
80402908,華爾基莉雙手劍+7,18,"最小攻擊力+230
最大攻擊力+426
物理命中率+8%
目標物理防禦力減少8%
體力 +215"
80402909,華爾基莉雙手劍+8,18,"最小攻擊力+242
最大攻擊力+449
物理命中率+9%
目標物理防禦力減少10%
體力 +227"
80402910,華爾基莉雙手劍+9,18,"最小攻擊力+256
最大攻擊力+474
物理命中率+10%
目標物理防禦力減少12%
體力 +240"
80402911,華爾基莉雙手劍+10,18,"最小攻擊力+270
最大攻擊力+503
物理命中率+11%
目標物理防禦力減少15%
體力 +255"
80402912,華爾基莉雙手劍+11,18,"最小攻擊力+302
最大攻擊力+560
物理命中率+12%
目標物理防禦力減少20%
體力 +285"
80602901,華爾基莉雙刀,20,"最小攻擊力+274
最大攻擊力+297
物理最小傷害+1%
體力 +188"
80602902,華爾基莉雙刀+1,20,"最小攻擊力+275
最大攻擊力+299
物理最小傷害+2%
體力 +189"
80602903,華爾基莉雙刀+2,20,"最小攻擊力+280
最大攻擊力+303
物理最小傷害+3%
體力 +192"
80602904,華爾基莉雙刀+3,20,"最小攻擊力+284
最大攻擊力+308
物理最小傷害+4%
體力 +195"
80602905,華爾基莉雙刀+4,20,"最小攻擊力+288
最大攻擊力+312
物理最小傷害+5%
目標物理防禦力減少2%
體力 +198"
80602906,華爾基莉雙刀+5,20,"最小攻擊力+292
最大攻擊力+317
物理最小傷害+6%
目標物理防禦力減少4%
體力 +201"
