ID,鑲嵌類型ID,鑲嵌屬性名稱,自然最小數值,自然最大數值,鑲嵌最小數值,鑲嵌最大數值,鑲嵌材料,最小耐久度消耗,最大耐久度消耗,概率補正,成功率(%),手續費
1,1,Lv1 力量 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
2,1,Lv2 力量 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
3,1,Lv3 力量 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
4,1,Lv4 力量 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
5,1,Lv5 力量 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
6,1,Lv6 力量 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
7,1,Lv7 力量 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
8,1,Lv8 力量 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
9,1,Lv9 力量 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
10,1,Lv10 力量 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
11,1,Lv11 力量 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
12,1,Lv12 力量 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
13,1,Lv13 力量 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
14,1,Lv14 力量 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
15,1,Lv15 力量 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
16,1,Lv16 力量 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
17,1,Lv17 力量 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
18,1,Lv18 力量 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
19,1,Lv19 力量 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
20,1,Lv20 力量 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
21,1,Lv1 幸運 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
22,1,Lv2 幸運 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
23,1,Lv3 幸運 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
24,1,Lv4 幸運 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
25,1,Lv5 幸運 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
26,1,Lv6 幸運 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
27,1,Lv7 幸運 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
28,1,Lv8 幸運 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
29,1,Lv9 幸運 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
30,1,Lv10 幸運 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
31,1,Lv11 幸運 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
32,1,Lv12 幸運 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
33,1,Lv13 幸運 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
34,1,Lv14 幸運 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
35,1,Lv15 幸運 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
36,1,Lv16 幸運 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
37,1,Lv17 幸運 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
38,1,Lv18 幸運 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
39,1,Lv19 幸運 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
40,1,Lv20 幸運 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
41,1,Lv1 魔力 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
42,1,Lv2 魔力 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
43,1,Lv3 魔力 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
44,1,Lv4 魔力 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
45,1,Lv5 魔力 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
46,1,Lv6 魔力 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
47,1,Lv7 魔力 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
48,1,Lv8 魔力 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
49,1,Lv9 魔力 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
50,1,Lv10 魔力 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
51,1,Lv11 魔力 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
52,1,Lv12 魔力 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
53,1,Lv13 魔力 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
54,1,Lv14 魔力 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
55,1,Lv15 魔力 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
56,1,Lv16 魔力 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
57,1,Lv17 魔力 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
58,1,Lv18 魔力 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
59,1,Lv19 魔力 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
60,1,Lv20 魔力 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
61,1,Lv1 體力 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
62,1,Lv2 體力 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
63,1,Lv3 體力 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
64,1,Lv4 體力 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
65,1,Lv5 體力 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
66,1,Lv6 體力 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
67,1,Lv7 體力 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
