ID,强化前,强化后,强化描述,强化材料,成功率(%),是否吃镶嵌加成,手續費
40100101,拳套披風,拳套披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
拳套披風 X1",100,是,2950
40100102,拳套披風 +1,拳套披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
拳套披風 X1",100,是,2950
40100103,拳套披風 +2,拳套披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
拳套披風 X1",100,是,3600
40100104,拳套披風 +3,拳套披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
拳套披風 X1",100,是,3600
40100201,短劍披風,短劍披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
短劍披風 X1",100,是,2950
40100202,短劍披風 +1,短劍披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
短劍披風 X1",100,是,2950
40100203,短劍披風 +2,短劍披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
短劍披風 X1",100,是,3600
40100204,短劍披風 +3,短劍披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
短劍披風 X1",100,是,3600
40100701,鈍器披風,鈍器披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
鈍器披風 X1",100,是,2950
40100702,鈍器披風 +1,鈍器披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
鈍器披風 X1",100,是,2950
40100703,鈍器披風 +2,鈍器披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
鈍器披風 X1",100,是,3600
40100704,鈍器披風 +3,鈍器披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
鈍器披風 X1",100,是,3600
40100401,雙手劍披風,雙手劍披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
雙手劍披風 X1",100,是,2950
40100402,雙手劍披風 +1,雙手劍披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
雙手劍披風 X1",100,是,2950
40100403,雙手劍披風 +2,雙手劍披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
雙手劍披風 X1",100,是,3600
40100404,雙手劍披風 +3,雙手劍披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
雙手劍披風 X1",100,是,3600
40100801,槍披風,槍披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
槍披風 X1",100,是,2950
40100802,槍披風 +1,槍披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
槍披風 X1",100,是,2950
40100803,槍披風 +2,槍披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
槍披風 X1",100,是,3600
40100804,槍披風 +3,槍披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
槍披風 X1",100,是,3600
40101001,彈匣,彈匣 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
彈匣 X1",100,是,2950
40101002,彈匣 +1,彈匣 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
彈匣 X1",100,是,2950
40101003,彈匣 +2,彈匣 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
彈匣 X1",100,是,3600
40101004,彈匣 +3,彈匣 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
彈匣 X1",100,是,3600
40100301,單手劍披風,單手劍披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
單手劍披風 X1",100,是,2950
40100302,單手劍披風 +1,單手劍披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
單手劍披風 X1",100,是,2950
40100303,單手劍披風 +2,單手劍披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
單手劍披風 X1",100,是,3600
40100304,單手劍披風 +3,單手劍披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
單手劍披風 X1",100,是,3600
40100901,弓箭筒,弓箭筒 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
弓箭筒 X1",100,是,2950
