ID,怪物ID,怪物名稱,地圖ID,地圖名稱,左,上,右,下,刷新数量,刷新时间1(每0.1秒),刷新时间2(每0.1秒),固定包裹掉落數(普通),最小包裹掉落數(普通),隨機包裹掉落數(普通),固定包裹掉落數(簡單),最小包裹掉落數(簡單),隨機包裹掉落數(簡單),固定包裹掉落數(困难),最小包裹掉落數(困难),隨機包裹掉落數(困难),_DynamicType,_Difficulty_type
10001,810060003,,0-0-0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10002,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10003,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10004,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10005,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10006,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10007,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10008,810060003,,0-0-0,,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
10009,810070002,,0-0-0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10010,810070002,,0-0-0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10011,810070002,,0-0-0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10012,810070002,,0-0-0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10013,810000109,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10014,810000109,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10015,810000109,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10016,810000109,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10017,810000111,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10018,810000111,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10019,810000111,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10020,810000111,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10021,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10022,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10023,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10024,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10025,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10026,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10027,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10028,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10029,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10030,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10031,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10032,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10033,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10034,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10035,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10036,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10037,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10038,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10039,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10040,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10041,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10042,810000105,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10043,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10044,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10045,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10046,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10047,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10048,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10049,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10050,810000147,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10051,810000114,,0-0-0,,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
10052,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10053,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10054,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10055,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10056,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10057,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10058,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10059,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10060,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10061,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10062,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10063,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10064,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10065,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10066,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10067,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10068,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10069,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10070,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10071,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10072,810000139,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10073,810060009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10074,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10075,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10076,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10077,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10078,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10079,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10080,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10081,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10082,810000140,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10083,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10084,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10085,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10086,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10087,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10088,810000141,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10089,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10090,810060009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10091,810000142,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10092,810000142,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10093,810000142,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10094,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10095,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10096,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10097,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10098,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10099,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
10100,810070009,,0-0-0,,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0
