ID,經驗值,ELY掉落率(%),最小ELY,最大ELY
810000101,6,1.0,8,9
810000104,8,1.0,10,12
810000109,10,1.0,11,13
810000111,11,1.0,13,15
810000242,12,1.0,13,15
810000112,13,1.0,14,16
810000233,14,1.0,15,18
810000115,15,1.0,15,18
810000113,16,1.0,17,20
810090093,17,1.0,17,20
810000118,18,1.0,18,21
810090094,19,1.0,20,24
810000120,20,1.0,20,24
810000121,200,1.0,20,24
810000105,24,1.0,22,26
810000114,25,1.0,24,28
810000147,27,1.0,24,28
810000170,21,1.0,21,25
810000171,23,1.0,21,25
810000124,28,1.0,25,30
810000123,29,1.0,25,30
810000132,31,1.0,27,32
810000128,32,1.0,28,33
810000175,34,1.0,28,33
810000174,35,1.0,29,34
810000125,37,1.0,29,34
810000108,38,1.0,31,37
810000172,40,1.0,32,38
810000130,41,1.0,32,38
810000129,43,1.0,34,40
810000116,45,1.0,34,40
810000176,47,1.0,35,42
810000131,48,1.0,36,43
810000127,50,1.0,36,43
810000126,52,1.0,38,45
810000133,54,1.0,38,45
810000134,56,1.0,39,46
810000137,58,1.0,41,49
810000135,60,1.0,41,49
810000136,62,1.0,42,50
810000139,64,1.0,42,50
810000140,67,1.0,43,51
810000141,69,1.0,45,54
810000142,71,1.0,45,54
810000143,73,1.0,46,55
810000103,76,1.0,46,55
810000138,78,1.0,48,57
810000159,780,1.0,48,57
810000149,81,1.0,49,58
810000146,83,1.0,49,58
810000150,86,1.0,50,60
810000119,89,1.0,50,60
810000151,91,1.0,52,62
810000145,94,1.0,53,63
810000102,97,1.0,53,63
810000157,100,1.0,55,66
810000152,103,1.0,55,66
810000153,106,1.0,56,67
810000154,109,1.0,57,68
810000201,112,1.0,57,68
810000156,115,1.0,59,70
810000155,118,1.0,59,70
810000185,122,1.0,60,72
810000186,125,1.0,62,74
810000187,128,1.0,62,74
810001118,132,1.0,63,75
810000189,135,1.0,63,75
810000193,139,1.0,64,76
810000239,143,1.0,66,79
810000194,147,1.0,66,79
810000232,150,1.0,67,80
810000192,150,1.0,67,80
810000190,158,1.0,69,82
810000188,1580,1.0,69,82
810000205,163,1.0,70,84
810000240,167,1.0,70,84
810000206,171,1.0,71,85
810000238,161,1.0,215,257
810000207,1750,1.0,71,85
810000178,180,1.0,73,87
810001735,184,1.0,74,88
810000173,189,1.0,74,88
810000250,194,1.0,76,91
810000251,198,1.0,76,91
810000252,203,1.0,77,92
810000254,208,1.0,78,93
810000255,213,1.0,78,93
810000256,219,1.0,80,96
810000253,224,1.0,80,96
810000191,116,1.0,80,96
810000195,229,1.0,81,97
810000196,235,1.0,83,99
810000197,240,1.0,83,99
810000198,240,1.0,83,99
810000208,246,1.0,84,99
810000209,252,1.0,84,99
810000210,258,1.0,85,99
810000354,264,1.0,87,99
810000356,270,1.0,87,99
810000357,276,1.0,88,99
810000358,282,1.0,88,99
810000106,289,1.0,90,99
810000161,296,1.0,91,99
810000160,302,1.0,91,99
810000249,3949,1.0,2730,3270
810000766,1182,1.0,147,159
810000767,1204,1.0,148,160
810000768,1227,1.0,150,162
810000769,12500,1.0,1500,1620
810000177,94,1.0,53,63
810000164,97,1.0,53,63
810000169,100,1.0,55,66
810000165,103,1.0,55,66
810000166,106,1.0,56,67
810000167,109,1.0,57,68
810000168,112,1.0,57,68
810000257,158,1.0,69,82
810000258,163,1.0,70,84
810000259,167,1.0,70,84
810000260,171,1.0,71,85
810000261,175,1.0,71,85
810000262,180,1.0,73,87
810000263,184,1.0,74,88
810000396,0,1.0,0,0
810000397,2357,1.0,3840,4560
810000223,147,1.0,66,79
810001732,150,1.0,67,80
810000224,154,1.0,67,80
810000475,1931,1.0,0,0
810000264,821,1.0,132,143
810000265,837,1.0,133,144
810000266,854,1.0,133,144
810000267,871,1.0,134,144
810000268,888,1.0,134,144
810000269,905,1.0,136,147
810000270,905,1.0,136,147
810000271,923,1.0,137,148
810000272,941,1.0,137,148
810000273,959,1.0,139,150
810000274,977,1.0,139,150
810000275,996,1.0,140,152
810001136,224,1.0,80,96
810001137,229,1.0,81,97
810001138,235,1.0,83,99
810001135,240,1.0,83,99
810001733,246,1.0,84,99
810001140,252,1.0,84,99
810001157,258,1.0,85,99
810001156,264,1.0,87,99
810001218,270,1.0,87,99
810001220,276,1.0,88,99
810001214,282,1.0,88,99
810001217,289,1.0,90,99
810001215,296,1.0,91,99
810001252,302,1.0,91,99
810001253,309,1.0,92,99
810001254,316,1.0,92,99
810000657,160,1.0,92,110
810000638,929,1.0,1766,2112
810000640,950,1.0,1804,1804
810001842,972,1.0,1824,1824
810000629,2637,1.0,5700,6840
810000649,993,1.0,1824,2188
810000650,1016,1.0,1862,2226
810000651,1038,1.0,1862,2226
810000632,2685,1.0,5820,6960
810000652,1061,1.0,1880,2246
810000653,1084,1.0,1900,2264
810000654,1108,1.0,1900,2264
810000630,2866,1.0,5940,7080
810000635,385,1.0,101,109
810000634,394,1.0,101,109
810000633,402,1.0,102,110
810000636,411,1.0,104,112
810000667,9045,1.0,5940,7080
810000774,420,1.0,104,112
810000775,429,1.0,105,114
810000776,438,1.0,105,114
810000777,666,1.0,1050,1260
810000216,411,1.0,63,76
810000217,420,1.0,64,77
810000218,429,1.0,64,77
810000227,438,1.0,65,78
810000228,740,1.0,109,130
810000144,81,1.0,49,58
810000117,497,1.0,111,120
810000148,507,1.0,112,121
810000379,518,1.0,112,121
810000378,528,1.0,113,122
810000381,539,1.0,113,122
810000380,551,1.0,115,125
810000122,5070,1.0,112,121
810000382,730,1.0,126,136
810000383,744,1.0,127,137
810000384,759,1.0,129,139
810000385,774,1.0,129,139
810000244,562,1.0,116,126
810000245,585,1.0,118,127
810001841,610,1.0,119,128
810000246,597,1.0,118,127
810000248,6220,1.0,120,130
810001317,610,1.0,119,128
810001318,622,1.0,120,130
810001319,635,1.0,120,130
810001320,648,1.0,122,132
