任務ID,任務名稱,EXP獎勵,ELY獎勵,道具獎勵
901000001,旅程的開始,60.0,5000,漂亮的蛋[永久制] X1
901000002,花之少女,400.0,10000,
901000003,迭爾的弓 (1),2000.0,11000,賽蕾斯蒂亞 X1
901000004,迭爾的弓 (2),2000.0,11000,
901000005,你好，穆亞,10000.0,30000,"暢快可樂 X10
[活動] 復活精髓 X3
經驗值秘藥100% X1"
901000006,走吧，前往艾利亞斯,10000.0,30000,"冒險開始箱子 X1
[活動] 任務獎勵UP！靈藥 X1"
901000007,消失的樂師,95400.0,50000,
901000008,災難的種子,95400.0,50000,
901000009,劍花，蕭羽,95400.0,50000,
901000011,玄武洞的相遇,95400.0,50000,"[活動] 經驗值秘藥500% X1
[活動] 倉庫背包 X1
[活動] 復活精髓 X2
傳送點電池(7日) X1"
901000012,黑月公主,108900.0,53000,
901000013,馬伊諾的寶石,177000.0,62000,"人面獅身殘像鏡子 +6(30日) X1
暢快可樂 X10
[活動] 復活精髓 X2"
901000014,哥德房屋,309000.0,72000,"暢快可樂 X10
[活動] 暴風藥水 X5"
901000015,前往王宮,582000.0,85000,
901000016,暴走海龍王,582000.0,85000,"[任務] 高級糖漿 X1
[活動] 經驗值秘藥200% X1
[活動] 倉庫背包 X1"
901000017,克杜卡的巫女,762000.0,91000,"[任務] 高級糖漿 X1
[活動] 經驗值秘藥200% X1
[活動] 倉庫背包 X1"
901000018,前往奧爾卡海邊,762000.0,91000,
901000019,古代庭園吉納蒂亞,906000.0,95000,"傳送點電池(7日) X1
任務獎勵UP！技能學習書(50%)(7日) X1
經驗值秘藥300% X1
[活動] 寵物用靈芝草(15日) X1"
901000020,詛咒之痕,1074000.0,99000,
901000021,再次前往黑月城,1074000.0,99000,
901000022,貓頭鷹城的激戰,2484000.0,144000,
901000023,黑月公主的下落,3600000.0,156000,
901000024,藍色芙尼克斯,3600000.0,156000,"[活動] 經驗值秘藥500% X1
[活動] 復活精髓 X2
暢快可樂 X10"
901000025,軌道的混亂,3600000.0,156000,
901000026,越過真空，你好?!,8730000.0,217000,
901000027,亞斯卡勒特的協助者,8730000.0,217000,
901000028,代號名稱艾爾梅,8730000.0,217000,
901000029,交叉世界 (1),8730000.0,217000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1"
901000030,交叉世界 (2),8730000.0,217000,
901000031,Hell's Door,8730000.0,217000,"蘊含舞扇忍者氣息的圖騰 X1
凝聚舞扇忍者氣息的圖騰碎片 X10
[活動] 小企鵝[永久制] X1"
901000032,門開了,8730000.0,217000,
115046000,時空旅行者,12210000.0,165000,
125001000,薩伊安的呼喊,17880000.0,175000,
125002000,崩壞之塔,17880000.0,175000,
125003000,深淵禁錮者,17880000.0,175000,"[活動] 暴風藥水 X10
[活動] 復活精髓 X2
暢快可樂 X10"
125004000,開始的大地,17880000.0,175000,
139001000,2年前 - 上,42000000.0,180000,
139002000,2年前 - 下,42000000.0,180000,
138001000,向著天空,42000000.0,180000,
138003000,最後的守護者,42000000.0,180000,
138004000,新月祭壇,42000000.0,180000,
138005000,悲心,42000000.0,180000,
138005100,流亡者的回憶,42000000.0,180000,"凝聚舞扇忍者氣息的圖騰碎片 X10
喬安潘的第一個記憶 X1
喬安潘的第二個記憶 X1
喬安潘的第三個記憶 X1"
138006000,什麼樣的遊戲,42000000.0,180000,凝聚舞扇忍者氣息的圖騰碎片 X10
138007000,鳥和月亮,42000000.0,180000,
138009000,再會,42000000.0,180000,"傳送點電池(7日) X1
[活動] 倉庫背包 X1
[活動] 寵物用靈芝草(15日) X1"
138011000,野狼的呼喚,42000000.0,180000,薩伊安的戒指 X1
138013000,少年王,42000000.0,180000,
138014000,世界的守護者,42000000.0,180000,
138014001,引領華爾基莉的人們,42000000.0,180000,
138014002,一對呼喚滅亡的老鷹,42000000.0,180000,
138014003,做夢的雷神,42000000.0,180000,
138016000,黎明與黃昏的舞,42000000.0,180000,"凝聚舞扇忍者氣息的圖騰碎片 X10
[活動] 暴風藥水 X5"
148000000,新的相遇,1213050000.0,200000,
148000100,邀請的理由,1213050000.0,200000,
148001000,尋找原因,1213050000.0,200000,
148002000,異形的魔法陣,1213050000.0,200000,
148003000,調查魔法陣,2426100000.0,200000,
148004000,魔法陣的碎片,2426100000.0,300000,
148005000,碎片分析(1),2426100000.0,400000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
148005100,碎片分析(2),2426100000.0,400000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
148005200,碎片分析(3),2426100000.0,400000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
148005300,治療劑完成?,1213050000.0,150000,
148006000,尋找突破口,1213050000.0,150000,
148007000,事件的真相,1213050000.0,150000,
148008000,準備作業(1),2426100000.0,350000,"[活動] 經驗值秘藥888% X1
[活動] 任務獎勵UP！靈藥 X2"
148008100,準備作業(2),2426100000.0,350000,"[活動] 經驗值秘藥888% X1
[活動] 任務獎勵UP！靈藥 X2"
148009000,破壞神器(1),1213050000.0,150000,
148009100,破壞神器(2),2426100000.0,700000,"[活動] 復活精髓 X2
公會金幣(第2季) X50
[活動] 暴風藥水(30分鐘) X1
暢快可樂 X10"
148010000,分離是為了下一次的見面,8087000000.0,200000,凝聚舞扇忍者氣息的圖騰碎片 X10
152003000,宜靜的郵件,1573500000.0,100000,
152003001,龍祭城的復活,1573500000.0,100000,
152003002,迅速整理不安的因素!,3147000000.0,150000,"戰鬥靈藥 X5
實用的靈藥 X5
[活動] 任務獎勵UP！靈藥 X2"
152003003,奇怪的東西,3147000000.0,150000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
152003004,魔石類型研究,3147000000.0,150000,
152003005,強大魔石,3147000000.0,150000,
152003006,回憶的期間,3147000000.0,150000,
152003007,阿卡修拉的魔法類型,1573500000.0,100000,
152003008,扭曲的空間,5245000000.0,1000000,"[活動] 經驗值秘藥888% X1
[活動] 復活精髓 X2
公會金幣(第2季) X50"
152003009,返回悲劇的起點,5245000000.0,1500000,"超級萬能木錘 X1
[活動] 經驗值秘藥1000% X1
[活動] 任務獎勵UP！技能學習書(7日) X1
[活動] 倉庫背包 X1"
152003010,與奇毅太子的對話,1573500000.0,150000,
152003011,分析結果,1573500000.0,150000,
152003012,魔石的秘密,10490000000.0,4000000,凝聚舞扇忍者氣息的圖騰碎片 X10
154002000,吉恩蒂亞的書信,1809000000.0,100000,
154002001,特洛里村莊裡發生的事,1809000000.0,120000,
154002002,奧斯古拉斯傭兵團,1809000000.0,140000,
154002003,蘑菇森林,3618000000.0,160000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
154002004,尋找魔石的根源,3618000000.0,180000,"[活動] 復活精髓 X2
暢快可樂 X10
傳送點電池(7日) X1"
154002005,德魯伊戰士海雷斯,1809000000.0,200000,
154002006,需要治療的藥,3618000000.0,220000,
154002007,藏在洞窟裡的東西,6030000000.0,1000000,"[活動] 經驗值秘藥888% X1
冰花綴飾 X1
傳送點電池(7日) X1"
154002008,利奇奈潘斯,1809000000.0,250000,
154002009,其它的委託,1809000000.0,300000,
154002010,怪物軍隊的主人,6030000000.0,2000000,"[活動] 刻有月亮的刻印石 X4
冰花綴飾 X1"
154002011,亞凱殷的預感,1809000000.0,330000,
154002012,新的委託?,12060000000.0,5000000,"凝聚舞扇忍者氣息的圖騰碎片 X10
冰花綴飾 X1"
162001000,自由貿易都市立佩拉,2280000000.0,1000000,
162001001,與革命軍接觸,2280000000.0,1000000,
162001002,前往梅林島之路,2280000000.0,1000000,
162001003,梅林島的統治者們,4560000000.0,1000000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
162001004,為了搜查的領域確保,4560000000.0,1000000,"[活動] 復活精髓 X2
暢快可樂 X10"
162001005,驚愕的事實,7600000000.0,3000000,"奧莉安的變異教本 X1
[活動] 經驗值秘藥200% X3
[活動] 復活精髓 X5
[活動] 刻有月亮的刻印石 X4"
162001006,傳達狀況,2280000000.0,1000000,
162001007,疑心,2280000000.0,1000000,
162001008,叫傑凱的人,2280000000.0,1000000,
162001009,堅定心證,2280000000.0,1000000,
162001010,還不如…,7600000000.0,3000000,"傑凱的胸針 X1
超級萬能木錘 X2
靈藥兌換券 X20
[活動] 刻有月亮的刻印石 X4"
162001011,收尾,2280000000.0,1000000,
162001012,羅希雅的呼喚,2280000000.0,1000000,
162001013,愛麗絲的下落,15200000000.0,3000000,"[活動] 暴風藥水 X50
[活動] 經驗值秘藥888% X1
[活動] 寵物用靈芝草(30日) X1
凝聚舞扇忍者氣息的圖騰碎片 X10"
164000000,賽蕾斯神殿收復軍,2766000000.0,1000000,
164000001,那個，推薦信…。,2766000000.0,1000000,
164000002,加入手續完成,2766000000.0,1000000,
164000003,交易條件,2766000000.0,1000000,
164000004,普雷督斯,5532000000.0,2500000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
164000005,整理神殿內部,5532000000.0,2500000,"[活動] 復活精髓 X2
暢快可樂 X10"
164000006,1軍長普拉斯,9220000000.0,5000000,"蘊含普拉斯魔力的眉心貼 X1
增幅劑箱子II X10
[活動] 刻有月亮的刻印石 X4"
164000007,控制賽蕾斯神殿的理由,9220000000.0,5000000,"蘊含普拉斯魔力的絲襪 X1
[活動] 經驗香油 X5
[活動] 刻有月亮的刻印石 X4"
164000008,交易完成?,2766000000.0,1000000,
164000009,見過愛麗絲的人。,18440000000.0,10000000,"蘊含普拉斯魔力的眼鏡 X1
[活動] 經驗值秘藥1000% X1
凝聚舞扇忍者氣息的圖騰碎片 X10"
172000200,前往東部大陸之路,3669000000.0,1000000,
