ID,稱號名稱,稱號説明,稱號屬性,稱號效果,效果説明
1,不使用稱號,不使用稱號。,,0,
18,超級瑪琍大師,你真的是人類嗎?!,"力量+10
體力 +10
魔力+10",0,
19,連特沃夫都自嘆不如的人,"不管是礦山的哪裡,都沒有我不知道的地方。","幸運+3
魔力+3",0,
21,鐵鍬達人,講到鐵鍬非我莫屬。,"幸運+3
魔力+3",0,
22,大王殺手,把名字裡面有王的通通都打倒。,"幸運+3
魔力+3",0,
101,不是新手的冒險家,不是菜鳥的冒險家。…只有這種程度真是可憐。,最大HP +5,0,
102,冒險家,現在是偉大的一人冒險家! 朝著冒險 Go!,"最大HP +5
最大SP+5",0,
103,戰勝冬天的支配者,賦予戰勝冬天的支配者的人的稱號。,"移動速度+30%
梯子移動速度+50%
屬性力最大傷害+40%",0,
104,山嶽地帶征服者,賦予征服山嶽的英雄的稱號。,"移動速度+5%
梯子移動速度+40%
繩索移動速度+40%",0,
105,新手冒險者,\n給予在彩虹島物語中邁出第一步的稱號。,"最大HP +100
最大SP+100
物理/魔法傷害 +20",0,
201,大王真弱,給抓住大王哥布林的冒險家的稱號。,力量+4,0,
202,蝙蝠獵人,給稱霸貝羅斯地下城的獵人的稱號。,物理爆擊傷害+16%,0,
210,大王殺手,給抓住大王哥布林的冒險家(攻擊型)的稱號。,"力量+7
物理最小傷害+2%
魔力+-3",0,
301,連魔王也抓住了,給抓住艾利亞斯地下城的哥布林大王的人的稱號。,"力量+3
幸運+3",0,
303,心地善良的人,在艾利亞斯稱呼愉快幫助他人的冒險家的名稱。,獲得錢+30%,0,
310,爽快的法師,給抓住艾利亞斯地下城的哥布林大王的人(魔法型)的稱號。,"魔力+8
最大SP+2%
力量+-4",0,
401,義俠,很有義氣的俠士。 受到龍京市民的尊敬。,體力 +6,0,
403,初戰搏殺,給輕易就成功獵殺老虎BOSS的人的帥氣稱號。,"最小攻擊力+2
最大攻擊力+2",0,
410,鐵壁虎王,稱呼替龍京市民獵殺白虎和黑虎的英雄(防禦型)的稱號。,"體力 +8
最大HP+5%
幸運+-2",0,
501,達人,再也不害怕黑月城忍者的境地。,"力量+2
體力 +2
魔力+2",0,
502,鬼武士算什麼,給打倒黑月城鬼武士的人的稱號。,"最大HP+4%
最大SP+4%",0,
503,時尚領導人,奧亦奇的時尚領導人! Yeah!,"幸運+3
魔力+3",0,
510,忍者大師,超越黑月城忍者們的冒險家(探索型)。,"幸運+10
移動速度+3%
體力 -5",0,
601,不屈服的冒險家,就算一再倒下也會一直站起來!不屈服的意志力爆發!(防禦力上升),防禦力+5%,0,
602,貝希摩斯冒險家,從巨大的怪物貝希摩斯的肚子活著回來的冒險家。,"物理回擊傷害+10%
魔法回擊傷害+10%",0,
603,妖怪擊退者,解決帶給人們麻煩的怪物!,"休息恢復HP+15%
休息恢復SP+15%",0,
604,跳躍高手,"Jump, Jump!",力量+10,0,
605,繩索舞者,以熟練的攀爬繩索技術綻放光芒。,"繩索移動速度+50%
梯子移動速度+50%
移動速度+5%",0,
606,強壯的冒險家,鐵壁防禦!,防禦力+7%,0,
607,高級玩家,熟練多種技能的冒險家。,"物理最大傷害+3%
魔法最大傷害+3%
移動速度+3%",0,
608,收集大師,2008? 1? 1???? ?? ??!,,0,
609,爬到頂端~勝利者~,爬呀爬大樹的霸主。,"最大HP +150
最大SP+75",0,
610,夜晚貓頭鷹,調查完貓頭鷹之城人們不可告人的陰謀。,移動速度+13%,0,
611,荒野冒險家,給經歷彭哥列列車冒險的人的稱號。,"物理最大傷害+5%
物理回避率+-5%",0,
612,猜題天王,天啊~ 竟然可以獲得這個稱號!! \n您真的是猜題的天王呀>?<!!,"物理命中率+3%
魔法命中率+3%
物理回避率+3%",0,
613,猜題天后,天啊~ 竟然可以獲得這個稱號!! \n您真的是猜題的天后呀>?<!!,"物理命中率+3%
魔法命中率+3%
物理回避率+3%",0,
614,德尼歐的弟子,正在修行的德尼歐弟子的名稱。,屬性重新分配成功率+10%,0,
615,悟道者,專為博學多聞的你而設的稱號!,"移動速度+15%
梯子移動速度+60%
繩索移動速度+60%",0,
701,浪人劍客,這無止盡的冒險路途何時會結束呢…。(移動速度向上),移動速度+10%,0,
702,冬之強者,聖誕節活動稱號,,0,
703,戰勝寒冷吧,聖誕節活動稱號,,0,
704,手腳冰冷,聖誕節活動稱號,,0,
705,世界第一等,100分的人生! 我很棒吧!!,,0,
706,老二哲學,不是100分也不是鴨蛋!!,,0,
707,零鴨蛋,得到零分我好受傷 T.T,,0,
708,百戰百勝,給予在福不福運動會中獲勝隊伍的榮譽稱號!!,,0,
709,寶石遠征隊,出發! 寶石遠征隊~~,,0,
710,寶石的傳令,這是為幫忙的人準備的稱號~,,0,
711,菌絲破壞者,所有蘑菇們的支配者。,"移動速度+7%
物理回擊傷害+5%",0,
712,???????,,"移動速度+10%
魔力+3%",0,
713,鴉天狗,,"移動速度+12%
梯子移動速度+10%",0,
714,守護聖誕老人,聖誕節活動紀念稱號,,0,
715,我來守護聖誕老人,聖誕節活動紀念稱號,,0,
716,慈善家,我就是~ 捐贈之王! 最棒的彩虹島慈善家!,,0,
717,年糕湯之王,你們懂年糕湯的味道嗎!!賦予懂得真正了解年糕湯味道的人的稱號,,0,
718,謝絕作業,情人節活動稱號,,0,
719,戀愛博士,情人節活動稱號,,0,
720,你最珍貴,情人節互訴愛戀，將最珍貴的他永存心底。,,0,
721,花樣爺爺,情人節活動稱號,,0,
722,時空旅行者,給時空旅行者的帥氣稱號。,"幸運+10
移動速度+3%
物理回避率+1%",0,
723,奉春植活動稱號,奉春植活動稱號,"移動速度+8%
梯子移動速度+60%
繩索移動速度+60%",0,
724,接受介紹大師,給被介紹來玩彩虹島的玩家稱號。,"物理傷害+15
魔法傷害+15
移動速度+10%",0,
725,介紹大師,給介紹朋友來玩彩虹島的玩家稱號。,"物理傷害+15
魔法傷害+15
移動速度+10%",0,
726,好人緣,和超過3位朋友一起玩彩虹島的人。,,0,
727,Game Sage,You can take Game Sage Title by This Guide Book.,,0,
728,真 · 菌絲破壞者,所有蘑菇真正的支配者。,"移動速度+10%
物理回擊傷害+7%
魔法回擊傷害+7%",0,
729,超音速菌絲,以音速奔跑的菌絲。,"繩索移動速度+10%
梯子移動速度+10%",0,
730,萬聖節活動參加者,給予參加萬聖節活動者的稱號。,,15003861,幽靈效果: 被攻擊時以一定機率增加移動速度20%
731,我心胸寬大,為了心胸寬大的人而準備的活動稱號。,,0,
732,傾城美女,彩虹島美女選拔賽優勝者的證明。,"最大HP +200
最大SP+200",0,
733,新手街舞戰士,現在剛加入的街舞戰士隊員。,"力量+1
體力 +1
魔力+1",0,
734,預言家,Miss ??' ???? ?? ?? '???' ?????. \n? 2010? 7? 21??? ??? ?? ???.,,0,
735,預言家,Miss ??' ???? ?? ?? '???' ?????.,"物理命中率+3%
魔法命中率+3%
物理爆擊率+3%",0,
736,檀君的後裔,賦予檀君後裔們的稱號,,0,
737,巨集管束隊,,,0,
738,感謝幫助愛麗絲聖誕老人,給幫助愛麗絲聖誕老人的人。,,15003601,
739,揭發GM許堂28號的秘密,雖然揭發出GM許堂28號的秘密，\n但是不知到哪個部份才是X-檔案。,,0,
740,揭發GM布吉的秘密,雖然揭發出GM布吉的秘密，\n但是不知到哪個部份才是X-檔案。,,0,
741,揭發GM餅乾的秘密,雖然揭發出GM餅乾的秘密，\n但是不知到哪個部份才是X-檔案。,,0,
742,揭發GM戴音3世的秘密,雖然揭發出GM戴音3世的秘密，\n但是不知到哪個部份才是X-檔案。,,0,
743,消防員,身為偉大消防員的你的綽號。,火抵抗力+100,0,
744,軍畢者,給服完兵役的人的稱號。,,0,
745,種吧種吧! 樹木終結者,我就是~ 種樹的終結者!,,0,
746,種吧種吧! 樹木王,我就是~ 種樹的王!,,0,
747,我是潛力股,[我是 OOO 稱號系列]\n 第1名並非難事!,"獲得經驗值+5%
物理/魔法最小傷害 +10%",15003871,效果: 物理/魔法 攻擊成功時以一定機率增加50%經驗值增益效果
748,我是大隻佬,[我是 OOO 稱號系列]\n 防禦就交給我吧!,"最大HP +100
防禦力+3%",0,
749,我是攻擊手,[我是 OOO 稱號系列]\n 攻擊就交給我吧!,"物理/魔法爆擊率 +1%
物理/魔法最大傷害 +1%",15003873,物理爆擊效果: 物理爆擊率增加100%
750,我是財閥,[我是 OOO 稱號系列]\n 市場經濟掌握在我手中!,"道具掉落率+5%
獲得錢+15%
屬性發生機率+50%",0,
