id,name,reward_exp,reward_ely,reward_items
115003000,花之少女,270,10000,劇本 <1本> X1
115005000,迭爾的弓 (1),2250,11000,塞瑞斯蒂亞 X1
115007000,迭爾的弓 (2),2250,11000,
115009000,我是莫恩,3900,30000,影波克的火焰頭盔 X1
115012000,消失的樂師,6300,50000,
115013000,災難的種子,9300,50000,
115015000,劍花，蕭羽,14400,50000,
115016000,八仙秘藥,10500,50000,
115017000,玄武洞的相遇,27000,50000,玄武的山水紋頭飾 X1
115018000,黑月城的異變,108900,53000,
115019000,黑月公主,108900,53000,
115021000,馬伊諾的寶石,177000,62000,
115023000,王室墳墓,177000,62000,人面獅身的法老頭冠 X1
115024000,魔女住宅,309000,72000,
115026000,哥德房屋,309000,72000,
115027000,前往王宮,582000,85000,
115030000,暴走!海龍王!,582000,85000,
115031000,克杜卡的巫女,762000,91000,
115032000,前往沉陷之城,1074000,99000,
115037000,詛咒之痕,1074000,99000,
115040000,貓頭鷹城的激戰,2484000,120000,
115042000,藍色芙尼克斯,3600000,130000,
146101000,亞斯卡勒特,8730000,10000,
93071010,,8730000,155000,中級恢復藥水 X10
93081010,,8730000,155000,"一般恢復藥水 X20
中級恢復藥水 X10"
94911010,,8730000,155000,中級恢復藥水 X10
94911020,,8730000,155000,
94911030,,8730000,155000,
94911040,,8730000,155000,
94911050,,8730000,155000,
94911060,,8730000,155000,
94911070,,8730000,155000,靈藥兌換券 X2
94911080,,8730000,155000,靈藥兌換券 X2
94921010,,8730000,155000,靈藥兌換券 X2
94921020,,8730000,155000,
94921030,,8730000,155000,
94921040,,8730000,155000,
94921050,,8730000,155000,
94921060,,8730000,155000,
94921070,,8730000,155000,
94921080,,8730000,155000,
94921090,,8730000,155000,
94921100,,8730000,155000,
94921110,,8730000,155000,
94921120,,8730000,155000,靈藥兌換券 X2
94921130,,8730000,155000,"銀色秘銀手套(S) X1
銀色秘銀靴子(S) X1
銀色秘銀角盔(S) X1"
94931010,,8730000,155000,
94931020,,8730000,155000,
94931030,,8730000,1000000,靈藥兌換券 X10
118301026,返還妖術果實,1,100,
118301027,返還原始精華,1,100,
118301028,返還生命火種,1,100,
118301029,返還蜂王漿,1,100,
115046000,時空旅行者,12210000,165000,
128201001,天空海的遇難者,0,170000,
128201002,前往漂流都市,0,170000,聲望箱子 X2
128201003,天才少女,0,170000,"艾妮斯萬能戒指 X1
調查學習書 X1"
128201004,來自帝國的訪客,200000,170000,調查團恢復藥水 X20
128201005,救出調查隊 (1/2),200000,170000,
128201006,救出調查隊 (2/2),200000,170000,
128201007,破壞地雷,200000,170000,
128201008,無法想像的泥人,200000,170000,
128201009,爭吵的少女們,200000,170000,
128201010,緊急!阻擋攻擊!,200000,170000,
128201011,某個代理人的遺失清單,200000,170000,
128201012,徹底利用,200000,170000,
128201013,謎樣男生,200000,170000,
128201014,線索!線索?,200000,170000,
128201015,他隱瞞的東西,200000,170000,復活精髓 X7
128201016,女劍士和不會飛的泥人,500000,170000,"聲望箱子 X2
[活動] 鑲嵌妙藥 X1
基礎生活技能學習書 X1
聽力&採集學習書 X1"
128201017,採集花草 (1/2),200000,170000,
128201018,採集花草 (2/2),200000,170000,調查團恢復藥水 X20
128201019,重生的花朵,200000,170000,
128201020,飼養員的時間,200000,170000,
128201021,天空的碎片 (1/3),200000,170000,
128201022,天空的碎片 (2/3),200000,170000,
128201023,天空的碎片 (3/3),200000,170000,
128201024,星光街道 (1/3),200000,170000,
128201025,星光街道 (2/3),200000,170000,
128201026,星光街道 (3/3),200000,170000,"聲望箱子 X5
爆擊傷害增幅劑Lv.2 X5"
128201027,失落的知識殿堂,200000,170000,
128201028,破壞自動販賣機,200000,170000,綁線錢幣 X1
128201029,別亂打，請投入零錢,200000,170000,肥宅快樂水 X20
128201030,好康關卡,200000,170000,肥宅快樂水 X99
128901030,,200000,170000,肥宅快樂水 X30
128901031,,200000,170000,肥宅快樂水 X10
128201031,室內戰鬥,200000,170000,
128201032,神秘的藏鏡人,200000,170000,
128201033,軌跡可尋,200000,170000,
128201034,啟動傳送門的少女,200000,170000,
128201035,找到鑰匙 (1/3),200000,170000,
128201036,找到鑰匙 (2/3),200000,170000,肥宅快樂水 X10
128201037,找到鑰匙 (3/3),200000,170000,復活精髓 X7
128201038,守護者的憤怒,500000,170000,"聲望箱子 X2
[活動] 鑲嵌妙藥 X1"
128201039,前往電子的領域,200000,170000,
128201040,扭曲的空間 (1/3),200000,170000,
128201041,扭曲的空間 (2/3),200000,170000,
128201042,扭曲的空間 (3/3),200000,170000,
128201043,傳送門之後 (1/5),200000,170000,
128201044,傳送門之後 (2/5),200000,170000,
128201045,傳送門之後 (3/5),200000,170000,
128201046,傳送門之後 (4/5),200000,170000,肥宅快樂水 X10
128201047,傳送門之後 (5/5),200000,170000,聲望箱子 X5
128201048,過去的秘密,200000,170000,
128201049,神奇街道,200000,170000,"聲望箱子 X2
[活動] 鑲嵌妙藥 X1"
128201050,退還裝備,200000,170000,遠端完成任務箱子 X5
128201051,漂流都市的秘密,1000000,170000,
128201052,細微變化,20000000,10000000,
125001000,薩伊安的呼喊,17880000,175000,
125002000,崩壞之塔,17880000,175000,
125003000,深淵禁錮者,17880000,175000,"[活動] 暴風藥水 X10
復活精髓 X2
肥宅快樂水 X10"
125004000,開始的大地,17880000,175000,
139001000,2年前 - 上,42000000,180000,
139002000,2年前 - 下,42000000,180000,
138001000,向著天空,42000000,180000,
138003000,最後的守護者,42000000,180000,
138004000,新月祭壇,42000000,180000,
138005000,悲心,42000000,180000,
138005100,流亡者的回憶,42000000,180000,"凝聚舞扇忍者氣息的圖騰碎片 X10
喬安潘的第一個記憶 X1
喬安潘的第二個記憶 X1
喬安潘的第三個記憶 X1"
138006000,什麼樣的遊戲,42000000,180000,凝聚舞扇忍者氣息的圖騰碎片 X10
138007000,鳥和月亮,42000000,180000,
138009000,再會,42000000,180000,"傳送點電池(7日) X1
[活動] 倉庫背包擴充 X1
活動:寵物用回春草(15日) X1"
138011000,野狼的呼喚,42000000,180000,薩伊安的戒指 X1
138013000,少年王,42000000,180000,
138014000,世界的守護者,42000000,180000,
138016000,黎明與黃昏的舞,42000000,180000,"凝聚舞扇忍者氣息的圖騰碎片 X10
[活動] 暴風藥水 X5"
138014001,引領華爾基莉的人們,42000000,180000,
138014002,一對呼喚滅亡的老鷹,42000000,180000,
138014003,做夢的雷神,42000000,180000,
138006001,回收喬安潘的記憶 (1),42000000,100,
138006002,回收喬安潘的記憶 (2),42000000,100,
138006003,回收喬安潘的記憶 (3),42000000,100,
146001000,開學典禮的日子,70,1000,
146002000,再一碗喵喵飯!,137,1000,基礎生活技能學習書 X1
146003000,黃金宮殿,125,1000,
146004000,覆蓋夢想的泡沫世界,173,1000,
146005000,愛麗絲的邀請,535,1000,"新手的虎弓皮髮帶 X1
新手的虎弓皮襯衫 X1
新手的虎弓皮褲子 X1
新手的皮運動鞋 X1
新手的皮手鐲 X1"
146006000,魔力卡片,518,1000,"一般恢復藥水 X10
漂亮的蛋 X1
漂亮的蛋靈芝草 X1"
146007000,伊耶比警報,518,1000,一般恢復藥水 X10
146008000,去吧!便利商店,518,1000,一般恢復藥水 X10
146009000,作夢的大叔,624,1000,一般恢復藥水 X10
146010000,百鬼夜行?,751,1000,一般恢復藥水 X10
146011000,學生會長的影子?,890,1000,
146012000,銜尾蛇的劇情,11103,100000,
146901000,老師們的秘密,1000,21000,
146902000,懷舊的石塔記憶,2480,21000,
146903000,首都，艾利亞斯,2500,21000,艾利亞斯傳送膠囊 X3
146013000,返回,3000,40000,
146014000,迷宮所傾吐的東西,7000,40000,
146015000,打工，目前不在,10000,40000,
146016000,你家妻管嚴對吧?,10000,40000,
146017000,其他的大師們,10000,40000,
146018000,對決!對決!,16000,40000,
146019000,內心裡的迷宮 (1),10000,40000,
146020000,內心裡的迷宮 (2),20000,40000,
146021000,魔女的目標!,12000,40000,
146022000,魔法觸擊?,20000,40000,
146023000,太陽少年 ~ 莫藍的挑戰,11000,40000,
146024000,FLY ME TO THE MOON!,25000,40000,學生會長的證明 X1
146025000,意外地相遇,200000,40000,
146026000,下定決心時,25000,40000,
146027000,再次踏上冒險之旅,25000,40000,
146027100,花的都市奧亦奇,25000,40000,
146028000,返還裝備,25000,300000,
146029000,返還裝備,25000,300000,
136201042,[燃燒!] 發送魂之勇者的賽蕾斯裝備,0,0,女神 賽蕾斯的螺旋劍 X1
136201043,[燃燒!] 發送劍刃舞者的賽蕾斯裝備,0,0,女神 賽蕾斯的飛燕劍 X1
136201044,[燃燒!] 發送恐懼騎士的賽蕾斯裝備,0,0,女神 賽蕾斯的長拳套 X1
136201045,[燃燒!] 發送神擊的賽蕾斯裝備,0,0,女神 賽蕾斯的神擊手 X1
136201046,[燃燒!] 發送幻術師的賽蕾斯裝備,0,0,女神 賽蕾斯的戰擊拐杖 X1
136201047,[燃燒!] 發送音樂大師的賽蕾斯裝備,0,0,女神 賽蕾斯的音樂指揮棒 X1
136201048,[燃燒!] 發送盜賊大師的賽蕾斯裝備,0,0,女神 賽蕾斯的盜賊短劍 X1
136201049,[燃燒!] 發送審判者的賽蕾斯裝備,0,0,女神 賽蕾斯的神槍劍 X1
136201050,[燃燒!] 發送改造大師的賽蕾斯裝備,0,0,女神 賽蕾斯的禦守珠 X1
118301001,返還和平卷軸,0,1000000,
118301002,返還和平卷軸,0,1000000,
118301003,返還和平卷軸,0,1000000,
118301004,返還和平卷軸,0,1000000,
118301005,返還和平卷軸,0,1000000,
118301006,返還和平卷軸,0,1000000,
118301007,返還勇氣卷軸,0,1000000,
118301008,返還勇氣卷軸,0,1000000,
118301009,返還勇氣卷軸,0,1000000,
118301010,返還勇氣卷軸,0,1000000,
118301011,返還勇氣卷軸,0,1000000,
118301012,返還勇氣卷軸,0,1000000,
118301013,返還希望卷軸,0,1000000,
118301014,返還希望卷軸,0,1000000,
118301015,返還希望卷軸,0,1000000,
118301016,返還希望卷軸,0,1000000,
118301017,返還希望卷軸,0,1000000,
118301018,返還希望卷軸,0,1000000,
118301019,返還穆亞的卷軸,0,1000000,"復活精髓 X10
初級超級鑲嵌拼圖兌換券 X1"
118301020,返還卡茲諾的指南針,0,1000000,"經驗值秘藥300% X2
初級超級鑲嵌拼圖兌換券 X1"
118301021,返還馬伊諾的寶石,0,1000000,"經驗值秘藥300% X2
初級超級鑲嵌拼圖兌換券 X1"
118301022,返還海神的護身符,0,1000000,高級超級鑲嵌拼圖兌換券 X1
118301023,返還金剛石,0,1000000,高級超級鑲嵌拼圖兌換券 X1
118301024,返還海龍王的鑰匙,0,1000000,高級超級鑲嵌拼圖兌換券 X1
118301025,返還薩伊安的鍊墜,0,1000000,"活動:經驗值秘藥500% X1
可愛龍龍7天 X1
鑲嵌妙藥 X1"
136201051,歸還和平的卷軸!,0,1000000,
136201052,歸還勇氣的卷軸!,0,1000000,
136201053,歸還希望的卷軸!,0,1000000,
116106100,,3300,52000,
116108100,,27000,101000,
116108300,,44000,115000,
116108500,,52000,120000,
116108600,,64000,130000,
116110300,,108800,170000,
116110400,,128000,180000,
149000000,米勒坎蒂亞,0,200000,
148210100,1轉(轉職),50000,50000,
148210200,1轉(轉職),100000,100000,吉納蒂亞聖地傳送膠囊 X1
148210300,輔助職業,150000,140000,
148210400,2轉(轉職),200000,170000,屋頂上的少女在呼喚! 傳送膠囊 X1
148220100,暴風監視者,0,120000,
148220200,無限迴廊,0,120000,
148220300,佩爾法,0,101000,
148220400,銀色腳趾,0,100000,
148220500,星星守護者的後裔,0,165000,
148220600,怪物同盟,0,51000,
148220700,黑月一族,0,195000,
148220800,吉恩蒂亞,0,195000,
148220900,普雷伊奧斯,0,195000,
148230100,黑暗森林,0,30000,
148230200,陰森住宅,0,42000,
148230300,貝希摩斯肚子,0,50000,
148230400,童話國,0,62000,
148230500,恐怖村莊,0,70000,
148230600,奧利佛原野,0,82000,
148230700,唉唷唉唷城,0,100000,
148230800,廢鐵溪谷入口,0,118000,
148230900,廢鐵溪谷出口,0,124000,
148231000,兵工廠,0,130000,
148231100,神秘地帶,0,135000,
148231200,白色教堂後巷,0,141000,
148231300,老虎寺,0,150000,
148231400,陰森村莊,0,163000,
148000000,新的相遇,1213050000,200000,
148000100,邀請的理由,1213050000,200000,
148001000,尋找原因,1213050000,200000,
148002000,異形的魔法陣,1213050000,200000,
148003000,調查魔法陣,2426100000,200000,
148004000,魔法陣的碎片,2426100000,300000,
148005000,碎片分析(1),2426100000,400000,"活動:王者攻擊力秘藥 X1
活動:王者的防禦秘藥 X1
活動:王者攻擊力秘藥 2 X1
[活動] 暴風藥水(30分鐘) X1"
148005100,碎片分析(2),2426100000,400000,"活動:王者攻擊力秘藥 X1
活動:王者的防禦秘藥 X1
活動:王者攻擊力秘藥 2 X1
[活動] 暴風藥水(30分鐘) X1"
148005200,碎片分析(3),2426100000,400000,"活動:王者攻擊力秘藥 X1
活動:王者的防禦秘藥 X1
活動:王者攻擊力秘藥 2 X1
[活動] 暴風藥水(30分鐘) X1"
148005300,治療劑完成?,1213050000,150000,
148006000,尋找突破口,1213050000,150000,
148007000,事件的真相,1213050000,150000,
148008000,準備作業(1),2426100000,350000,"活動:經驗值的秘藥888% X1
活動:任務獎勵UP!靈藥 X2"
148008100,準備作業(2),2426100000,350000,"活動:經驗值的秘藥888% X1
活動:任務獎勵UP!靈藥 X2"
148009000,破壞神器(1),1213050000,150000,
148009100,破壞神器(2),2426100000,700000,"復活精髓 X2
公會金幣(第2季) X50
[活動] 暴風藥水(30分鐘) X1
肥宅快樂水 X10"
148010000,分離是為了下一次的見面,8087000000,200000,凝聚舞扇忍者氣息的圖騰碎片 X10
148101023,和寵物一起旅行!,0,0,"漂亮的蛋 X1
基礎生活技能學習書 X1"
119202000,星座峭壁,14430000,0,
119206000,在搖籃做夢的……,14430000,0,
10210586,不祥徵兆,42000000,100000,靈藥兌換券 X2
117101000,琪拉的輔導,15000,200000,
148102000,愛麗絲的記憶,0,0,劇本 <1本> X1
115030009,勇者之劍回收,0,0,經驗值秘藥100% X1
152002000,燃燒的龍皇城,0,0,
152002001,失去記憶的浪人劍客,0,0,
152002002,親切的愛思泰,300,1000,新手禮物箱子(流浪者系列) X1
152002003,混亂的主犯,2000,1000,"新手的虎弓皮髮帶 X1
新手的虎弓皮襯衫 X1
新手的虎弓皮褲子 X1
新手的皮運動鞋 X1
新手的皮手鐲 X1"
152002004,過去的線索(1),4500,1000,"自然黑狼玉(S) X1
新手用葡萄恢復藥水 X99"
152002005,過去的線索(2),0,0,"活動旗袍(男) (3日) X1
活動紅色絲綢鞋(3日) X1
活動旗袍(女)(3日) X1
活動黑刺繡絲綢鞋(3日) X1"
152002006,奇毅太子在哪裡?,0,0,
152003000,宜靜的郵件,1573500000,100000,
152003001,龍祭城的復活,1573500000,100000,
152003002,迅速整理不安的因素!,3147000000,150000,"戰鬥靈藥 X5
實用的靈藥 X5
活動:任務獎勵UP!靈藥 X2"
152003003,奇怪的東西,3147000000,150000,"活動:王者攻擊力秘藥 X1
活動:王者的防禦秘藥 X1
活動:王者攻擊力秘藥 2 X1
[活動] 暴風藥水(30分鐘) X1"
152003004,魔石類型研究,3147000000,150000,
152003005,強大的魔石,3147000000,150000,
152003006,回憶的期間,3147000000,150000,
152003007,阿卡修拉的魔法類型,1573500000,100000,
152003008,扭曲的空間,5245000000,1000000,"活動:經驗值的秘藥888% X1
復活精髓 X2
公會金幣(第2季) X50"
152003009,返回悲劇的起點,5245000000,1500000,"超級萬能木錘 X1
活動:經驗值秘藥 1000% X1
[活動] 任務獎勵UP!技能學習書(7日) X1
[活動] 倉庫背包擴充 X1"
152003010,與奇毅太子的對話,1573500000,150000,
152003011,分析結果,1573500000,150000,
152003012,魔石的秘密,10490000000,4000000,凝聚舞扇忍者氣息的圖騰碎片 X10
154002000,吉恩蒂亞的書信,1809000000,100000,
154002001,特洛里村莊裡發生的事,1809000000,120000,
154002002,奧斯古拉斯傭兵團,1809000000,140000,
154002003,菇菇森林,3618000000,160000,"活動:王者攻擊力秘藥 X1
活動:王者的防禦秘藥 X1
活動:王者攻擊力秘藥 2 X1
[活動] 暴風藥水(30分鐘) X1"
154002004,尋找魔石的根源,3618000000,180000,"復活精髓 X2
肥宅快樂水 X10
傳送點電池(7日) X1"
154002005,德魯伊戰士海雷斯,1809000000,200000,
154002006,需要治療的藥,3618000000,220000,
154002007,藏在洞窟裡的東西,6030000000,1000000,"活動:經驗值的秘藥888% X1
冰花綴飾 X1
傳送點電池(7日) X1"
154002008,利奇奈潘斯,1809000000,250000,
154002009,其它的委託,1809000000,300000,
154002010,怪物軍隊的主人,6030000000,2000000,"[活動] 刻有月亮的刻印石 X4
冰花綴飾 X1"
154002011,亞凱殷的預感,1809000000,330000,
154002012,新的委託?,12060000000,5000000,"凝聚舞扇忍者氣息的圖騰碎片 X10
冰花綴飾 X1"
154001000,名偵探彩諾恩,2000000,0,
