职业ID,职业名称,技能页ID,技能页名称,技能ID,技能名称
24,魂之勇者,226,螺旋劍技能,2402405,螺旋石 [精通]
24,魂之勇者,226,螺旋劍技能,2402401,螺旋增加 [精通]
24,魂之勇者,226,螺旋劍技能,1000023,螺旋增加
24,魂之勇者,226,螺旋劍技能,1001023,螺旋石
24,魂之勇者,226,螺旋劍技能,1010023,螺旋突刺
24,魂之勇者,226,螺旋劍技能,2402418,後空翻
24,魂之勇者,226,螺旋劍技能,1011023,螺旋重擊
24,魂之勇者,226,螺旋劍技能,1012023,螺旋重擊 [精通]
24,魂之勇者,226,螺旋劍技能,1002023,螺旋加壓
24,魂之勇者,226,螺旋劍技能,1003023,螺旋爆發
24,魂之勇者,226,螺旋劍技能,2402413,螺旋爆發[精通]
24,魂之勇者,226,螺旋劍技能,2402409,螺旋加壓 [精通]
24,魂之勇者,226,螺旋劍技能,3802401,【 物理威力 】
24,魂之勇者,226,螺旋劍技能,3802402,【 超越之力 】
24,魂之勇者,226,螺旋劍技能,3802403,【 神擊斬 】
24,魂之勇者,226,螺旋劍技能,3802404,【 覺醒 】
24,魂之勇者,226,螺旋劍技能,3802405,【 祈福武器 】
24,魂之勇者,226,螺旋劍技能,3802406,【 爆擊 】
24,魂之勇者,226,螺旋劍技能,3802407,【 傳奇 】
24,魂之勇者,226,螺旋劍技能,3812401,【 隱藏能力 】
24,魂之勇者,226,螺旋劍技能,3812402,【 極限力量 】
24,魂之勇者,226,螺旋劍技能,3812403,【 必死攻擊 】
24,魂之勇者,226,螺旋劍技能,3812404,【 覺醒 II 】
24,魂之勇者,226,螺旋劍技能,3812405,【 專業技巧 】
24,魂之勇者,226,螺旋劍技能,3812406,【 生存本能 】
24,魂之勇者,226,螺旋劍技能,3812407,【 傳奇 II 】
25,劍刃舞者,227,飛燕劍技能,2402509,猛衝
25,劍刃舞者,227,飛燕劍技能,2402502,猛衝 [精通]
25,劍刃舞者,227,飛燕劍技能,1001024,無限劍陣
25,劍刃舞者,227,飛燕劍技能,1003024,飛燕破天
25,劍刃舞者,227,飛燕劍技能,1000024,滅天飛劍術
25,劍刃舞者,227,飛燕劍技能,1001124,無限劍陣 [精通]
25,劍刃舞者,227,飛燕劍技能,1004024,飛燕破天 [精通]
25,劍刃舞者,227,飛燕劍技能,1000124,滅天飛劍術 [精通]
25,劍刃舞者,227,飛燕劍技能,1005024,飛燕滅天功
25,劍刃舞者,227,飛燕劍技能,1005124,飛燕滅天功 [精通]
25,劍刃舞者,227,飛燕劍技能,1002024,飛燕旋舞
25,劍刃舞者,227,飛燕劍技能,1002124,飛燕旋舞 [精通]
25,劍刃舞者,227,飛燕劍技能,1011024,飛燕雙擊
25,劍刃舞者,227,飛燕劍技能,2402503,飛燕雙擊 [精通]
25,劍刃舞者,227,飛燕劍技能,1010024,華麗劍舞
25,劍刃舞者,227,飛燕劍技能,2402501,華麗劍舞 [精通]
25,劍刃舞者,227,飛燕劍技能,3802501,【 物理威力 】
25,劍刃舞者,227,飛燕劍技能,3802502,【 超越之力 】
25,劍刃舞者,227,飛燕劍技能,3802503,【 爆擊 】
25,劍刃舞者,227,飛燕劍技能,3802504,【 覺醒 】
25,劍刃舞者,227,飛燕劍技能,3802505,【 祈福武器 】
25,劍刃舞者,227,飛燕劍技能,3802506,【 神擊斬 】
25,劍刃舞者,227,飛燕劍技能,3802507,【 傳奇 】
25,劍刃舞者,227,飛燕劍技能,3812501,【 隱藏能力 】
25,劍刃舞者,227,飛燕劍技能,3812502,【 極限力量 】
25,劍刃舞者,227,飛燕劍技能,3812503,【 必死攻擊 】
25,劍刃舞者,227,飛燕劍技能,3812504,【 覺醒 II 】
25,劍刃舞者,227,飛燕劍技能,3812505,【 專業技巧 】
25,劍刃舞者,227,飛燕劍技能,3812506,【 生存本能 】
25,劍刃舞者,227,飛燕劍技能,3812507,【 傳奇 II 】
26,恐懼騎士,228,長拳套技能,1000025,威力急襲
26,恐懼騎士,228,長拳套技能,1000125,威力急襲 [精通]
26,恐懼騎士,228,長拳套技能,1008025,極速威力
26,恐懼騎士,228,長拳套技能,2402603,猛烈一擊
26,恐懼騎士,228,長拳套技能,2402604,猛烈一擊 [精通]
26,恐懼騎士,228,長拳套技能,1010025,絕望
26,恐懼騎士,228,長拳套技能,1002025,撞擊力
